image,model,prompt_tokens,completion_tokens,total_tokens
2019713442-448.jpg,amazon/nova-pro-v1,6424,159,6583
2019713445-1752.jpg,amazon/nova-pro-v1,7009,114,7123
2019713451-2338.jpg,amazon/nova-pro-v1,7097,1493,8590
mss1187900041-38.jpg,amazon/nova-pro-v1,7208,395,7603
mss1187900051-26.jpg,amazon/nova-pro-v1,7273,254,7527
mss1187900092-33.jpg,amazon/nova-pro-v1,7225,117,7342
mss1187900967-7.jpg,amazon/nova-pro-v1,7225,186,7411
mss1288000078-3.jpg,amazon/nova-pro-v1,7600,287,7887
mss154040147-18.jpg,amazon/nova-pro-v1,7207,170,7377
mss154040163-11.jpg,amazon/nova-pro-v1,7240,266,7506
mss154040333-2.jpg,amazon/nova-pro-v1,7009,179,7188
mss154040478-9.jpg,amazon/nova-pro-v1,6976,69,7045
mss184240130-127.jpg,amazon/nova-pro-v1,7257,91,7348
mss184240200-27.jpg,amazon/nova-pro-v1,7273,111,7384
mss184240331-29.jpg,amazon/nova-pro-v1,6454,86,6540
mss83434033-2.jpg,amazon/nova-pro-v1,7600,897,8497
mss83434137-26.jpg,amazon/nova-pro-v1,7207,989,8196
mss83434263-1.jpg,amazon/nova-pro-v1,7379,119,7498
mss83434319-1.jpg,amazon/nova-pro-v1,7042,36,7078
2019713445-1752.jpg,anthropic/claude-haiku-4.5,6466,130,6596
2019713451-2338.jpg,anthropic/claude-haiku-4.5,6490,1512,8002
mss1187900041-38.jpg,anthropic/claude-haiku-4.5,6494,444,6938
mss1187900051-26.jpg,anthropic/claude-haiku-4.5,6494,256,6750
mss1187900092-33.jpg,anthropic/claude-haiku-4.5,6494,125,6619
mss1187900967-7.jpg,anthropic/claude-haiku-4.5,6494,162,6656
mss1288000078-3.jpg,anthropic/claude-haiku-4.5,6474,326,6800
mss154040147-18.jpg,anthropic/claude-haiku-4.5,6477,156,6633
mss154040163-11.jpg,anthropic/claude-haiku-4.5,6462,271,6733
mss154040333-2.jpg,anthropic/claude-haiku-4.5,6466,204,6670
mss154040478-9.jpg,anthropic/claude-haiku-4.5,6474,72,6546
mss184240130-127.jpg,anthropic/claude-haiku-4.5,6494,125,6619
mss184240200-27.jpg,anthropic/claude-haiku-4.5,6462,110,6572
mss184240331-29.jpg,anthropic/claude-haiku-4.5,6102,98,6200
mss83434033-2.jpg,anthropic/claude-haiku-4.5,6474,837,7311
mss83434137-26.jpg,anthropic/claude-haiku-4.5,6477,993,7470
mss83434252-16.jpg,anthropic/claude-haiku-4.5,6466,318,6784
mss83434263-1.jpg,anthropic/claude-haiku-4.5,6214,104,6318
mss83434319-1.jpg,anthropic/claude-haiku-4.5,6466,67,6533
2019713445-1752.jpg,anthropic/claude-opus-4.6,6466,130,6596
2019713451-2338.jpg,anthropic/claude-opus-4.6,6490,1480,7970
mss1187900041-38.jpg,anthropic/claude-opus-4.6,6494,391,6885
mss1187900051-26.jpg,anthropic/claude-opus-4.6,6494,277,6771
mss1187900092-33.jpg,anthropic/claude-opus-4.6,6494,130,6624
mss1187900967-7.jpg,anthropic/claude-opus-4.6,6494,164,6658
mss1288000078-3.jpg,anthropic/claude-opus-4.6,6474,328,6802
mss154040147-18.jpg,anthropic/claude-opus-4.6,6477,148,6625
mss154040163-11.jpg,anthropic/claude-opus-4.6,6462,302,6764
mss154040333-2.jpg,anthropic/claude-opus-4.6,6466,207,6673
mss154040478-9.jpg,anthropic/claude-opus-4.6,6474,71,6545
mss184240130-127.jpg,anthropic/claude-opus-4.6,6494,101,6595
mss184240200-27.jpg,anthropic/claude-opus-4.6,6462,112,6574
mss184240331-29.jpg,anthropic/claude-opus-4.6,6102,92,6194
mss83434137-26.jpg,anthropic/claude-opus-4.6,6477,1022,7499
mss83434252-16.jpg,anthropic/claude-opus-4.6,6466,316,6782
mss83434263-1.jpg,anthropic/claude-opus-4.6,6214,140,6354
mss83434319-1.jpg,anthropic/claude-opus-4.6,6466,69,6535
2019713445-1752.jpg,anthropic/claude-sonnet-4,6466,130,6596
2019713451-2338.jpg,anthropic/claude-sonnet-4,6490,1443,7933
mss1187900041-38.jpg,anthropic/claude-sonnet-4,6494,408,6902
mss1187900051-26.jpg,anthropic/claude-sonnet-4,6494,266,6760
mss1187900092-33.jpg,anthropic/claude-sonnet-4,6494,132,6626
mss1187900967-7.jpg,anthropic/claude-sonnet-4,6494,159,6653
mss1288000078-3.jpg,anthropic/claude-sonnet-4,6474,314,6788
mss154040147-18.jpg,anthropic/claude-sonnet-4,6477,151,6628
mss154040163-11.jpg,anthropic/claude-sonnet-4,6462,286,6748
mss154040333-2.jpg,anthropic/claude-sonnet-4,6466,204,6670
mss154040478-9.jpg,anthropic/claude-sonnet-4,6474,72,6546
mss184240130-127.jpg,anthropic/claude-sonnet-4,6494,110,6604
mss184240200-27.jpg,anthropic/claude-sonnet-4,6462,112,6574
mss184240331-29.jpg,anthropic/claude-sonnet-4,6102,97,6199
mss83434137-26.jpg,anthropic/claude-sonnet-4,6477,1009,7486
mss83434252-16.jpg,anthropic/claude-sonnet-4,6466,266,6732
mss83434263-1.jpg,anthropic/claude-sonnet-4,6214,110,6324
mss83434319-1.jpg,anthropic/claude-sonnet-4,6466,75,6541
2019713442-448.jpg,google/gemini-2.5-flash,2463,157,2620
2019713445-1752.jpg,google/gemini-2.5-flash,2463,108,2571
mss1187900041-38.jpg,google/gemini-2.5-flash,2463,398,2861
mss1187900051-26.jpg,google/gemini-2.5-flash,2463,256,2719
mss1187900092-33.jpg,google/gemini-2.5-flash,2463,121,2584
mss1187900967-7.jpg,google/gemini-2.5-flash,2463,163,2626
mss1288000078-3.jpg,google/gemini-2.5-flash,2463,314,2777
mss154040147-18.jpg,google/gemini-2.5-flash,2463,138,2601
mss154040163-11.jpg,google/gemini-2.5-flash,2463,262,2725
mss154040333-2.jpg,google/gemini-2.5-flash,2463,210,2673
mss154040478-9.jpg,google/gemini-2.5-flash,2463,69,2532
mss184240130-127.jpg,google/gemini-2.5-flash,2463,85,2548
mss184240200-27.jpg,google/gemini-2.5-flash,2463,107,2570
mss184240331-29.jpg,google/gemini-2.5-flash,2463,86,2549
mss83434033-2.jpg,google/gemini-2.5-flash,2463,838,3301
mss83434137-26.jpg,google/gemini-2.5-flash,2463,998,3461
mss83434252-16.jpg,google/gemini-2.5-flash,2469,242,2711
mss83434263-1.jpg,google/gemini-2.5-flash,2463,134,2597
mss83434319-1.jpg,google/gemini-2.5-flash,2463,59,2522
2019713442-448.jpg,google/gemini-2.5-flash-lite,2463,212,2675
2019713445-1752.jpg,google/gemini-2.5-flash-lite,2463,108,2571
2019713451-2338.jpg,google/gemini-2.5-flash-lite,2463,1342,3805
mss1187900041-38.jpg,google/gemini-2.5-flash-lite,2463,593,3056
mss1187900051-26.jpg,google/gemini-2.5-flash-lite,2463,246,2709
mss1187900092-33.jpg,google/gemini-2.5-flash-lite,2463,118,2581
mss1187900967-7.jpg,google/gemini-2.5-flash-lite,2463,161,2624
mss1288000078-3.jpg,google/gemini-2.5-flash-lite,2463,326,2789
mss154040147-18.jpg,google/gemini-2.5-flash-lite,2463,142,2605
mss154040163-11.jpg,google/gemini-2.5-flash-lite,2463,274,2737
mss154040333-2.jpg,google/gemini-2.5-flash-lite,2463,6,2469
mss154040478-9.jpg,google/gemini-2.5-flash-lite,2463,68,2531
mss184240130-127.jpg,google/gemini-2.5-flash-lite,2463,102,2565
mss184240200-27.jpg,google/gemini-2.5-flash-lite,2463,105,2568
mss184240331-29.jpg,google/gemini-2.5-flash-lite,2463,109,2572
mss83434033-2.jpg,google/gemini-2.5-flash-lite,2463,604,3067
mss83434137-26.jpg,google/gemini-2.5-flash-lite,2463,828,3291
mss83434252-16.jpg,google/gemini-2.5-flash-lite,2463,244,2707
mss83434263-1.jpg,google/gemini-2.5-flash-lite,2463,109,2572
mss83434319-1.jpg,google/gemini-2.5-flash-lite,2463,65,2528
2019713442-448.jpg,google/gemini-2.5-flash-lite-preview-09-2025,2463,167,2630
2019713445-1752.jpg,google/gemini-2.5-flash-lite-preview-09-2025,2463,111,2574
2019713451-2338.jpg,google/gemini-2.5-flash-lite-preview-09-2025,2463,1368,3831
mss1187900041-38.jpg,google/gemini-2.5-flash-lite-preview-09-2025,2463,401,2864
mss1187900051-26.jpg,google/gemini-2.5-flash-lite-preview-09-2025,2463,255,2718
mss1187900092-33.jpg,google/gemini-2.5-flash-lite-preview-09-2025,2463,116,2579
mss1187900967-7.jpg,google/gemini-2.5-flash-lite-preview-09-2025,2463,155,2618
mss1288000078-3.jpg,google/gemini-2.5-flash-lite-preview-09-2025,2463,314,2777
mss154040147-18.jpg,google/gemini-2.5-flash-lite-preview-09-2025,2463,142,2605
mss154040163-11.jpg,google/gemini-2.5-flash-lite-preview-09-2025,2463,258,2721
mss154040333-2.jpg,google/gemini-2.5-flash-lite-preview-09-2025,2463,212,2675
mss154040478-9.jpg,google/gemini-2.5-flash-lite-preview-09-2025,2463,68,2531
mss184240130-127.jpg,google/gemini-2.5-flash-lite-preview-09-2025,2463,91,2554
mss184240200-27.jpg,google/gemini-2.5-flash-lite-preview-09-2025,2463,105,2568
mss184240331-29.jpg,google/gemini-2.5-flash-lite-preview-09-2025,2463,88,2551
mss83434033-2.jpg,google/gemini-2.5-flash-lite-preview-09-2025,2463,834,3297
mss83434137-26.jpg,google/gemini-2.5-flash-lite-preview-09-2025,2463,1042,3505
mss83434319-1.jpg,google/gemini-2.5-flash-lite-preview-09-2025,2463,67,2530
2019713442-448.jpg,google/gemini-3-flash-preview,4958,282,5240
2019713445-1752.jpg,google/gemini-3-flash-preview,4988,108,5096
2019713451-2338.jpg,google/gemini-3-flash-preview,4942,1565,6507
mss1187900041-38.jpg,google/gemini-3-flash-preview,4985,403,5388
mss1187900051-26.jpg,google/gemini-3-flash-preview,4985,256,5241
mss1187900092-33.jpg,google/gemini-3-flash-preview,4985,119,5104
mss1187900967-7.jpg,google/gemini-3-flash-preview,4944,161,5105
mss1288000078-3.jpg,google/gemini-3-flash-preview,4988,387,5375
mss154040147-18.jpg,google/gemini-3-flash-preview,4958,145,5103
mss154040163-11.jpg,google/gemini-3-flash-preview,4958,282,5240
mss154040333-2.jpg,google/gemini-3-flash-preview,4951,204,5155
mss154040478-9.jpg,google/gemini-3-flash-preview,4988,68,5056
mss184240130-127.jpg,google/gemini-3-flash-preview,4985,94,5079
mss184240200-27.jpg,google/gemini-3-flash-preview,4958,112,5070
mss184240331-29.jpg,google/gemini-3-flash-preview,4978,89,5067
mss83434033-2.jpg,google/gemini-3-flash-preview,4958,618,5576
mss83434137-26.jpg,google/gemini-3-flash-preview,4958,1080,6038
mss83434252-16.jpg,google/gemini-3-flash-preview,4951,295,5246
mss83434263-1.jpg,google/gemini-3-flash-preview,4970,133,5103
mss83434319-1.jpg,google/gemini-3-flash-preview,4951,59,5010
2019713442-448.jpg,google/gemma-3-12b-it,2497,171,2668
2019713445-1752.jpg,google/gemma-3-12b-it,2497,109,2606
2019713451-2338.jpg,google/gemma-3-12b-it,2497,784,3281
mss1187900041-38.jpg,google/gemma-3-12b-it,2497,334,2831
mss1187900051-26.jpg,google/gemma-3-12b-it,2497,201,2698
mss1187900092-33.jpg,google/gemma-3-12b-it,2497,115,2612
mss1288000078-3.jpg,google/gemma-3-12b-it,2497,296,2793
mss154040147-18.jpg,google/gemma-3-12b-it,2497,127,2624
mss154040163-11.jpg,google/gemma-3-12b-it,2497,242,2739
mss154040333-2.jpg,google/gemma-3-12b-it,2497,142,2639
mss154040478-9.jpg,google/gemma-3-12b-it,2497,67,2564
mss184240130-127.jpg,google/gemma-3-12b-it,2497,85,2582
mss184240200-27.jpg,google/gemma-3-12b-it,2497,114,2611
mss184240331-29.jpg,google/gemma-3-12b-it,2497,78,2575
mss83434033-2.jpg,google/gemma-3-12b-it,2497,454,2951
mss83434137-26.jpg,google/gemma-3-12b-it,2497,1003,3500
mss83434252-16.jpg,google/gemma-3-12b-it,2497,198,2695
mss83434263-1.jpg,google/gemma-3-12b-it,2497,140,2637
mss83434319-1.jpg,google/gemma-3-12b-it,2497,57,2554
2019713442-448.jpg,google/gemma-3-27b-it,2497,185,2682
2019713445-1752.jpg,google/gemma-3-27b-it,2497,109,2606
2019713451-2338.jpg,google/gemma-3-27b-it,2497,794,3291
mss1187900041-38.jpg,google/gemma-3-27b-it,2497,373,2870
mss1187900051-26.jpg,google/gemma-3-27b-it,2497,245,2742
mss1187900967-7.jpg,google/gemma-3-27b-it,2497,161,2658
mss1288000078-3.jpg,google/gemma-3-27b-it,2497,326,2823
mss154040147-18.jpg,google/gemma-3-27b-it,2497,138,2635
mss154040163-11.jpg,google/gemma-3-27b-it,2497,267,2764
mss154040333-2.jpg,google/gemma-3-27b-it,2497,140,2637
mss154040478-9.jpg,google/gemma-3-27b-it,2497,70,2567
mss184240130-127.jpg,google/gemma-3-27b-it,2497,86,2583
mss184240200-27.jpg,google/gemma-3-27b-it,2497,109,2606
mss184240331-29.jpg,google/gemma-3-27b-it,2497,86,2583
mss83434033-2.jpg,google/gemma-3-27b-it,2497,698,3195
mss83434137-26.jpg,google/gemma-3-27b-it,2497,828,3325
mss83434252-16.jpg,google/gemma-3-27b-it,2497,305,2802
mss83434263-1.jpg,google/gemma-3-27b-it,2497,106,2603
mss83434319-1.jpg,google/gemma-3-27b-it,2497,77,2574
mss1187900041-38.jpg,google/gemma-4-31b-it,2633,382,3015
mss1187900092-33.jpg,google/gemma-4-31b-it,2633,121,2754
mss1187900967-7.jpg,google/gemma-4-31b-it,2633,154,2787
mss1288000078-3.jpg,google/gemma-4-31b-it,2643,381,3024
mss154040147-18.jpg,google/gemma-4-31b-it,2633,138,2771
mss154040478-9.jpg,google/gemma-4-31b-it,2643,69,2712
mss184240130-127.jpg,google/gemma-4-31b-it,2633,95,2728
mss184240200-27.jpg,google/gemma-4-31b-it,2633,109,2742
mss184240331-29.jpg,google/gemma-4-31b-it,2643,87,2730
mss83434033-2.jpg,google/gemma-4-31b-it,2643,772,3415
mss83434319-1.jpg,google/gemma-4-31b-it,2625,64,2689
2019713442-448.jpg,meta-llama/llama-4-maverick,8794,148,8942
2019713445-1752.jpg,meta-llama/llama-4-maverick,9083,114,9197
2019713451-2338.jpg,meta-llama/llama-4-maverick,9083,1325,10408
mss1187900041-38.jpg,meta-llama/llama-4-maverick,8938,333,9271
mss1187900051-26.jpg,meta-llama/llama-4-maverick,8945,232,9177
mss1187900092-33.jpg,meta-llama/llama-4-maverick,8938,110,9048
mss1187900967-7.jpg,meta-llama/llama-4-maverick,8939,161,9100
mss1288000078-3.jpg,meta-llama/llama-4-maverick,9083,378,9461
mss154040147-18.jpg,meta-llama/llama-4-maverick,8945,133,9078
mss154040163-11.jpg,meta-llama/llama-4-maverick,8938,271,9209
mss154040333-2.jpg,meta-llama/llama-4-maverick,9084,108,9192
mss154040478-9.jpg,meta-llama/llama-4-maverick,9090,65,9155
mss184240130-127.jpg,meta-llama/llama-4-maverick,8938,120,9058
mss184240200-27.jpg,meta-llama/llama-4-maverick,8938,105,9043
mss184240331-29.jpg,meta-llama/llama-4-maverick,8503,91,8594
mss83434033-2.jpg,meta-llama/llama-4-maverick,9083,433,9516
mss83434137-26.jpg,meta-llama/llama-4-maverick,8939,863,9802
mss83434252-16.jpg,meta-llama/llama-4-maverick,9083,248,9331
mss83434263-1.jpg,meta-llama/llama-4-maverick,8938,121,9059
mss83434319-1.jpg,meta-llama/llama-4-maverick,9083,61,9144
2019713442-448.jpg,meta-llama/llama-4-scout,8793,114,8907
2019713445-1752.jpg,meta-llama/llama-4-scout,9083,90,9173
mss1187900041-38.jpg,meta-llama/llama-4-scout,8943,429,9372
mss1187900051-26.jpg,meta-llama/llama-4-scout,8943,149,9092
mss1187900092-33.jpg,meta-llama/llama-4-scout,6378,115,6493
mss1187900967-7.jpg,meta-llama/llama-4-scout,8943,165,9108
mss1288000078-3.jpg,meta-llama/llama-4-scout,9083,601,9684
mss154040147-18.jpg,meta-llama/llama-4-scout,8938,166,9104
mss154040163-11.jpg,meta-llama/llama-4-scout,8943,188,9131
mss154040333-2.jpg,meta-llama/llama-4-scout,9083,184,9267
mss154040478-9.jpg,meta-llama/llama-4-scout,9083,63,9146
mss184240130-127.jpg,meta-llama/llama-4-scout,8938,99,9037
mss184240200-27.jpg,meta-llama/llama-4-scout,8938,101,9039
mss184240331-29.jpg,meta-llama/llama-4-scout,8503,95,8598
mss83434033-2.jpg,meta-llama/llama-4-scout,9083,666,9749
mss83434137-26.jpg,meta-llama/llama-4-scout,8943,806,9749
mss83434252-16.jpg,meta-llama/llama-4-scout,9083,254,9337
mss83434263-1.jpg,meta-llama/llama-4-scout,8938,79,9017
mss83434319-1.jpg,meta-llama/llama-4-scout,9083,39,9122
2019713442-448.jpg,mistralai/mistral-large-2512,7735,180,7915
2019713445-1752.jpg,mistralai/mistral-large-2512,9257,140,9397
2019713451-2338.jpg,mistralai/mistral-large-2512,9079,1454,10533
mss1187900041-38.jpg,mistralai/mistral-large-2512,8743,340,9083
mss1187900051-26.jpg,mistralai/mistral-large-2512,8817,262,9079
mss1187900092-33.jpg,mistralai/mistral-large-2512,8817,115,8932
mss1187900967-7.jpg,mistralai/mistral-large-2512,8762,160,8922
mss1288000078-3.jpg,mistralai/mistral-large-2512,9247,319,9566
mss154040147-18.jpg,mistralai/mistral-large-2512,8927,136,9063
mss154040163-11.jpg,mistralai/mistral-large-2512,8872,269,9141
mss154040333-2.jpg,mistralai/mistral-large-2512,9202,229,9431
mss154040478-9.jpg,mistralai/mistral-large-2512,9257,67,9324
mss184240130-127.jpg,mistralai/mistral-large-2512,8799,131,8930
mss184240200-27.jpg,mistralai/mistral-large-2512,8817,92,8909
mss184240331-29.jpg,mistralai/mistral-large-2512,7882,91,7973
mss83434033-2.jpg,mistralai/mistral-large-2512,9303,1157,10460
mss83434137-26.jpg,mistralai/mistral-large-2512,8927,1043,9970
mss83434252-16.jpg,mistralai/mistral-large-2512,9147,298,9445
mss83434263-1.jpg,mistralai/mistral-large-2512,8015,108,8123
mss83434319-1.jpg,mistralai/mistral-large-2512,9202,79,9281
2019713442-448.jpg,mistralai/mistral-medium-3.1,7735,126,7861
2019713445-1752.jpg,mistralai/mistral-medium-3.1,9257,140,9397
2019713451-2338.jpg,mistralai/mistral-medium-3.1,9079,1370,10449
mss1187900041-38.jpg,mistralai/mistral-medium-3.1,8743,379,9122
mss1187900051-26.jpg,mistralai/mistral-medium-3.1,8817,248,9065
mss1187900092-33.jpg,mistralai/mistral-medium-3.1,8817,116,8933
mss1187900967-7.jpg,mistralai/mistral-medium-3.1,8762,153,8915
mss1288000078-3.jpg,mistralai/mistral-medium-3.1,9247,273,9520
mss154040147-18.jpg,mistralai/mistral-medium-3.1,8927,123,9050
mss154040163-11.jpg,mistralai/mistral-medium-3.1,8872,211,9083
mss154040333-2.jpg,mistralai/mistral-medium-3.1,9202,96,9298
mss154040478-9.jpg,mistralai/mistral-medium-3.1,9257,66,9323
mss184240130-127.jpg,mistralai/mistral-medium-3.1,8799,81,8880
mss184240200-27.jpg,mistralai/mistral-medium-3.1,8817,109,8926
mss184240331-29.jpg,mistralai/mistral-medium-3.1,7882,78,7960
mss83434033-2.jpg,mistralai/mistral-medium-3.1,9303,931,10234
mss83434137-26.jpg,mistralai/mistral-medium-3.1,8927,1071,9998
mss83434252-16.jpg,mistralai/mistral-medium-3.1,9147,249,9396
mss83434263-1.jpg,mistralai/mistral-medium-3.1,8015,138,8153
mss83434319-1.jpg,mistralai/mistral-medium-3.1,9202,58,9260
2019713442-448.jpg,mistralai/pixtral-large-2411,10003,166,10169
2019713445-1752.jpg,mistralai/pixtral-large-2411,12095,152,12247
2019713451-2338.jpg,mistralai/pixtral-large-2411,11823,1446,13269
mss1187900041-38.jpg,mistralai/pixtral-large-2411,11433,343,11776
mss1187900051-26.jpg,mistralai/pixtral-large-2411,11519,207,11726
mss1187900092-33.jpg,mistralai/pixtral-large-2411,11455,127,11582
mss1187900967-7.jpg,mistralai/pixtral-large-2411,11455,173,11628
mss1288000078-3.jpg,mistralai/pixtral-large-2411,12148,342,12490
mss154040147-18.jpg,mistralai/pixtral-large-2411,11647,157,11804
mss154040163-11.jpg,mistralai/pixtral-large-2411,11583,303,11886
mss154040333-2.jpg,mistralai/pixtral-large-2411,12031,215,12246
mss184240130-127.jpg,mistralai/pixtral-large-2411,11498,103,11601
mss184240200-27.jpg,mistralai/pixtral-large-2411,11519,118,11637
mss184240331-29.jpg,mistralai/pixtral-large-2411,10239,88,10327
mss83434033-2.jpg,mistralai/pixtral-large-2411,12148,1187,13335
mss83434137-26.jpg,mistralai/pixtral-large-2411,11647,1159,12806
mss83434252-16.jpg,mistralai/pixtral-large-2411,11967,274,12241
mss83434263-1.jpg,mistralai/pixtral-large-2411,10458,179,10637
mss83434319-1.jpg,mistralai/pixtral-large-2411,12031,241,12272
2019713442-448.jpg,moonshotai/kimi-k2.5,14176,2696,16872
2019713445-1752.jpg,moonshotai/kimi-k2.5,14176,484,14660
2019713451-2338.jpg,moonshotai/kimi-k2.5,14200,7256,21456
mss1187900051-26.jpg,moonshotai/kimi-k2.5,13105,2871,15976
mss1187900092-33.jpg,moonshotai/kimi-k2.5,13060,4129,17189
mss1187900967-7.jpg,moonshotai/kimi-k2.5,12583,1587,14170
