Muster Roll of Captain the, of the, Regiment of, United States Army, (Colonel ,) from the day of , 186-, when last mustered, to the day of , 186--.

Pay Roll of the Company from the day of , 186-, when last paid, to the day of , 186--.






| 0                                        | 1                                 | 2                                                         | 3                    | 4                             | 5                            | 6                 | 7                    | 8               | 9                        | 10                                | 11       | 12      | 13         | 14                          | 15           | 16              | 17                              | 18               | 19          | 20                | 21            | 22                                              | 23                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|------------------------------------------|-----------------------------------|-----------------------------------------------------------|----------------------|-------------------------------|------------------------------|-------------------|----------------------|-----------------|--------------------------|-----------------------------------|----------|---------|------------|-----------------------------|--------------|-----------------|---------------------------------|------------------|-------------|-------------------|---------------|-------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| NAMES. (Privates in alphabetical order.) | RANK.                             | JOINED FOR SERVICE AND ENROLLED IN GENERAL RENDEZVOUS.    |                      | MUSTERED INTO SERVICE.        |                              |                   | (LAST PAID.)         |                 | NAMES.                   | PRESENT,                          |          |         |            | REMARKS.                    |              |                 |                                 |                  |             |                   |               |                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|                                          |                                   | COMMENCEMENT OF FIRST PAYMENT BY TIME.                    |                      |                               |                              |                   |                      |                 |                          |                                   |          |         |            |                             |              |                 |                                 |                  |             |                   |               |                                                 | 1. All officers and soldiers are to be taken up on the roll, so soon as assigned to the company by the commanding officer, whether they have yet joined or not; and                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|                                          |                                   | WHEN.                                                     | WHERE.               | BY WHOM.                      | PERIOD.                      | WHEN.             | WHERE.               | BY              |                          |                                   |          |         |            |                             |              |                 |                                 |                  |             |                   |               |                                                 | 2. To be dropped, when similarly transferred to other regiments; the No. of the order of transfer to be recorded also against his name, stating the name of the regiment to which he is thereby ordered, the date of officer or soldier's joining, whether by new enlistment, or transfer, or removal from command, or special duty; the description of No., date, &c., &c.; and if transferred from command, the name of his last commanding officer; all officers and soldiers are to be transferred for promotion, appointment, or reduction, by date of same; and No., date, &c. &c., of the same to be recorded thereon. 3. In case of absence, the nature and commencement of No., date, &c., of absence, (and if wounded, the date & circumstances,) to be recorded, with a remark that it was on account of such absence, &c., &c., or that the paymaster, or name of the person authorized, is to pay on account of such absence, otherwise to account for every individual of the company to the opposite number. 4. In case of death by ordinary means, the amount of wages, if any, due the soldier and to the United States:- |
|                                          |                                   |                                                           |                      |                               |                              |                   |                      | WHOM.           |                          |                                   |          |         |            |                             |              |                 |                                 |                  |             |                   |               |                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|                                          |                                   |                                                           |                      |                               |                              |                   |                      | PAID.           |                          |                                   |          |         |            |                             |              |                 |                                 |                  |             |                   |               |                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|                                          |                                   |                                                           |                      |                               |                              |                   |                      | MASTER- ROLL.   |                          |                                   |          |         |            |                             |              |                 |                                 |                  |             |                   |               |                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|                                          |                                   |                                                           |                      |                               |                              |                   |                      |                 | NAMES.                   | PRESENT.                          |          |         |            |                             |              |                 |                                 |                  |             |                   |               |                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|                                          |                                   |                                                           |                      |                               |                              |                   |                      |                 |                          |                                   |          |         |            |                             |              |                 |                                 |                  |             |                   |               |                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|                                          |                                   |                                                           |                      |                               |                              |                   |                      |                 |                          |                                   |          |         |            |                             |              |                 |                                 |                  | [X]         | [X]               | [X]           |                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|                                          |                                   |                                                           |                      |                               |                              |                   |                      |                 |                          |                                   |          |         |            |                             |              | [X]             | [X]                             | [X]              |             | [X]               | [X]           |                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
