118                    UNION SOLDIERS INTERRED IN

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—continued

No. | Name | Rank | Co. | Regiment | Date of death | Sex. | Remarks

4779 | Sgt. C. D. Collins | . . . | . . . | 82d Illinois | . . . | M |
4780 | Sheldon James | . . . | . . . | New York | . . . | M |
4781 | Sgt. Charles E. Wright | . . . | . . . | Illinois | . . . | M |
4782 | Sgt. S. E. Wilde | . . . | . . . | Illinois | . . . | M |
4783 | Sidney Lyon | . . . | . . . | U. S. colored troops | . . . | M |
4784 | Sidney Mingo | . . . | . . . | U. S. colored troops | . . . | M |
4785 | Sgt. James Mitchell | . . . | . . . | U. S. colored troops | . . . | M |
4786 | Sidney Swanson | . . . | . . . | U. S. colored troops | . . . | M |
4787 | Sgt. B. Sharman | . . . | . . . | U. S. colored troops | . . . | M |
4788 | Sgt. H. Linder | . . . | . . . | U. S. colored troops | . . . | M |
4789 | Sidney Bellamy | . . . | . . . | U. S. colored troops | . . . | M |
4790 | Sgt. James Buckner | . . . | B | U. S. colored troops | . . . | M |
4791 | Sgt. H. H. Collins | . . . | . . . | United States Infantry | . . . | M |
4792 | Sgt. Enoch Jones | . . . | . . . | U. S. colored troops | . . . | M |
4793 | Sgt. A. Clemmons | . . . | . . . | U. S. colored troops | . . . | M |
4794 | Sgt. S. H. Gentry | . . . | . . . | U. S. colored troops | . . . | M |
4795 | Sgt. Charles Hunt | . . . | . . . | U. S. colored troops | . . . | M |
4796 | Sgt. Isaac Sims | . . . | . . . | U. S. colored troops | . . . | M |
4797 | Sgt. J. L. Hill | . . . | . . . | U. S. colored troops | . . . | M |
4798 | Sgt. Enos States | . . . | . . . | U. S. colored troops | . . . | M |
4799 | Sgt. Charles Hollis | . . . | . . . | U. S. colored troops | . . . | M |
4800 | Sgt. James Hammond | . . . | . . . | U. S. colored troops | . . . | M |
4801 | Sgt. Cyrus Simmons | . . . | . . . | . . . | . . . | M |
4802 | Sgt. J. B. Smith | . . . | . . . | . . . | . . . | M |
4803 | Sgt. Robert L. Morris | . . . | . . . | Ohio | . . . | M |
4804 | Sgt. S. P. Fay | . . . | . . . | . . . | . . . | M |
4805 | Sgt. Thomas J. Wall | . . . | . . . | . . . | . . . | M |
4806 | Sgt. Henry Norwood | . . . | . . . | . . . | . . . | M |
4807 | Sgt. Ansel R. Stetson | . . . | . . . | Massachusetts | . . . | M |
4808 | Sgt. Charles Swanson | . . . | . . . | . . . | . . . | M |
4809 | Sgt. James Rockwell | . . . | . . . | . . . | . . . | M |
4810 | Sgt. Henry Clark | . . . | . . . | . . . | . . . | M |
4811 | Sgt. John Botsford | . . . | . . . | . . . | . . . | M |
4812 | Sgt. Samuel Johnson | . . . | . . . | . . . | . . . | M |
4813 | Sgt. Isham Wood | . . . | . . . | . . . | . . . | M |
4814 | Sgt. Joseph B. Fitch | . . . | . . . | . . . | . . . | M |
4815 | Sgt. Henry Colwell | . . . | . . . | . . . | . . . | M |
4816 | Sgt. Lemuel Cushman | . . . | . . . | Pennsylvania | . . . | M |
4817 | Sgt. George Moulton | . . . | . . . | . . . | . . . | M |
4818 | Sgt. L. Townsend | . . . | . . . | Massachusetts | . . . | M |
4819 | Sgt. W. B. Schofield | . . . | . . . | . . . | . . . | M |
4820 | Sgt. Jonathan Palmer | . . . | . . . | . . . | . . . | M |
4821 | Sgt. G. D. Smith | . . . | . . . | . . . | . . . | M |
4822 | Sgt. Dwight Cleveland | . . . | . . . | Connecticut | . . . | M |
4823 | Sgt. William Kirkland | . . . | . . . | . . . | . . . | M |
