134                    UNION SOLDIERS INTERRED IN

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued.

No. | Name. | Rank. | Corps. | Co. | 12th Estimated. | Date of death. | Serg't Commd. | Remarks.

4757 | Wilbor A. | | | D | | | 23 | 68
4758 | Wilson J. S. | | | | | | 7 | 
4759 | Winans Enos | | | C | | | 29 | 
4760 | Wilson W. | | | | | | 21 |
4761 | Winters V. | | | H | | | 10 |
4762 | Wittson N. | | | E | | | 10 |
4763 | Wilkerson J. | | | E | | | 6 |
4764 | Williams Wm. | | | | | | 25 |
4765 | Winslow S. | | | D | | | 15 |
4766 | Winship G. | | | | | | 7 |
4767 | Winship J. C. | | | K | | | 29 |
4768 | Wilson V. | | | | | | 17 |
4769 | Wilson F. | | | L | | | 28 |
4770 | Wilcox John | | | | | | 8 |
4771 | Waddell Wm. | | | I | | | 20 |
4772 | Waterman J. F. (P.S.) | | | | | | 10 |
4773 | Wickham J. | | | K | | | 13 |
4774 | Walker J. | | | | | | 2 |
4775 | Warren Wm. | | | M | | | 20 |
4776 | Wilkinson Chas. | | | | | | 19 |
4777 | White Edw. | | | L | | | 25 |
4778 | Woodward F. | | | | | | 7 |
4779 | Woodworth Geo. | | | E | | | 6 |
4780 | Woodworth J. | | | | | | 31 |
4781 | Wiggins Isaac | | | H | | | 14 |
4782 | Wiggins Osborn | | | | | | 12 |
4783 | Walker J. | | | E | | | 19 |
4784 | Walker Jos. | | | | | | 17 |
4785 | Williams Wm. | | | H | | | 27 |
4786 | Williams H. | | | | | | 8 |
4787 | Williamson Reuben | | | F | | | 13 |
4788 | Willoughby Henry | | | | | | 9 |
4789 | Wildes J. | | | C | | | 24 |
4790 | Wildes D. S. M. | | | | | | 3 |
4791 | Wilmot Chas. | | | E | | | 8 |
4792 | Willett Isaac | | | | | | 17 |
4793 | Willard J. D. S. C. | | | I | | | 20 |
4794 | Willard P. | | | | | | 9 |
4795 | Wilcomb David | | | F | | | 4 |
4796 | Witter Jas. | | | | | | 27 |
4797 | Witter P. | | | B | | | 8 |
4798 | Wilkinson D. S. C. | | | | | | 10 |
4799 | Winslow Daniel | | | I | | | 4 |
4800 | Winslow P. L. | | | | | | 27 |
4801 | Winslow D. M. | | | I | | | 17 |
4802 | Winslow H. | | | | | | 10 |
4803 | Winslow N. S. C. | | | H | | | 15 |
4804 | Winters Jas. | | | | | | 29 |
4805 | Winters Chas. | | | I | | | 14 |
4806 | Winters Wm. | | | | | | 6 |
4807 | Winters D. S. C. | | | I | | | 4 |
4808 | Winters D. S. C. | | | | | | 3 |
4809 | Winters Wm. | | | I | | | 10 |
4810 | Winters David | | | | | | 1 |
4811 | Winters H. | | | L | | | 3 |
4812 | Winters N. York | | | | | | 22 |
4813 | Winters D. S. C. | | | I | | | 8 |
4814 | Winters H. Indiana | | | | | | 9 |
