28                    UNION SOLDIERS INTERRED IN

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued.

| No. | Name | Rank | Co. | Regiment | Date of Death | Sec. | Grave |
|-----|------|------|-----|----------|---------------|------|-------|
| 751 | Carton, H. | Private | . . . . | Ohio Marine volunteers | . . . . | 20 | 22 |
| 752 | Casey, G. | . . . . | . . . . | Irish Marine volunteers | . . . . | 21 | 3 |
| 753 | Cassidy, E. | Private | B | New York volunteers | . . . . | 21 | 5 |
| 754 | Cavour, J. | . . . . | . . . . | New York volunteers | . . . . | 21 | 5 |
| 755 | Chambers, W. | Private | H | Pennsylvania volunteers | . . . . | 19 | 33 |
| 756 | Chaning, J. | Corporal | . . . . | New York volunteers | . . . . | 22 | 34 |
| 757 | Chapin, N. | Private | H | New York volunteers | . . . . | 22 | 25 |
| 758 | Chappel, W. | . . . . | . . . . | New York volunteers | . . . . | 22 | 22 |
| 759 | Charman, B. | . . . . | . . . . | Massachusetts volunteers | . . . . | 22 | 19 |
| 760 | Chaser, J. | . . . . | . . . . | New York volunteers | . . . . | 22 | 20 |
| 761 | Cheshire, W. | Private | A | New York volunteers | . . . . | 20 | 30 |
| 762 | Chestnut, C. | . . . . | . . . . | Massachusetts volunteers | . . . . | 20 | 30 |
| 763 | Childers, C. | . . . . | . . . . | New York volunteers | . . . . | 20 | 17 |
| 764 | Childs, W. | . . . . | . . . . | Massachusetts volunteers | . . . . | 19 | 17 |
| 765 | Chisholm, D. | . . . . | . . . . | New York volunteers | . . . . | 20 | 12 |
| 766 | Choice, J. | Private | I | New Hampshire volunteers | . . . . | 19 | 13 |
| 767 | Christy, W. | . . . . | . . . . | New York volunteers | . . . . | 20 | 16 |
| 768 | Chriswell, J. | . . . . | . . . . | Ohio volunteers | . . . . | 20 | 12 |
| 769 | Christy, J. | Private | C | Pennsylvania volunteers | . . . . | 20 | 24 |
| 770 | Chubb, W. | . . . . | . . . . | New York volunteers | . . . . | 20 | 23 |
| 771 | Church, J. | . . . . | . . . . | New York volunteers | . . . . | 20 | 30 |
| 772 | Church, W. | Private | D | New York volunteers | . . . . | 20 | 30 |
| 773 | Chute, J. | . . . . | . . . . | New York volunteers | . . . . | 20 | 29 |
| 774 | Cilley, J. | . . . . | . . . . | New Hampshire volunteers | . . . . | 20 | 31 |
| 775 | Clapp, T. | Private | A | New York volunteers | . . . . | 20 | 46 |
| 776 | Clark, J. | . . . . | . . . . | Massachusetts volunteers | . . . . | 20 | 29 |
| 777 | Clark, W. | . . . . | . . . . | New York volunteers | . . . . | 20 | 29 |
| 778 | Clarke, A. | . . . . | . . . . | New York volunteers | . . . . | 21 | 5 |
| 779 | Clarke, E. | Private | B | Connecticut volunteers | . . . . | 21 | 25 |
| 780 | Clarke, H. | . . . . | . . . . | New York volunteers | . . . . | 21 | 23 |
| 781 | Clarke, J. | . . . . | . . . . | New York volunteers | . . . . | 21 | 22 |
| 782 | Clarke, S. | . . . . | . . . . | New York volunteers | . . . . | 21 | 29 |
| 783 | Clary, W. | Private | A | South Carolina volunteers | . . . . | 22 | 37 |
| 784 | Claseby, J. | . . . . | . . . . | New York volunteers | . . . . | 20 | 5 |
| 785 | Classen, W. | . . . . | . . . . | New York volunteers | . . . . | 20 | 5 |
| 786 | Classey, J. | Private | C | Ohio volunteers | . . . . | 21 | 37 |
| 787 | Clayton, J. | . . . . | . . . . | New York volunteers | . . . . | 22 | 31 |
| 788 | Cleak, W. | . . . . | . . . . | New York volunteers | . . . . | 22 | 28 |
| 789 | Cleary, W. | Private | K | New York volunteers | . . . . | 21 | 37 |
| 790 | Cleek, J. | . . . . | . . . . | Ohio volunteers | . . . . | 22 | 35 |
| 791 | Cleek, W. | . . . . | . . . . | New York volunteers | . . . . | 22 | 35 |
| 792 | Cleeland, J. | Private | B | New York volunteers | . . . . | 22 | 37 |
| 793 | Clement, A. | . . . . | . . . . | New York volunteers | . . . . | 22 | 37 |
| 794 | Clement, J. | . . . . | . . . . | New York volunteers | . . . . | 21 | 37 |
