68                    UNION SOLDIERS INTERRED IN

EVERGREEN NATIONAL CEMETERY, SOUTH CAROLINA—Continued.

No. | Name. | Rank. | Co. | Regiment. | Date of Death. | Sex. | Graves.

2323 | James Robert | . . . . . . | F | 54th Massachusetts . . . . . . . . . | . . . . | M | 73
2324 | James Garwood | . . . . . . | F | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2325 | James Cunningham | . . . . . . | F | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2326 | John Courtney | . . . . . . | A | 1st U.S. colored troops . . . . . | . . . . | M | . .
2327 | John Jacob | . . . . . . | E | 34th U.S. colored troops . . . . . | . . . . | M | . .
2328 | John Pendleton | . . . . . . | C | 35th U.S. colored troops . . . . . | . . . . | M | . .
2329 | Joseph Powell | . . . . . . | E | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2330 | James Patterson | . . . . . . | C | 8th U.S. colored troops . . . . . . | . . . . | M | . .
2331 | John Shelly | . . . . . . | K | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2332 | James Sullivan | . . . . . . | C | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2333 | James Sheeley | . . . . . . | F | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2334 | John Shotwell | . . . . . . | H | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2335 | John Smith | . . . . . . | G | 34th U.S. colored troops . . . . . | . . . . | M | . .
2336 | John Stewart | . . . . . . | A | 33d U.S. colored troops . . . . . | . . . . | M | . .
2337 | James Thompson | . . . . . . | H | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2338 | James Thompson | . . . . . . | I | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2339 | Jacob Satterlee | . . . . . . | I | New Jersey . . . . . . . . . . . . . | . . . . | M | . .
2340 | James Talbot | . . . . . . | E | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2341 | James Smith | . . . . . . | I | 25th New York . . . . . . . . . . . | . . . . | M | . .
2342 | Jasper Finney | . . . . . . | E | 11th U.S. colored troops . . . . . | . . . . | M | . .
2343 | John Forman | . . . . . . | F | 4th New Hampshire . . . . . . . . | . . . . | M | . .
2344 | James Fitzpatrick | . . . . . . | C | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | 52
2345 | Joseph Freeman | . . . . . . | E | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | 39
     |              |              |    |                                    |        |    | 11
2346 | James Franks | . . . . . . | I | 39th U.S. colored troops . . . . . | . . . . | M | 32
2347 | John Fletcher | . . . . . . | I | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2348 | James Glasscock | . . . . . . | B | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2349 | John Grier | . . . . . . | D | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2350 | Jacob George | . . . . . . | B | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2351 | James Griffith | . . . . . . | K | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2352 | James Geary | . . . . . . | E | Pennsylvania . . . . . . . . . . . . | . . . . | M | . .
2353 | John Griswold | . . . . . . | E | Connecticut . . . . . . . . . . . . | . . . . | M | . .
2354 | James Guthrie | . . . . . . | I | Massachusetts . . . . . . . . . . . | . . . . | M | 48
2355 | Joseph Grady | . . . . . . | E | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2356 | John Graham | . . . . . . | I | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2357 | James Holt | . . . . . . | E | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2358 | John Hains | . . . . . . | I | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2359 | James Hourihan | . . . . . . | B | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2360 | James Hall | . . . . . . | D | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2361 | John Hamilton | . . . . . . | H | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .
2362 | John Hamlin | . . . . . . | I | . . . . . . . . . . . . . . . . . . . . . | . . . . | M | . .

Remarks.

[The table continues with entries for Union soldiers with their regiment, company, rank, and grave number information]
