242     THIRTIETH REGIMENT INFANTRY, U.S.C.T., MD. VOL.—COMPANY C.

NAME. | RANK. | DATE OF ENLISTMENT OR MUSTER IN. | DATE OF MUSTER OUT OR DISCHARGE. | REMARKS.

Smith, Samuel (2) | Private. | Mar. 31, 1864 | Dec. 10, 1865 |
Stephens, Perry | Private. | Mar. 31, 1864 | | Absent sick since April 11, 1864, Co. M. O. rolls.
Stansbury, Benjamin | Private. | Feb. 7, 1864 | | Absent sick since April 11, 1865, Co. M. O. rolls.
Snowden, Isaiah | Private. | Feb. 24, 1864 | | Missing in action, July 30, 1864, supposed to have been killed, Co. M. O. rolls.

Simmons, Henry | Private. | Feb. 25, 1864 | | Died March 21, 1864.
Saunders, Henry | Private. | June 1, 1864 | |
Thornton, Thomas | Corporal. | Feb. 27, 1864 | Dec. 10, 1865 |
Thomas, George W. | Private. | Feb. 8, 1864 | Dec. 10, 1865 | Died Aug. 4, 1864, of wounds received in action.
Turner, Dennis | Private. | Feb. 24, 1864 | Dec. 10, 1865 |
Talling, Randolph | Private. | May 27, 1864 | Dec. 10, 1865 |
Talbot, John | Private. | May 27, 1864 | | Absent sick, Co. M. O. rolls.
Talbot, Henry | Private. | May 24, 1864 | April 11, 1864 | Transferred to Navy.
Tilghman, Samuel | Private. | Feb. 28, 1864 | April 11, 1864 | Transferred to Navy.
Vance, Stephen | Private. | May 17, 1864 | Jan. 11, 1865 |
Willmer, Levin | Sergeant. | Feb. 11, 1864 | Dec. 10, 1865 |
Waters, Robert | Sergeant. | Sept. 15, 1864 | Dec. 10, 1865 |
Wing, Charles k. | Corporal. | Mar. 31, 1864 | Dec. 10, 1865 |
Waters, Stephen | Private. | Sept. 15, 1864 | Dec. 10, 1865 |
Webster, John | Private. | Mar. 31, 1864 | Dec. 10, 1865 |
Weaver, Benjamin | Private. | Feb. 27, 1864 | Dec. 10, 1865 |
Weaver, Benjamin | Private. | Mar. 19, 1864 | Dec. 10, 1865 |
Wisely, Cyrus T. | Private. | Feb. 27, 1864 | June 17, 1865 |
Wilkins, Isaac | Private. | Feb. 27, 1864 | | 
Williams, Edward | Private. | Feb. 27, 1864 | April 11, 1864 | Transferred to Navy.
Wilkinson, Philip W. | Private. | Feb. 28, 1864 | April 11, 1864 | Transferred to Navy.
Ward, Anthony | Private. | Mar. 31, 1864 | | Died March 2, 1864.
Wilkinson, Wash'n | Private. | May 28, 1864 | | Died Aug. 4, 1864, of wounds received in action.
| | | | Died Aug. 28, 1864.

COMPANY D.

COMMISSIONED OFFICERS.

NAME. | RANK. | DATE OF ENLISTMENT OR MUSTER IN. | DATE OF MUSTER OUT OR DISCHARGE. | REMARKS.

Eben Whitney. | Captain. | Feb. 26, 1864 | Dec. 10, 1865 |
Charles B. Sanders. | 1st Lieut. | Mar. 3, 1864 | Dec. 10, 1865 | See Foster's Gold and Staff.
Jacob Foster. | 1st Lieut. | April 5, 1865 | Dec. 10, 1865 | Entered the service as 2nd Lieut.; promoted 1st Lieut., Oct. 26, 1865.
Ira B. Quimby. | 2d Lieut. | Feb. 13, 1864 | Jan. 11, 1865 | Disability.

ENLISTED MEN.

Allan, James | 1st Sergeant. | Feb. 23, 1864 | Dec. 10, 1865 |
Addison, Joseph | Private. | Feb. 25, 1864 | Dec. 10, 1865 |
Bowser, James H. | Sergeant. | Mar. 19, 1864 | Dec. 10, 1865 |
Brown, John | Corporal. | Feb. 27, 1864 | Dec. 10, 1865 |
Banker, Philip W. | Private. | Feb. 27, 1864 | Dec. 10, 1865 |
Barrett, Jas | Private. | Mar. 31, 1864 | Dec. 10, 1865 |
Blackstone, Charles | Private. | Feb. 18, 1864 | Dec. 10, 1865 |
Brice, Aaron | Private. | Feb. 23, 1864 | Dec. 10, 1865 |
Brice, Daniel | Private. | Feb. 24, 1864 | Dec. 10, 1865 |
Brown, Charles | Private. | Feb. 25, 1864 | Dec. 10, 1865 |
Brown, Joseph | Private. | Feb. 27, 1864 | Dec. 10, 1865 |
Bryan, Thomas H. | Private. | May 17, 1864 | Dec. 10, 1865 |
Buckner, Andrew | Private. | Feb. 24, 1864 | Dec. 10, 1865 |
Burgess, Joseph | Private. | Feb. 25, 1864 | Dec. 10, 1865 |
Burr, Daniel | Private. | Feb. 23, 1864 | Dec. 10, 1865 |
Bostick, John | Private. | Feb. 27, 1864 | |
Bordley, Perry | Private. | Feb. 28, 1864 | | Missing in action, July 30, 1864.
Burroughs, William | Private. | Feb. 22, 1864 | | Died March 23, 1864, of disease.
Brice, William P. | Private. | Feb. 28, 1864 | | Died of wounds received in action, Dec. 1, 1864.
| | | | Died March 12, 1864, of disease.
