Managers.

ALLAN DURBOROW, JR. M.C.                FREDERICK W. LAMPORT.
GEORGE E. ADAMS.                        VICTOR P. LAWSON.
ABBOTT L. ADAMS.                        CHARLES D. LATHROP.
J. McGREGOR ADAMS.                      JOSEPH LEITER.
ARTHUR ALDIS.                           H.G. SELFRIDGE.
CAPTAIN JAMES ALLEN, U.S.A.             MILTON C. LIGHTNER.
ALLISON V. ARMOUR.                      BENONI LOCKWOOD, JR.
FRANK M. AVERY.                         FRANK A. MARSH.
ASHER C. BAKER, U.S.N.                  EDWARD G. MASON.
DANIEL N. BERTOLETTE, M.D. U.S.N.       JOHN MASON.
WILLIAM G. BEALE.                       CAPTAIN MARION P. MAUS, U.S.A.
NELSON P. BIGELOW.                      CHARLES P. McAVOY.
EDWARD T. BLAIR.                        CYRUS H. McCORMICK.
J. HARLEY BRADLEY.                      CHARLES B. MacDONALD.
URBAN H. BROUGHTON.                     SEUEL CHAUNCEY McKEEVER, U.S.A.
COL. CHARLES P. BRYAN.                  FRANKLIN MAC VEAGH.
BENJAMIN CARPENTER.                     J. HENRY NORTON.
WILLIAM T. CARRINGTON.                  WILLIAM ODELL.
ARTHUR J. CATON.                        ANDREW ONDERDONK.
JOHN L. CHAMBERLIN, U.S.A.              R.W. PATTERSON, JR.
CHARLES CORWITH.                        FRANCIS S. PEABODY.
FRANK CRAMER.                           FRANK J. REMINGTON.
CHARLES DE ERING.                       THOMAS J. RYAN.
J. EDWARD DOANE.                        ARTHUR J. RYERSON.
AUGUSTUS N. EDDY.                       JAMES W. SCOTT.
ARTHUR C. ELY.                          GEORGE A. SEAVERNS, JR.
JAMES CAREY EVANS.                      CHARLES SHERMAN.
WILLIAM R. FARQUHAR.                    W.F.B. SHUFLEDT.
F.C. FARWELL.                          WILLIAM E. SAFFORD, U.S.N.
WALTER FARWELL.                         SYDNEY R. TABER.
CARTER H. FITZ HUGH.                    LAMBERT TREE.
CARTER H. HARRISON, JR.                 EMERSON B. TUTTLE.
ADRIAN C. HONORE.                       R.A. WALLER.
LOCKWOOD HONORE.                        FRANKLIN WATRISS.
PIERREPONT ISHAM.                       DUDLEY WINSTON.
RALPH ISHAM.                            ROGER WELLES, JR. U.S.N.
HUNTINGTON W. JACKSON.                  FRANCIS M. WHITEHOUSE.
C. FRED KIMBALL.                        BERTRAM WINSTON.
HERMAN H.J. OHLSAAT.                   NORMAN WILLIAMS.
BENJAMIN B. LAMB.                       ARTHUR WHEELER.
