118                    UNION SOLDIERS INTERRED IN

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued.

No. | Name. | Rank. | Co. | Regiment. | Date of death. | Sect. | Grave. | Remarks.

4179 Scott, C. D....................... ........ ........ 92d Illinois................ ........ 7 23 ........
4180 Stedman, John............... ........ ........ 62d New York............ ........ 4 36 ........
4181 Steele, S...................... ........ ........ 56th Illinois.............. ........ 25 61 ........
4182 Smith, Charles............... ........ ........ 13th Illinois.............. ........ 9 ........ ........
4183 Smith, Samuel................ ........ E 134th Illinois............ ........ 2 31 ........
4184 Smith, W. Wayne............ ........ B 13th Illinois............. ........ ........ 184 ........
4185 Smith, Thomas............... ........ E 33d Illinois.............. ........ ........ 59 ........
4186 Smith, George............... ........ E 103d Illinois............ ........ ........ 59 ........
4187 Stoddler, Samuel............ ........ B 13th U. S. colored troops. ........ ........ 52 ........
4188 Stevens, G.................. ........ ........ 13th U. S. colored troops. ........ ........ 104 ........
4189 Stedum, James............... ........ ........ 7th Illinois.............. ........ ........ ........
4190 Smith, William.............. ........ ........ 33d United States infantry ........ 16 ........ ........
4191 Smith, S.................... ........ ........ United States infantry... ........ 19 ........ ........
4192 Smith, H.................... ........ H 34th United States infantry ........ 12 47 ........
4193 Smith, S.................... ........ ........ 7th United States infantry ........ 2 52 ........
4194 Smith, Isaac................ ........ ........ 7th United States infantry ........ 2 53 ........
4195 Smith, Thomas............... ........ ........ 7th United States infantry ........ 2 17 ........
4196 Swanzer, Charlie............ ........ ........ 7th United States infantry ........ 2 54 ........
4197 Stewart, F.................. ........ ........ 7th United States infantry ........ 2 55 ........
4198 Stevens, Charles............ ........ ........ 7th United States infantry ........ 2 56 ........
4199 Sinclare, P................. ........ ........ 7th United States infantry ........ 2 58 ........
4200 Smith, Frank................ ........ ........ 7th United States infantry ........ 2 ........ ........
4201 Smith, B.................... ........ ........ 14th United States infantry ........ 3 ........ ........
4202 Smith, Henry................ ........ ........ 14th United States infantry ........ 3 7 ........
4203 Smith, B. G................. ........ ........ Illinois.................. ........ 36 ........ ........
4204 Smith, G. W................. ........ ........ Illinois.................. ........ 2 2 ........
4205 Smith, H.................... ........ ........ Illinois.................. ........ 7 ........ ........
4206 Stuart, Henry............... ........ ........ Illinois.................. ........ ........ ........ ........
4207 Smith, John H............... ........ ........ Michigan................ ........ ........ ........ ........
4208 Stevens, John............... ........ ........ Illinois.................. ........ ........ ........ ........
4209 Sands, J.................... ........ ........ Pennsylvania............ ........ ........ ........ ........
4210 Shock, A.................... ........ C 99th Pennsylvania........ ........ ........ ........ ........
4211 Stitzer, William............ ........ F 11th Connecticut......... ........ ........ ........ ........
4212 Sives, Jeremiah............. ........ ........ Ohio.................... ........ ........ ........ ........
4213 Stokes, J................... ........ ........ 2d Lieutenant............ ........ ........ ........ ........
