134                    UNION SOLDIERS INTERRED IN

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued.

No. | Name. | Rank. | Co. | Regiment. | Date of death. | Sec. | Grave. | Remarks.

4757 | Wilbur, A. R. | | D | 13th Kentucky cavalry | | 20 | 7 |
4758 | Wilbur, J. S. | | | | | | 8 |
4759 | Williams, Elias | | C | 10th Illinois colored troops | | | 21 |
4760 | Williams, H. | | M | 3rd Rhode Island | | | 7 |
4761 | Williams, H. W. | | | 5th Maine | | | 10 |
4762 | Williams, Henry | | | 34th Massachusetts | | | 16 |
4763 | Williams, Jefferson | | D | 1st U. S. colored troops | | | 10 |
4764 | Williams, Alexander | | B | 21st U. S. colored troops | | | 20 |
4765 | Wilson, Robert | | I | 54th Massachusetts | | | 22 |
4766 | Wilson, Robert | | I | 54th Massachusetts | | | 20 |
4767 | Wilson, J. | | E | 9th Maine | | | 30 |
4768 | Withers, T. | | I | 9th Maine | | | 20 |
4769 | Wood, Henry | | | 97th Pennsylvania | | | 30 |
4770 | Wooley, Joseph L. | | K | 97th Pennsylvania | | | 30 |
4801 | Wrench, Wm. L. K. T. S. | | C | 54th Massachusetts | | | 37 |
4802 | Wright, J. | | C | 54th Massachusetts | | | 53 |
4803 | Wright, J. C. | | E | U. S. gunboat | | | 62 |
4804 | Wright, Jno. J. | | H | 33d U. S. colored troops | | | 60 |
4805 | Wright, J. M. | | I | Pennsylvania | | | 28 |
4806 | Wright, M. | | G | Pennsylvania | | | 38 |
4807 | Wright, W. H. | | | Pennsylvania | | | 6 |
4808 | Wright, J. | | | Pennsylvania | | | 6 |
4809 | Wright, W. F. | | H | 1st New York | | | 30 |
4810 | Yingling, J. F. | | F | 21st U. S. colored troops | | | 12 |
4811 | Wyman, S. C. | | | | | | |
4812 | | | | | | | |
4813 | | | | | | | |
4814 | White, A. J. | | Lieutenant | | | | |
4815 | Ward, D. | | | 25th New York cavalry | | | |
4816 | Wood, J. | | | 1st Indiana | | | |
4817 | Webster, D. M. | | | | | | |
4818 | Wooley, H. L. | | | | | | |
4819 | Wooley, H. L. | | A | | | | |
4820 | Westbrook, J. | | | | | | |
4821 | Westbrook, A. | | B | | | | |
