142                    UNION SOLDIERS INTERRED IN

NATCHEZ NATIONAL CEMETERY, MISSISSIPPI.

No. | Name. | Rank. | Co. | Regiment. | Date of death. | Sec. | Grave. | Original place of burial.

1 | Atkinson, John H. | ... | K | 95th Illinois infantry | Aug. 24, 1863 | 1 | 71 | Natchez, Mississippi.
2 | Achilles, J. | ... | ... | 7th U. S. colored infantry | Oct. 31, ... | 1 | 40 | Do.
3 | Anderson, Harry | ... | F | 51st U. S. colored cavalry | ... | 15 | 142 | Weathers, Do., Mississippi.
4 | Anderson, James | ... | D | 51st U. S. colored infantry | Aug. 24, 1864 | 15 | 139 | Vidalia, Louisiana.
5 | Abbott, Joseph | ... | H | 51st U. S. colored infantry | ... | 15 | 241 | Natchez, Do., Mississippi.
6 | Allen, Darius | ... | M | 12th Wisconsin infantry | Sept. 30, 1863 | 1 | 20 | Do.
7 | Boyle, James | ... | ... | 12th Wisconsin infantry | ... | 1 | 30 | Do.
8 | Brown, W. W. | ... | ... | 12th Wisconsin infantry | ... | 1 | 26 | Do.
9 | Bundred, W. W. | ... | C | 12th Wisconsin infantry | ... | 1 | 27 | Do.
10 | Barnes, J. B. | ... | G | 7th Illinois infantry | ... | 1 | 28 | Do.
11 | Barnes, Julius | ... | O | 51st Illinois infantry | Oct. 27, 1563 | 1 | 45 | Illinois infantry.
12 | Bucklin, James | ... | C | 27th Wisconsin infantry | ... | 1 | 59 | Wisconsin infantry.
13 | Brown, Harry A. | ... | D | 51st Illinois infantry | Aug. 14, 1864 | 1 | 66 | Illinois cavalry.
14 | Brown, Edward | ... | ... | 51st Illinois infantry | ... | 1 | 87 | Illinois infantry.
15 | Bogee, Willis | ... | K | 21st Illinois cavalry | Dec. 7, 1563 | 1 | 82 | Illinois cavalry.
16 | Boyd, William | ... | ... | 51st Illinois infantry | ... | 1 | 86 | Illinois infantry.
17 | Brown, W. | ... | G | 51st Illinois infantry | Dec. 13, 1563 | 1 | 87 | Do.
18 | Brown, W. | ... | ... | 21st Illinois cavalry | ... | 1 | 96 | Do.
19 | Boyd, William | ... | ... | 51st Illinois infantry | Dec. 13, 1563 | 1 | 113 | Do.
20 | Bell, William | ... | ... | 51st Ohio artillery | ... | 3 | 31 | Do.
21 | Brock, J. | Private | ... | ... | Feb. 16, 1564 | 3 | 36 | Do.
22 | Baker, J. | ... | A | ... | Feb. 25, 1564 | 3 | 44 | Do.
23 | Blauser, M. | ... | A | ... | Jun. 24, 1564 | 3 | 46 | Do.
24 | Brown, Enoch | ... | ... | ... | ... | 4 | 93 | Do.
25 | Brown, Albert | ... | ... | ... | ... | 5 | 18 | Do.
26 | Buckley, John | ... | D | ... | June 27, 1563 | 6 | 45 | Planterville, Louisiana.
27 | Brown, Charles | ... | A | ... | Aug. 10, 1567 | 7 | 79 | Planterville, Mississippi.
28 | Bruce, John | ... | A | ... | Nov. 20, 1565 | 7 | 74 | Do.
29 | Brown, Henry | ... | K | ... | ... | 11 | 73 | Do.
30 | Brown, George | ... | K | ... | Sept. ..., 1563 | 14 | 174 | Do.
31 | Brady, George | ... | E | ... | ... | 15 | ... | Do.
32 | Boyer, Benjamin | ... | E | ... | ... | ... | 63 | Do.
33 | Buck, Eugene | Sergeant | ... | ... | ... | ... | 134 | Do.
34 | Burket, James | Private | ... | ... | ... | ... | ... | Do.
35 | ... | ... | ... | ... | ... | ... | ... | Do.
