156                    UNION SOLDIERS INTERRED IN

NATCHEZ NATIONAL CEMETERY, MISSISSIPPI—Continued.

No. | Name | Rank | Co | Regiment | Date of death | Sec. | Grave | Original place of burial.

3035 | Unknown ........... | .... | ... | ................ | ................ | 15 | 245, 246 | Natchez, Mississippi.
3036 | Unknown ........... | .... | ... | ................ | ................ | 15 | 247, 248 | Do.
3041 | Unknown ........... | .... | ... | ................ | ................ | 15 | 256, 257 | Do.
3042 | Unknown ........... | .... | ... | ................ | ................ | 15 | 258 | Do.
3045 | Unknown ........... | .... | ... | ................ | ................ | 15 | 259, 261 | Do.
3046 | V. L. ............. | .... | ... | ................ | ................ | 4 | | Do.
3047 | W. ................ | .... | ... | ................ | ................ | 1 | 29 | Do.
3048 | Walker, J. C. ...... | ... | ... | 31 colored ........ | ................ | 1 | | Do.
3049 | Walker, Wm. J. .... | Corp'l | ... | ................ | Aug. 28, | 1 | 83 | Do.
3050 | Walbridge, E. ..... | ... | I | ................ | ................ | 1 | 68 | Do.
3051 | Walworth, William . | Priv. | C | ................ | Nov. 14, | 1 | 109 | Do.
3052 | Ward, M. .......... | ... | ... | ................ | ................ | 1 | 117 | Do.
3053 | Ward, James ....... | ... | I | ................ | Oct. 19, | 2 | 7 | Do.
3054 | Wells, William .... | ... | H | ................ | July 19, | 2 | 3 | Do.
3055 | West, George ...... | do. | H | ................ | Aug. 5, | 2 | 4 | Do.
3056 | West, James S. .... | .... | ... | ................ | ................ | 2 | 11 | Do.
3057 | Wheeler, W. ....... | Acting must'r | ... | ................ | ................ | 5 | 65 | Do.
3058 | White, C. S. ...... | ... | ... | ................ | April 26, | 5 | 67 | Do.
3059 | White, Charles R. . | ... | ... | ................ | ................ | 7 | 77 | Natchez Plantation, Louisiana.
3060 | Williams, John .... | ... | ... | ................ | Aug. 10, | 6 | 82 | Natchez, Mississippi.
3061 | Wood, John ........ | ... | K | U. S. colored infantry . | ................ | 1 | 107 | Do.
3062 | Washington, Cooper | ... | C | U. S. colored infantry . | ................ | 11 | 137 | Do.
3063 | Wellman, Thomas .. | Priv. | B | U. S. colored infantry . | Mar. 20, | 11 | 124 | Do.
3064 | Walker, Henry ..... | ... | D | U. S. colored infantry . | Aug. 10, | 11 | 127 | Davis's Plantation, Louisiana.
3065 | Washington, Philip | ... | D | U. S. heavy artillery . | ................ | 12 | 155 | Natchez, Mississippi.
3066 | Wilson, John ...... | ... | B | U. S. colored infantry . | ................ | 13 | 247 | Do.
3067 | Washington, Arthur | ... | C | U. S. colored infantry . | ................ | 13 | 238 | Do.
3068 | Westfield, James .. | Priv. | O | U. S. colored infantry . | April 23, | 15 | 179 | Vidalia, Louisiana.
3069 | Williams, George .. | ... | A | 83d U. S. colored infantry | ................ | 15 | 191 | Natchez, Mississippi.
3070 | Washington, George | ... | E | 83d Ohio infantry .... | Mar. 13, | 15 | 196 | Do.
3071 | Zacharias, Elias .. | ... | ... | ................ | ................ | 2 | 16 | Do.
3072 | .................. | ... | ... | ................ | ................ | | |
3073 | .................. | ... | ... | ................ | ................ | | |
