28                    UNION SOLDIERS INTERRED IN

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA.—Continued.

No. | Name. | Rank. | Co. | Regiment. | Date of Death. | Sec. | Grave. | Remarks.

761 Cotton, H. | ... | ... | Private | ... | 69th Maine volunteers | ... | 20 21 21 | 142 40 47 | ... | colored troops
762 Colwell, Geo. | ... | ... | do | ... | 115th New York volunteers | ... | 21 21 | 153 140 | ... | colored troops, vol.
763 Colwell, Jno E. | ... | ... | do | ... | 115th New York volunteers | ... | 21 | 53 | ... | New York volunteers
764 Combs, Jacob | ... | ... | do | ... | 115th New York volunteers | ... | 21 | 34 | ... | New York volunteers
765 Combs, Jas | ... | ... | Private | ... | 115th New York volunteers | ... | 31 | 55 | ... | New York volunteers
766 Cook, Jno | ... | ... | Sergeant | ... | 115th New York volunteers | ... | | 35 | ... | New York volunteers
767 Cook, Jos | ... | ... | do | ... | 115th New York volunteers | ... | | 95 | ... | New York volunteers
768 Cooler, Chas | ... | ... | Private | ... | ... | New York volunteers | ... | | 28 | ... | 1st S. Carolina volunteers
769 Coombs, Geo W. H. | ... | B | Sergeant | ... | 26th New York volunteers | ... | | 28 | ... | New York volunteers
770 Cooper, Jno | ... | ... | Private | ... | 17th Maine volunteers | ... | | 25 | ... | ... volunteers
771 Cooper, Thos | ... | ... | do | ... | ... | New York regulars | ... | | 22 | ... | New York volunteers
772 Corbt, J. A. | ... | A | do | ... | ... | New Hampshire vols. | ... | | 33 | ... | New Hampshire vols.
773 Corbin, Anthony | ... | A | do | ... | 34th New Hampshire vols. | ... | | 30 | ... | New Hampshire vols.
774 Corbin, Daniel | ... | A | do | ... | 34th New Hampshire vols. | ... | | 17 | ... | New Hampshire vols.
775 Corbin, Geo | ... | A | do | ... | 34th New Hampshire vols. | ... | | 17 | ... | New Hampshire vols.
776 Corbin, Wm | ... | B | do | ... | 34th New Hampshire vols. | ... | | 17 | ... | New Hampshire vols.
777 Corey, Thos | ... | ... | do | ... | ... | ... | ... | | | ... | ...
778 Cory, John | ... | ... | do | ... | ... | Schuyler's Lower Point | ... | | 6 | ... | colored troops
779 Counts, B. | ... | ... | Private | ... | ... | 52d Massachusetts volunteers | ... | | 15 | ... | Massachusetts volunteers
780 Cox, Abraham | ... | ... | do | ... | ... | 54th Massachusetts volunteers | ... | | 15 | ... | Massachusetts volunteers
781 Cox, John | ... | ... | do | ... | ... | 54th Massachusetts volunteers | ... | | 15 | ... | Massachusetts volunteers
782 Cox, John | ... | ... | Corporal | ... | H | 54th Massachusetts volunteers | ... | | 15 | ... | Massachusetts volunteers
783 Craft, Alfred | ... | ... | do | ... | E | 23d U. S. colored troops | ... | | 13 | ... | U. S. colored troops
784 Craft, Franklin | ... | ... | do | ... | I | 23d U. S. colored troops | ... | 30 | 30 | ... | U. S. colored troops
785 Craft, Jefferson | ... | ... | do | ... | A | 23d U. S. colored troops | ... | 30 | 30 | ... | U. S. colored troops
786 Craft, Jno | ... | ... | do | ... | ... | 23d U. S. colored troops | ... | 30 | 30 | ... | U. S. colored troops
787 Craft, Silas | ... | ... | Private | ... | I | 23d U. S. colored troops | ... | 30 | 30 | ... | U. S. colored troops
788 Crane, Peter | ... | ... | do | ... | I | 14th U. S. C. volunteers | ... | 30 | ... | ... | U. S. colored volunteers
789 Crawford, Mitchel | ... | ... | do | ... | G | 14th U. S. C. volunteers | ... | 32 | 118 | ... | U. S. colored volunteers
790 Crawford, Saml | ... | ... | do | ... | ... | 12th U. S. colored troops | ... | 32 | 117 | ... | U. S. colored troops
791 Creamer, John | ... | ... | do | ... | H | 12th U. S. colored troops | ... | 32 | 117 | ... | U. S. colored troops
792 Creamer, Marzian | ... | ... | do | ... | H | 12th U. S. colored troops | ... | 32 | 157 | ... | U. S. colored troops
793 Creamer, Moses | ... | ... | do | ... | H | 12th U. S. colored troops | ... | 32 | ... | ... | U. S. colored troops
794 Crescent, Cato | ... | ... | do | ... | G | ... | ... | 31 | ... | ... | ...
