68                    UNION SOLDIERS INTERRED IN

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA.—Continued.

No. | Name. | Rank. | Co. | Regiment. | Date of death. | Sect. | Grave. | Remarks.

2283 | Johnson, Robert................ | Private... | D | 54th Massachusetts............ | ....do.... | 16 | 73 | 
2284 | Johnson, George................ | ....do.... | F | ....do........................ | ....do.... | 31 | 52 |
2285 | Johnson, Isaac................. | ....do.... | F | ....do........................ | ....do.... | 33 | 53 |
2286 | Johnson, Cæsar................ | ....do.... | A | Massachusetts................. | ....do.... | 31 | 89 |
2287 | Jenkins, Lewis................ | ....do.... | F | 54th U. S. colored troops..... | ....do.... | 31 | 67 |
2288 | Jenkins, Peter................ | ....do.... | I | 104th U. S. colored troops.... | ....do.... | 31 | 61 |
2289 | Jenkins, Paul................. | ....do.... | G | 104th U. S. colored troops.... | ....do.... | 31 | 94 |
2290 | Jenkins, Virgil............... | ....do.... | G | 104th U. S. colored troops.... | ....do.... | 31 | 95 |
2291 | Jenkins, William.............. | ....do.... | K | 104th U. S. colored troops.... | ....do.... | 31 | 85 |
2292 | Jenkins, Samuel............... | ....do.... | K | 104th U. S. colored troops.... | ....do.... | 31 | 50 |
2293 | Jenkins, Noah................. | ....do.... | D | 104th U. S. colored troops.... | ....do.... | 31 | 51 |
2294 | Johnson, Jacob W.............. | ....do.... | H | 104th U. S. colored troops.... | ....do.... | 31 | 52 |
2295 | Johnson, Samuel............... | ....do.... | D | 21st U. S. colored troops..... | ....do.... | 17 | 32 |
2296 | Johnson, Richard.............. | Sergeant.. | A | 33rd U. S. colored troops..... | ....do.... | 18 | 1 |
2297 | Johnson, J.................... | Private... | A | 21st U. S. colored troops..... | ....do.... | 1 | 18 |
2298 | Johnson, Richard J............ | ....do.... | J | 35th U. S. colored troops..... | ....do.... | 32 | 1 | 92
2299 | Johnson, Armstron............. | ....do.... | D | ....do........................ | ....do.... | 2 | 1 |
2300 | Johnson, Thomas............... | ....do.... | H | 35th U. S. colored troops..... | ....do.... | 32 | 1 | 95
2301 | Johnson, Jordan............... | ....do.... | B | ....do........................ | ....do.... | 2 | 1 |
2302 | Johnson, A.................... | ....do.... | H | ....do........................ | ....do.... | 32 | 1 | 95
2303 | Johnson, M. A................. | ....do.... |   | ....do........................ | ....do.... | 1 | 1 |
2304 | Jones, Peter.................. |          |   | ....do........................ | Sergeant.. | 1 | 1 |
2305 | Johnson, Jeremiah............. |          |   | 21st Virginia................ |           | 1 | 1 |
2306 | Jones, P...................... |          |   | 5th Connecticut.............. |           | 23 | 1 |
2307 | Johnson, S.................... |          |   | Massachusetts................ |           | 36 | 1 |
2308 | Jones, E...................... |          |   | ....do........................ |           | 16 | 1 |
2309 | Johnson, T.................... |          |   | 5th Massachusetts............ |           | 50 | 1 |
2310 | Johnson, G.................... |          |   | ....do........................ |           | 34 | 1 |
2311 | Jones, S...................... |          |   | ....do........................ |           | 70 | 1 |
2312 | Johnson, H.................... |          |   | ....do........................ |           | 110 | 1 |
2313 | Jones, J...................... |          |   | ....do........................ |           | 47 | 1 |
2314 | Jones, F...................... |          |   | ....do........................ |           | 1 | 1 | 59
