134
UNION SOLDIERS INTERRED IN
BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued.

| No. | Name. | Rank. | Co. | Regiment. | Date of death. | Sec. | Grave. | Remarks. |
|---|---|---|---|---|---|---|---|---|
| 4787 | White, A. R................ | ......... | D | 12th Kentucky cavalry. | ......... | 23 | 58 | |
| 4788 | Wilcox, H. S................ | ......... | ......... | ......... | ......... | ......... | ......... | |
| 4789 | Wilcox, H. S................ | ......... | ......... | ......... | ......... | 7 | 84 | |
| 4790 | Williams, Elias............. | ......... | M | 16th Illinois.................... | ......... | 29 | 129 | |
| 4791 | Williams, Isaac............. | ......... | G | 34th U. S. colored troops....... | ......... | 1 | 67 | |
| 4792 | Whitmore, Harmon W......... | ......... | ......... | Signal corps.................... | ......... | ......... | ......... | |
| 4793 | White, W. W................ | ......... | H | 54th Massachusetts............ | ......... | 16 | 75 | |
| 4794 | Williams, Preston........... | ......... | E | 127th Ohio....................... | ......... | 10 | 76 | |
| 4795 | Wallace, John............... | ......... | D | 2d U. S. colored troops....... | ......... | ......... | 109 | |
| 4796 | Wilson, Alexander........... | ......... | E | 2d Florida cavalry............ | ......... | ......... | ......... | |
| 4797 | Williams, Washington........ | ......... | E | 99th U. S. colored troops....... | ......... | 32 | 91 | |
| 4798 | Williams, Robert............ | ......... | Z | ......... | ......... | 20 | 25 | |
| 4799 | Ware, Wilbert............... | ......... | I | 9th Maine..................... | ......... | 48 | 48 | |
| 4800 | Worcester, J. Y.............. | ......... | I | 9th Maine..................... | ......... | 37 | 81 | |
| 4801 | Wilson, William............. | ......... | K | 97th Pennsylvania............ | ......... | 37 | 64 | |
| 4802 | Wonderley, J. K. (P.&S) | ......... | G | 97th Pennsylvania............ | ......... | 37 | 62 | |
| 4803 | Wright, W................... | ......... | H | 97th Pennsylvania............ | ......... | ......... | ......... | |
| 4804 | Wright, J.................... | ......... | F | 97th Pennsylvania............ | ......... | 37 | 28 | |
| 4805 | Wright, J. C................ | ......... | E | 4th Tennessee................ | ......... | 23 | 10 | |
| 4806 | Woodward, J................. | ......... | ......... | U. S. S. Chenango............ | ......... | 6 | 107 | |
| 4807 | Wadkins, J. M............... | ......... | ......... | - Pennsylvania............... | ......... | 6 | 9 | |
| 4808 | Wilson, Charles............. | Corporal | H | 21st U. S. colored troops....... | ......... | ......... | ......... | |
| 4809 | Wilson, W. H................ | ......... | H | 21st U. S. colored troops....... | ......... | 30 | 143 | |
| 4810 | Wright, Coffee.............. | ......... | F | 48th New York................ | ......... | 12 | 41 | |
| 4811 | Wilson, J.................... | ......... | ......... | ......... | ......... | ......... | ......... | |
| 4812 | Walker, J. E................. | ......... | ......... | ......... | ......... | ......... | ......... | |
| 4813 | Williamson, S. C............ | ......... | ......... | ......... | ......... | ......... | ......... | |
| 4814 | W_____, J.................. | ......... | ......... | ......... | ......... | ......... | ......... | |
| 4815 | White, A. P................. | ......... | ......... | ......... | ......... | ......... | ......... | |
| 4816 | Webster, D. P............... | ......... | ......... | ......... | ......... | ......... | ......... | |
| 4817 | Wolf, T. D.................. | ......... | ......... | F | 28th New York cavalry......... | ......... | ......... | |
| 4818 | Walker, John................ | Lieutenant | ......... | ......... | ......... | ......... | ......... | |
| 4819 | Woobarry, H. A.............. | ......... | ......... | ......... | ......... | ......... | ......... | |
| 4820 | Wuder, A. H................. | ......... | ......... | ......... | ......... | ......... | ......... | |
| 4821 | Whitehead, A................ | ......... | B | 51st Indiana................. | ......... | ......... | ......... | |
