142 UNION SOLDIERS INTERRED IN NATCHEZ NATIONAL CEMETERY, MISSISSIPPI.

| No. | Rank. | Co. | Regiment. | Date of death. | Sec. | Grave. | Original place of burial. |
|---|---|---|---|---|---|---|---|
| 1 | Atkinson, John H. | K | 95th Illinois infantry....... | Aug. 24, 1863 . . . . . | 1 | 1 | Natchez, Mississippi. |
| 2 | Astings, Troy......... | . . . . . | 4th Illinois cavalry ....... | Oct. 31, . . . . . . . . . | . . . | 71 | Do. |
| 3 | Ashwood, Henry ....... | . . . . . | 58th U. S. colored infantry.. | . . . . . . . . . . . | . . . | 49 | Washington, Mississippi. |
| 4 | Allen, Henry ......... | G | 4th Illinois cavalry ....... | May 23, 1864 .. . . . . . | 15 | 15 | Vidalia, Louisiana. |
| 5 | Allen, Daniel......... | . . . . . | 58th U. S. colored infantry.. | Apr. 29, 1864 .. . . . . . | 15 | 242 | Natchez, Mississippi. |
| 6 | Allen, Daniel......... | . . . . . | 58th U. S. colored infantry.. | Oct. 1, 1863 ... . . . . . . | 15 | 244 | Do. |
| 7 | Beebe, Charles A. ..... | H | 12th Wisconsin infantry.... | 1, 1863. . . . . . . . . . . | 1 | 20 | Do. |
| 8 | Brown, D........... | K | 12th Wisconsin infantry.... | Oct. 24, 1863 .. . . . . . . | 1 | 26 | Do. |
| 9 | Blanchard, W. W. ... | . . . . . | 12th Wisconsin infantry.... | Sept. 26, 1863 | 1 | 27 | Do. |
| 10 | B----- S.......... | . . . . . | 11th Illinois infantry...... | Dec. 7, 1863 ... . . . . . . | . . . | 28 | Do. |
| 11 | Baltzell, J. L......... | . . . . . | 95th Illinois infantry....... | Feb. 10, 1864 .. . . . . . . | 2 | 86 | Do. |
| 12 | Bush, William F. .... | . . . . . | 12th Wisconsin infantry.... | Feb. 25, 1864 .. . . . . . . | 1 | 36 | Do. |
| 13 | Broken, Henry A. ... | I | 15th Illinois infantry...... | Feb. 14, 1864 .. . . . . . . | 3 | 43 | Do. |
| 14 | Burwell, W. J ........ | D | 2d Illinois artillery ...... | Jan. 24, 1864 .. . . . . . . | 3 | 94 | Do. |
| 15 | Biggs, Paul......... | G | 76th Illinois infantry...... | . . . . . . . . . . . . | 3 | 16 | Do. |
| 16 | Bates, John.......... | G | 15th Illinois infantry...... | . . . . . . . . . . . . | . . . | 80 | Do. |
| 17 | Boyd, William ....... | . . . . . | 2d Illinois artillery ...... | Oct. 27, 1863 .. . . . . . . | 1 | 87 | Do. |
| 18 | Brahm, August....... | . . . . . | 11th Illinois infantry...... | Oct. 27, 1863 .. . . . . . . | 1 | 88 | Do. |
| 19 | Balzell, W. .......... | . . . . . | 11th Illinois infantry...... | Nov. 14, 1863 .. . . . . . . | 1 | 98 | Do. |
| 20 | Bennington, T. ...... | I | 15th Ohio artillery ------ | Dec. 13, 1863 .. . . . . . . | 1 | 107 | Plantation, Louisiana. |
| 21 | Boyd, William E. .... | . . . . . | 2d artillery ----------- | . . . . . . . . . . . . | . . . | 113 | Meadville, Mississippi. |
| 22 | Becktol, J........... | D | 29th Illinois infantry...... | . . . . . . . . . . . . | 3 | 21 | Do. |
| 23 | Broker, H............. | A | 12th Wisconsin infantry.... | Feb. 30, 1864 --------- | 3 | 2 | Vidalia, Louisiana. |
| 24 | Brokett, W. P. ...... | A | 35th Wisconsin infantry.... | Feb. 25, 1864 .. . . . . . | 3 | 36 | Do. |
| 25 | Brown, Edward....... | L | 4th Illinois cavalry ....... | Aug. 13, 1867 ....... | 5 | 45 | Do. |
| 26 | Boughton, Edgar..... | K | U. S. iron clad Tennessee...| June 27, 1863 .. . . . . . | 7 | 74 | Do. |
| 27 | Bettis, A............. | I | 66th U. S. colored infantry.. | . . . . . . . . . . . . | . . . | 78 | Natchez, Mississippi. |
| 28 | Bringat, John........ | E | 70th U. S. colored infantry.. | Aug. 13, 1867 ....... | . . . | 174 | Do. |
| 29 | Benton, Lucius....... | . . . . . | 58th U. S. colored infantry.. | Nov. 20, 1863 .. . . . . . | . . . | 8 | Do. |
| 30 | Brewer, Henry....... | . . . . . | 58th U. S. colored infantry.. | Sept. -, 1863 --------- | . . . | 64 | Do. |
| 31 | Blake, J............. | . . . . . | 58th U. S. colored infantry.. | . . . . . . . . . . . . | . . . | 14 | Do. |
| 32 | Brady, George....... | . . . . . | 58th U. S. colored infantry.. | . . . . . . . . . . . . | . . . | 134 | Do. |
| 33 | Burke, George....... | . . . . . | ... | . . . . . . . . . . . . | . . . | 15 | Do. |
| 34 | Black, Benjamin..... | ... | ... | ... | ... | ... | ... |
| 35 | Bartlett, James...... | ... | ... | ... | ... | ... | ... |
