28

UNION SOLDIERS INTERRED IN

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA-Continued.
| No. | Name. | Rank. | Co. | Regiment. | Date of death. | Sec. | Grave. | Remarks. |
|---|---|---|---|---|---|---|---|---|
| 761 | Cotton, H. | Private ...... | E | 9th Maine volunteers... | ...... | 20 | 12 | |
| 762 | Calvay, G. | do...... | C | 115th New York volunteers.. | ...... | 21 | 40 | |
| 763 | Cassidy, D. | do...... | D | 115th New York volunteers.. | ...... | 21 | 47 | |
| 764 | Crandall, Paul.. | do...... | G | 115th New York volunteers.. | ...... | 19 | 116 | |
| 765 | Callamore, S. E... | do...... | H | 115th New York volunteers.. | ...... | 21 | 53 | |
| 766 | Clark, A. | do...... | D | 115th New York volunteers.. | ...... | 21 | 34 | |
| 767 | Clapson, Charles | Private ... | A | 115th New York volunteers.. | ...... | 6 | 85 | |
| 768 | Chatham, J. | Corporal .... | F | U. S. steamer Pawnee... | ...... | 35 | 22 | |
| 769 | Chathan, W. H.. | Seaman .... | F | 98th New York volun- | ...... | 15 | 54 | |
| 770 | Chapman, W. H... | Private ...... | B | 23d Massachusetts vols. | ...... | 38 | 42 | |
| 771 | Cantin, Aug.... | do...... | D | - New York engineers.. | ...... | 28 | 90 | |
| 772 | Cramer, F. | do...... | I | - New York engineers.. | ...... | 28 | 120 | |
| 773 | Cronk, T. | do...... | A | 176th Pennsylvania vols..... | ...... | 17 | 20 | |
| 774 | Cramar, J. | do...... | D | 76th Pennsylvania volun- | ...... | 47 | 47 | |
| 775 | Campbell, Andrew J..| Private ...... | A | 3d New Hampshire vols.... | ...... | 17 | 46 | |
| 776 | Colby, Daniel L... | do...... | A | 3d New Hampshire vols.... | ...... | 17 | 29 | |
| 777 | Caban, William | do...... | B | 3d New Hampshire vols.... | ...... | 6 | 129 | |
| 778 | Carter, David | do...... | ... | Schooner Locust Point.. | ...... | 16 | 65 | |
| 779 | Cogan, John | do...... | G | 54th Massachusetts vols..... | ...... | 15 | 21 | |
| 780 | Cooper, Thomas F... | do...... | B | 55th Massachusetts vols..... | ...... | 15 | 37 | |
| 781 | Curtiss, John.... | do...... | D | 55th Massachusetts vols..... | ...... | 30 | 8 | |
| 782 | Claybourne, Archy | do...... | B | 55th Massachusetts vols..... | ...... | 30 | 90 | |
| 783 | Curtis, Franklin | Private ...... | C | 33d U. S. colored troops... | ...... | 30 | 88 | |
| 784 | Cratin, August.. | do...... | H | 33d U. S. colored troops... | ...... | 30 | 127 | |
| 785 | Campbell, Augustine..| do...... | K | 33d (1st S. C.) volunteers...| ...... | 30 | 117 | |
| 786 | Camel, Frank.... | do...... | K | 33d (1st S. C.) volunteers...| ...... | 29 | 102 | |
| 787 | Campbell, York. | do...... | B | 34th (2d S. C.) volunteers.| ...... | 32 | 142 | |
| 788 | Cowens, York | do...... | C | 34th (2d S. C.) volunteers.| ...... | 32 | 120 | |
| 789 | Canneda, William | do...... | I | 128th U. S. colored troops..| ...... | 32 | 127 | |
| 790 | Cannell, Mazarini | do...... | E | 128th U. S. colored troops..| ...... | 31 | 80 | |
| 791 | Cooner, Henry | do...... | B | 128th U. S. colored troops..| ...... | 31 | 84 | |
| 792 | Cannahan, Amos | do...... | H | 3d U. S. colored troops....| ...... | | | |
| 793 | Christopher, J. | do...... | C | | ...... | | | |
| 794 | Coburn, Guy ....| do...... | B | | ...... | | | |
| 795 | Curtiss, John....| do...... | | | ...... | | | |
