68 UNION SOLDIERS INTERRED IN

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA-Continued.

| No. | Rank. | Co. | Regiment. | Date of death. | Sec. | Grave. | Remarks. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 2281 | Jones, Robert......... | Private.... | D | 54th Massachusetts........... | ...... | 16 | 73 | |
| 2282 | Joiner, George......... | do........ | F | 54th Massachusetts........... | ...... | ...... | ...... | |
| 2283 | Johnson, Stephen..... | do........ | B | 54th Massachusetts........... | ...... | ...... | ...... | |
| 2284 | Joison, Caesar....... | do........ | A | -Massachusetts............. | ...... | ...... | ...... | |
| 2285 | Jackson, Charles..... | do........ | T | 104th U.S. colored troops...... | ...... | 31 | 2 | |
| 2286 | Jenkins, James....... | do........ | E | 104th U. S. colored troops...... | ...... | 31 | 53 | |
| 2287 | Judgess, Josiah...... | do........ | I | 104th U.S. colored troops...... | ...... | 31 | ...... | |
| 2288 | Jenkins, Peter....... | do........ | G | 104th U.S. colored troops...... | ...... | 27 | 58 | |
| 2289 | Jenkins, Virgil...... | do........ | E | 104th U.S. colored troops...... | ...... | 31 | 27 | |
| 2290 | Jackson, Andrew...... | do........ | K | 104th U.S. colored troops...... | ...... | 29 | 64 | |
| 2291 | Jones, Samuel........ | do........ | A | 104th U.S. colored troops...... | ...... | 31 | 26 | |
| 2292 | Jones, Prince........ | do........ | E | 104th U.S. colored troops...... | ...... | 31 | 98 | |
| 2293 | Jones, George W...... | do........ | G | 104th U. S. colored troops...... | ...... | 31 | 86 | |
| 2294 | Jackson, Anthony..... | do........ | H | 104th U.S. colored troops...... | ...... | 31 | 49 | |
| 2295 | Johnson, Stites J.... | Private.... | ..... | ...... | 8 | 151 | |
| 2296 | Johnson, David....... | do........ | ..... | 33rd New York. ............ | ...... | 31 | 52 | |
| 2297 | Johnson, Stites J.... | Sergeant... | E | 88th New York............. | ...... | 27 | ...... | |
| 2298 | Johnson, David....... | do........ | G | 14th New Hampshire......... | ...... | 18 | ...... | |
| 2299 | Johnson, Thomas...... | do........ | H | 35th U. S. colored troops...... | ...... | 32 | ...... | |
| 2300 | Jourrett, James...... | do........ | I | 11th Iowa................ | ...... | 7 | 118 | |
| 2301 | Johnson, Anderson.... | do........ | E | 9th Illinois............. | ...... | 29 | 98 | |
| 2302 | Jones, David......... | do........ | D | 25th Indiana............. | ...... | ...... | ...... | |
| 2303 | Jenkins, Thomas...... | do........ | H | 34th U. S. colored troops...... | ...... | ...... | ...... | |
| 2304 | Johnson, M. A. E..... | Sergeant... | F | 14th West Virginia......... | ...... | 23 | 21 | |
| 2305 | Johnson, D. J........ | do........ | B | 17th Connecticut........... | ...... | 36 | 28 | |
| 2306 | Joe, M. P............. | do........ | F | 18th Massachusetts......... | ...... | 16 | 84 | |
| 2307 | Joe, M. P............. | do........ | I | 6th Ohio.................. | ...... | 26 | 79 | |
| 2308 | Johnson, J. P........ | do........ | E | 6th Ohio.................. | ...... | 10 | 101 | |
| 2309 | Joiner, R.S........... | do........ | B | 58th Indiana............. | ...... | 5 | ...... | |
| 2310 | Johnson, J. E........ | do........ | E | 141st New York............ | ...... | 27 | 105 | |
| 2311 | Jewitt, J. E......... | Private.... | ..... | ...... | ...... | ...... | ...... | |
| 2312 | Jordan, L. S......... | do........ | ..... | ...... | ...... | ...... | ...... | |
| 2313 | Jenkins, R............ | do........ | ..... | ...... | ...... | ...... | ...... | |
| 2314 | Jenkins, R............ | do........ | ..... | ...... | ...... | ...... | ...... | |
| 2315 | Joins, Eaton......... | do........ | ..... | ...... | ...... | ...... | ...... | |
