118 UNION SOLDIERS INTERRED IN

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued.

| No.  | Name.             | Rank.      | Co. | Regiment                      | Date of death. | Sec. | Grave. | Remarks. |
|------|-------------------|------------|-----|-------------------------------|----------------|------|--------|----------|
| 4179 | Scot, C. D....... |            | D   | 92d Illinois.............   |                | 7    | 92     |          |
| 4180 | Sheridan, John... |            | H   | 69th New York............   |                | 25   | 81     |          |
| 4181 | S____, S.......   |            | B   | 9th Indiana cavalry........ |                | 41   | 41     |          |
| 4182 | Soule, Charles... |            | L   | 103d U. S. colored troops... |                |      |        |          |
| 4183 | Singleton, Charles |            | K   | 103d U. S. colored troops... |                |      |        |          |
| 4184 | Small, Samuel.... |            | F   | 103d U. S. colored troops... |                |      |        |          |
| 4185 | Strickland, Wayne. |            | C   | 33d U. S. colored troops.... | ..             | 30   | 61     |          |
| 4186 | Smith, Wm........ |            | E   | 33d U. S. colored troops.... | ..             | 31   | 164    |          |
| 4187 | Stravs, Mingo.... |            | B   | 33d U. S. colored troops.... |                | 31   | 165    |          |
| 4188 | Snerling, Samuel. |            |     | 102d U. S. colored troops... |                |      |        |          |
| 4189 | Stevens, Andrew.. |            |     | 7th Connecticut........... |                |      | 14     |          |
| 4190 | Smith, A. H...... |            |     | 7th Connecticut........... |                |      | 35     |          |
| 4191 | Soule, Samuel, S.. |            |     | 7th United States infantry.. |                |      | 16     |          |
| 4192 | Seaman, A........ |            |     | 7th United States infantry.. |                | 2    | 47     |          |
| 4193 | Stewart, S. H.... |            |     | 7th United States infantry.. |                | 2    | 17     |          |
| 4194 | Sorait, H. Clay.. |            |     | 7th United States infantry.. |                | 2    | 15     |          |
| 4195 | Shay, Thomas..... |            |     | 7th United States infantry.. |                | 2    | 68     |          |
| 4196 | Scot, Samuel..... |            |     | 7th United States infantry.. |                | 2    | 38     |          |
| 4197 | Sullivan, Daniel. |            |     | 7th United States infantry.. |                | 2    |        |          |
| 4198 | Smuger, Charles.. |            |     | 7th United States infantry.. |                | 2    |        |          |
| 4199 | Seifert, Fred.... |            |     | 7th United States infantry.. |                | 2    |        |          |
| 4200 | Snyder, B........ |            |     | 7th United States infantry.. |                | 2    | 33     |          |
| 4201 | Shimler, Nick.... |            |     | 7th United States infantry.. |                | 2    | 32     |          |
| 4202 | Sickel, B........ |            |     | 7th United States infantry.. |                | 2    | 11     |          |
| 4203 | Smith, Henry..... |            |     | 7th United States infantry.. |                | 2    | 57     |          |
| 4204 | Smith, A. B...... |            |     | 7th United States infantry.. |                | 3    | 4        |          |
| 4205 | Smith, G. W...... |            |     | 7th United States infantry.. |                | 3    | 96     |          |
| 4206 | Shuman, Henry.... |            |     | 7th United States infantry.. |                | 3    | 10       |          |
| 4207 | Sherod, J. B..... |            |     | 7th United States infantry.. |                | 3    | 26       |          |
| 4208 | Smith, John B.... |            | E   | 7th United States infantry.. |                | 3    | 7        |          |
| 4209 | Strobir, J....... |            |     | 48th Illinois .............. |                | 3    | 3        |          |
| 4210 | Sacks, J......... |            | G   | 11th Illinois ............. |                | 5    | 4        |          |
| 4211 | Simmons, James... |            | G   | 133d Michigan............. |                | 10   | 172    |          |
| 4212 | Spires, William.. |            | F   | 29th Ohio ..................|                | 36   | 161    |          |
| 4213 | Sullivan, Richard |            |     | 7th Connecticut........... |                | 38   | 35       |          |
|      |                  |            |     | 113th Ohio ................|                |      | 5        | 1        |
