134 UNION SOLDIERS INTERRED IN

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA--Continued.

| No.   | Name.               | Rank.      | Co. | Regiment.              | Date of death. | Sec. | Grave. | Remarks. |
| :---- | :------------------ | :--------- | :-- | :--------------------- | :------------- | :--- | :----- | :------- |
| 4787  | White, A. R..       | Corporal.. | D   | 12th Kentucky cavalry | ............   | 23   | 58     |          |
| 4788  | Walben, J.          | .......... | M   | 16th Illinois......... | ............   |      |        |          |
| 4789  | Wilcox, H. S....... | .......... | G   | 34th U. S. colored troops | ..........   |      |        |          |
| 4790  | Williams, Elins.... | .......... | D   | 2d Florida cavalry.... | ............   |      |        |          |
| 4791  | Williams, Isaac.... | .......... | I   | 99th Maine............. | ............   |      |        |          |
| 4792  | Whitmore, Harmon W. | .......... | K   | 9th Maine............. | ............   |      |        |          |
| 4793  | White, W. W........ | .......... | G   | 97th Pennsylvania...... | ............   |      |        |          |
| 4794  | Williams, Preston.. | .......... | E   | 97th Pennsylvania...... | ............   |      |        |          |
| 4795  | Wallace, John...... | .......... | F   | 97th Pennsylvania...... | ............   |      |        |          |
| 4796  | Wilson, Alexander.. | .......... | H   | 54th Massachusetts..... | ............   |      |        |          |
| 4797  | Williams, Washington | .......... | D   | 127th Ohio............. | ............   |      |        |          |
| 4798  | Williams, Robert... | .......... | E   | 24th U. S. colored troops | ..........   |      |        |          |
| 4799  | Ware, Wilbert...... | .......... | I   | 97th Pennsylvania...... | ............   |      |        |          |
| 4800  | Worcester, J. Y.... | .......... | K   | 97th Pennsylvania...... | ............   |      |        |          |
| 4801  | Wilson, William.... | .......... | G   | 97th Pennsylvania...... | ............   |      |        |          |
| 4802  | Wonderly, J. K. (P,S.) | .......... | F   | 4th Tennessee.......... | ............   |      |        |          |
| 4803  | Wright, J. ......... | .......... | E   | U. S. C. Shenango....... | ............   |      |        |          |
| 4804  | Wright, W. ......... | .......... | H   | - Pennsylvania......... | ............   |      |        |          |
| 4805  | Wright, J. C....... | .......... | H   | 21st U. S. colored troops | ..........   |      |        |          |
| 4806  | Woodward, J. M..... | .......... | F   | 48th New York.......... | ............   |      |        |          |
| 4807  | Wadkins, J. M...... | .......... | F   | 25th New York cavalry.. | ............   |      |        |          |
| 4808  | Wilson, Charles.... | .......... | B   | 51st Indiana........... | ............   |      |        |          |
| 4809  | Wilson, W. H....... | .......... |     |                        |                |      |        |          |
| 4810  | Wright, Cuffee..... | .......... |     |                        |                |      |        |          |
| 4811  | Wilson, J. ......... | .......... |     |                        |                |      |        |          |
| 4812  | Walker, J. E....... | Corporal... |     |                        |                | 32   | 91     |          |
| 4813  | Williamson, S. C... | .......... |     |                        |                | 30   | 143    |          |
| 4814  | W--, J. ........... | .......... | H   | 34th U. S. colored troops | ..........   | 12   | 41     |          |
| 4815  | W--, J. ........... | Lieutenant | F   |                        |                |      |        |          |
| 4816  | White, A. P        | .......... |     |                        |                |      |        |          |
| 4817  | Webster, D. P...... | .......... |     |                        |                |      |        |          |
| 4818  | Wolf, T. D......... | .......... |     |                        |                |      |        |          |
| 4819  | Woodberry, H. A.... | .......... |     |                        |                |      |        |          |
| 4820  | Wuder, A. H........ | .......... |     |                        |                |      |        |          |
| 4821  | Whitehead, A....... | .......... |     |                        |                |      |        |          |
