156 UNION SOLDIERS INTERRED IN

NATCHEZ NATIONAL CEMETERY, MISSISSIPPI—Continued.

| No.  | Name.           | Rank.           | Co. | Regiment.            | Date of death. | Sec. | Grave.   | Original place of burial. |
| :--- | :-------------- | :-------------- | :-- | :------------------- | :------------- | :--- | :------- | :------------------------ |
| 3035 | Unknown, 2      | . . . . . . . . .  | ..  | ................ | . . . . . . . . . | 15   | 245, 246 | Natchez, Mississippi.     |
| 3039 | Unknown, 4      | . . . . . . . . .  | ..  | ................ | . . . . . . . . . | 15   | 251-254  | Do.                       |
| 3041 | Unknown, 2      | . . . . . . . . .  | ..  | ................ | . . . . . . . . . | 15   | 255, 256 | Do.                       |
| 3042 | Unknown, 1      | . . . . . . . . .  | ..  | ................ | . . . . . . . . . | 15   | 257      | Do.                       |
| 3045 | Unknown, 3      | . . . . . . . . .  | ..  | ................ | . . . . . . . . . | 4    | 15       | Do.                       |
| 3046 | Vanderkin, John | . . . . . . . . .  | ..  | ................ | . . . . . . . . . | 1    | 93       | Do.                       |
| 3047 | V. W. I. J.     | . . . . . . . . .  | ..  | ................ | . . . . . . . . . | 1    | 108      | Do.                       |
| 3048 | W. A. I.        | . . . . . . . . .  | ..  | ................ | . . . . . . . . . | 1    | 117      | Do.                       |
| 3049 | Wohlford, G.    | . . . . . . . . .  | ..  | ................ | . . . . . . . . . | 2    | 3        | Do.                       |
| 3050 | Walker, E. D.   | . . . . . . . . .  | ..  | ................ | . . . . . . . . . | 2    | 4        | Do.                       |
| 3051 | Webb, M. F.     | . . . . . . . . .  | ..  | ................ | . . . . . . . . . | 2    | 5        | Do.                       |
| 3052 | Wolford, George | . . . . . . . . .  | ..  | ................ | . . . . . . . . . | 3    | 10       | Do.                       |
| 3053 | Weaver, E. A.   | . . . . . . . . .  | ..  | ................ | . . . . . . . . . | 5    | 111      | Do.                       |
| 3054 | Wells, R. M.    | . . . . . . . . .  | ..  | ................ | . . . . . . . . . | 5    | 63       | Do.                       |
