28 UNION SOLDIERS INTERRED IN
BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA-Continued.

| No. | Name. | Rank. | Co. | Regiment. | Date of death. | Sec. | Grave. | Remarks. |
|---|---|---|---|---|---|---|---|---|
| 761 | Cotton, H. | Private | E... | 9th Maine volunteers.. | ........ | 20 | 12 | .......... |
| 762 | Calvay, G. | ...do......... | C... | 115th New York volunteers. | ........ | 21 | 40 | .......... |
| 763 | Cassidy, G. | ...do......... | D... | 115th New York volunteers. | ........ | 21 | 47 | .......... |
| 764 | Crandall, Paul.. | ...do......... | D... | 115th New York volunteers. | ........ | 21 | 40 | .......... |
| 765 | Callamore, S. E. | ...do......... | G... | 115th New York volunteers. | ........ | 19 | 116 | .......... |
| 766 | Clark, A. | Private | D... | 115th New York volunteers. | ........ | 21 | 53 | .......... |
| 767 | Clapson, Charles | Private | A... | 115th New York volunteers. | ........ | 21 | 34 | .......... |
| 768 | Chatham, J. | Corporal | F... | U. S. steamer Pawnee. | ........ | 6 | 85 | .......... |
| 769 | Cramer, C. | Seaman | A... | 98th New York volunteers. | ........ | 35 | 22 | .......... |
| 770 | Chapman, W. H. | Private | B... | 23d Massachusetts vols. | ........ | 15 | 54 | .......... |
| 771 | Cramer, F. | Private | D... | 176th Pennsylvania vols.. | ........ | 15 | 42 | .......... |
| 772 | Cantin, Aug. | Private | I... | -New York engineers. | ........ | 38 | 90 | .......... |
| 773 | Corby, Daniel L. | Private | A... | 76th Pennsylvania volunteers. | ........ | 38 | 120 | .......... |
| 774 | Cronk, T. | ...do......... | A... | -New York engineers. | ........ | 17 | 47 | .......... |
| 775 | Crammer, J. | ...do......... | D... | 3d New Hampshire vols.. | ........ | 17 | 20 | .......... |
| 776 | Campbell, Andrew J. | ...do......... | A... | 3d New Hampshire vols. | ........ | 17 | 6 | .......... |
| 777 | Colby, Daniel L. | Private | A... | 3d New Hampshire vols. | ........ | 17 | 29 | .......... |
| 778 | Caban, William | Private | A... | 3d New Hampshire vols.. | ........ | 17 | 46 | .......... |
| 779 | Carter, David | ...do......... | B... | Hampshire vols............. | ........ | 30 | 90 | .......... |
| 780 | Cogan, John | ...do......... | B... | Hampshire vols............. | ........ | 30 | 88 | .......... |
| 781 | Cooper, Thomas F. | Private | D... | 33d (1st S. C.) volunteers. | ........ | 30 | 117 | .......... |
| 782 | Curtiss, John..... | Private | H... | 33d (1st S. C.) volunteers. | ........ | 30 | 127 | .......... |
| 783 | Claybourne, Archy | Private | K... | .......... | ........ | 29 | 102 | .......... |
| 784 | Cratin, August.... | Private | B... | 34th (2d S. C.) volunteers. | ........ | 32 | 142 | .......... |
| 785 | Campbell, Augustine. | ...do......... | B... | 34th (2d S. C.) volunteers. | ........ | 32 | 120 | .......... |
| 786 | Camel, Frank | ...do......... | C... | 128th U. S. colored troops. | ........ | 32 | 127 | .......... |
| 787 | Campbell, York. | ...do......... | E... | 128th U. S. colored troops. | ........ | 31 | 84 | .......... |
| 788 | Cowens, York.. | ...do......... | H... | 128th U. S. colored troops. | ........ | 32 | 130 | .......... |
| 789 | Cammel, William | ...do......... | H... | 128th U. S. colored troops. | ........ | 32 | 127 | .......... |
| 790 | Cammel, Mazarini | ...do......... | H... | 128th U. S. colored troops. | ........ | 32 | 127 | .......... |
| 791 | Cooner, Henry | ...do......... | H... | 128th U. S. colored troops. | ........ | 32 | 127 | .......... |
| 792 | Cannaham, Amos | ...do......... | H... | 124th U. S. colored troops. | ........ | 32 | 127 | .......... |
| 793 | Christopher, J. | ...do......... | H. | 118th U. S. colored troops. | ........ | 32 | 127 | .......... |
| 794 | Coburn, Guy- | ...do......... | H... | 128th U. S. colored troops. | ........ | 32 | 142 | .......... |
| 795 | Curtiss, John. | ...do......... | H... | 3d U. S. colored troops. | ........ | 31 | 84 | .......... |
