156
Richmond

|John C. Moore. 184 22 & 23 Finney & Muse.|2 Girls Ellen and Ann|5000|||
|---|---|---|---|---|
||Commission & Taxes|275|405|4.595 00|
||Board|30  |      |         |
|C. M. Duerson 98 33 Joseph P. Henly.|1 Boy Henry|2250|||
||Commission & Taxes|168 75|243 75|2.006 25|
||Board|75|       |        |
|P. A. Webster & Co. 168 33 J. M. Caden & Co..|1 Man Allan|3500|||
||Commission & Taxes|412 50|472 50|3.027 50|
||Board|60|        |        |
|Wm X. Payne. 143 16 E. J. Duval.|1 Boy Tom|4550|||
||Commission & Taxes|341 25|341 25|4.208 75|
|E. H. Gates. 110 23 E. C. Grant.|1 Girl Maria|4000|||
||Commission & Taxes|300|300|3.700 00|
|E. P. Bradley 321 60 Pollard|1 Woman Amy & 2 Children|4100|||
||Commission & Taxes|307 50|372 50|3.587 50|
||Board & Medical Exam|65|        |        |
|B. C. Wherry 168 23 23 Finney & Muse.|1 Girl Laura|2800|||
||Commission & Taxes|210|225|2.575 00|
||Board|15|        |        |
|James Lawrence 125 342 C G M. Musby|1 Woman Jane & 2 Children|4000|||
||Commission & Taxes|300|330|3.670 00|
||Board|30|        |        |
|Wm Allen 438 & 24 342 C. G. M. Murry 208 D. McDaniel|1 Girl Patsy|3900|||
||1 Woman Rose|1950|4.850|       |
||Commission & Taxes|263 75|363 75||
