104

UNION SOLDIERS INTERRED IN [?]
BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued.

| No. | Name. | Rank. | Co. | Regiment. | Date of death. | Sec. | Grave. | Remarks. |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| 3647 | Rosa, Benj. | Private | B | 144th N. Y. | ....... | 28 | 18 | ....... |
| 3648 | Ring, Geo. L. J. | Sergeant | E | 13th Indiana ....... | ....... | 8 | 23 | ....... |
| 3649 | Rolph, Laurence | Private | B | 112th New York | ....... | 27 | 30 | ....... |
| 3650 | Rutherford, Geo. | do……. | C | 142d New York | ....... | 26 | 119 | ....... |
| 3651 | Robbins, Nathan. | Corporal | D | 142d New York | ....... | 26 | 107 | ....... |
| 3652 | Rikli, Merven. | Sergeant | F | 47th New York | ....... | 27 | 170 | ....... |
| 3653 | Reed, Willard H.. | Private | A | 169th New York | ....... | 25 | 76 | ....... |
| 3654 | Ross, Edwin. | do….. | E | 20th veteran reserve corps. | ....... | 1 | 64 | ....... |
| 3655 | Ross, R. D. | do….. | F | 16th Connecticut | ....... | 36 | 114 | ....... |
| 3656 | Ross, Jno. | do….. | B | 15th Illinois cavalry | ....... | 7 | 87 | ....... |
| 3657 | Riggs, Patrick. | do….. | K | 17th Wisconsin | ....... | 7 | 50 | ....... |
| 3658 | Riley, Chas. | do….. | C | 31st Illinois | ....... | 5 | 60 | ....... |
| 3659 | Robinson, C. N. | do….. | H | 38th Indiana | ....... | ....... | ....... |
| 3660 | Richardson, Chancey | Teamster | G | 17th army corps. | ....... | 29 | 113 | ....... |
| 3661 | Robinson, Young. | Private | G | 34th U. S. colored troops | ....... | 26 | 37 | ....... |
| 3662 | Rottstein, G. | do….. | K | 41st N. Y. | ....... | 38 | 33 | ....... |
| 3663 | Reegan, Daniel. | do….. | G | 76th Pennsylvania | ....... | ....... | ....... |
| 3664 | Russell, G. N | Sergeant | F | 62d Ohio | ....... | 11 | 21 | ....... |
| 3665 | Richards, W. | do….. | H | 115th New York | ....... | 38 | 33 | ....... |
| 3666 | Rou, Eliza. | do….. | ....... | ....... | ....... | ....... | ....... |
| 3667 | Roach, Mary. | do….. | G | 40th Massachusetts | ....... | 15 | 63 | ....... |
| 3668 | Rawson, L. F. | do….. | A | 40th Massachusetts | ....... | 41 | 18 | ....... |
| 3669 | Rush, Jacob | do….. | E | 13th Michigan | ....... | ....... | ....... |
| 3670 | Rhodes, Jos. | do….. | K | 58th Iowa | ....... | 41 | 111 | ....... |
| 3671 | Rodgers, Lewis J. | do….. | I | 1st Michigan | ....... | 41 | 46 | ....... |
| 3672 | Ransome, Lewis. | do….. | F | 1st Michigan | ....... | 37 | 74 | ....... |
| 3673 | Russel, Geo. F. | do….. | D | 29th Pennsylvania | ....... | 5 | 84 | ....... |
| 3674 | Reed, Alfred | do….. | B | 82d Ohio | ....... | 38 | 141 | ....... |
| 3675 | Rain, Thomas | do….. | C | 46th Pennsylvania. | ....... | 36 | 162 | ....... |
| 3676 | Ricor, Charles. | do….. | C | 33d New Jersey | ....... | 8 | 83 | ....... |
| 3677 | Reader, James O. | do….. | C | 25th Indiana | ....... | 7 | 82 | ....... |
| 3678 | Rightoner, George W | Sergeant | C | 32d Illinois | ....... | 30 | 13 | ....... |
| 3679 | Riley, James. | do….. | B | 12th Connecticut | ....... | ....... | ....... |
| 3680 | Row, John P. | do….. | H | 14th Maine | ....... | 36 | 130 | ....... |
| 3681 | Row, L. C. | do….. | G | 12th Maine | ....... | 20 | 126 | ....... |
