118 UNION SOLDIERS INTERRED IN

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued.

| No. | Name. | Rank. | Co. | Regiment. | Date of death. | Sec. | Grave. | Remarks. |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| 4179 | Scot, C. D | . . . . . . . . | D | 92d Illinois. | . . . . . . . . | 7 | 92 | . . . . . . . . |
| 4180 | Sheriden, John | . . . . . . . . | H | 69th New York. | . . . . . . . . | 25 | 81 | . . . . . . . . |
| 4181 | S------ | . . . . . . . . | B | 9th Indiana cavalry. | . . . . . . . . | 8 | 58 | . . . . . . . . |
| 4182 | Soule, Charles | . . . . . . . . | L | 9th Michigan cavalry. | . . . . . . . . | 41 | 41 | . . . . . . . . |
| 4183 | Singleton, Charles | . . . . . . . . | K | 103d U. S. colored troops. | . . . . . . . . | . . . | 188 | . . . . . . . . |
| 4184 | Small, Samuel | . . . . . . . . | F | 103d U. S. colored troops. | . . . . . . . . | . . . | 61 | . . . . . . . . |
| 4185 | Strickland, Wayne | . . . . . . . . | C | 33d U. S. colored troops. | . . . . . . . . | 30 | 61 | . . . . . . . . |
| 4186 | Smith, Wm | . . . . . . . . | E | 33d U. S. colored troops. | . . . . . . . . | . . . | 1 | . . . . . . . . |
| 4187 | Simons, Mingo | . . . . . . . . | F | 33d U. S. colored troops. | . . . . . . . . | 31 | 188 | . . . . . . . . |
| 4188 | Straty, Wm | . . . . . . . . | D | 33d U. S. colored troops. | . . . . . . . . | . . . | 164 | . . . . . . . . |
| 4189 | Snerling, Samuel | . . . . . . . . | D | 102d U. S. colored troops. | . . . . . . . . | 31 | 164 | . . . . . . . . |
| 4190 | Stevens, Andrew | . . . . . . . . | B | 102d U. S. colored troops. | . . . . . . . . | . . . | 14 | . . . . . . . . |
| 4191 | Smith, James | . . . . . . . . | 7th Connecticut. | . . . . . . . . | 2 | 14 | . . . . . . . . |
| 4192 | Seaman, A. B.| . . . . . . . . | K | 7th United States infantry. | . . . . . . . . | 35 | 57 | . . . . . . . . |
| 4193 | Stewart, S. H | . . . . . . . . | H | 3d Rhode Island heavy art'y. | . . . . . . . . | 19 | 23 | . . . . . . . . |
| 4194 | Sorait, H. Clay | . . . . . . . . | E | 7th United States infantry. | . . . . . . . . | 2 | 47 | . . . . . . . . |
| 4195 | Shay, Thomas | . . . . . . . . | I | 7th United States infantry. | . . . . . . . . | 9 | 17 | . . . . . . . . |
| 4196 | Scot, Samuel | . . . . . . . . | F | 7th United States infantry. | . . . . . . . . | 2 | 15 | . . . . . . . . |
| 4197 | Sullivan, Daniel | . . . . . . . . | G | 7th United States infantry. | . . . . . . . . | 2 | 68 | . . . . . . . . |
| 4198 | Smugger, Charles | . . . . . . . . | D | 7th United States infantry. | . . . . . . . . | 2 | 38 | . . . . . . . . |
| 4199 | Seifert, Fred | . . . . . . . . | A | 7th United States infantry. | . . . . . . . . | 2 | 33 | . . . . . . . . |
| 4200 | Snyder, G | . . . . . . . . | L | 7th United States infantry. | . . . . . . . . | 2 | 32 | . . . . . . . . |
| 4201 | Schimler, Nick | . . . . . . . . | B | 7th United States infantry. | . . . . . . . . | 2 | 23 | . . . . . . . . |
| 4202 | Sickel, B | . . . . . . . . | F | 7th United States infantry. | . . . . . . . . | 2 | 11 | . . . . . . . . |
| 4203 | Smith, A. B | . . . . . . . . | E | 7th United States infantry. | . . . . . . . . | 2 | 57 | . . . . . . . . |
| 4204 | Smith, Henry | . . . . . . . . | Captain | E | 48th Illinois. | . . . . . . . . | 3 | 4 | . . . . . . . . |
| 4205 | Smith, G. W | . . . . . . . . | 2d Lieutenant | D | 11th Ohio. | . . . . . . . . | 3 | 2 | . . . . . . . . |
| 4206 | Shuman, Henry | . . . . . . . . | I | 70th Ohio. | . . . . . . . . | 26 | 26 | . . . . . . . . |
| 4207 | Sherod, J. B | . . . . . . . . | G | 48th Illinois. | . . . . . . . . | 3 | 3 | . . . . . . . . |
| 4208 | Smith, John B | . . . . . . . . | G | 13th Michigan. | . . . . . . . . | 7 | 3 | . . . . . . . . |
| 4209 | Strobe, John | . . . . . . . . | G | 33d New Jersey. | . . . . . . . . | . . . | 161 | . . . . . . . . |
| 4210 | Sacks, J | . . . . . . . . | F | 142d Pennsylvania. | . . . . . . . . | 36 | 161 | . . . . . . . . |
| 4211 | Simmons, James | . . . . . . . . | G | 29th Ohio. | . . . . . . . . | 38 | 172 | . . . . . . . . |
| 4212 | Spires, William | . . . . . . . . | F | 7th Connecticut. | . . . . . . . . | 35 | 61 | . . . . . . . . |
| 4213 | Sullivan, Richard | . . . . . . . . | F | 113th Ohio. | . . . . . . . . | 5 | 1 | . . . . . . . . |
