142 UNION SOLDIERS INTERRED IN

NATCHEZ NATIONAL CEMETERY, MISSISSIPPI.

| No. | Name. | Rank. | Co. | Regiment. | Date of death. | Sec. | Grave. | Original place of burial. |
| :-: | :-: | :-: | :-: | :--- | :--- | :-: | :--- | :--- |
| 1 | Atkinson, John H. | ......... | K | 95th Illinois infantry | Aug. 24, 1863 | 1 | 1 | Natchez, Mississippi. |
| 2 | Astings, | ......... | K | 76th Illinois infantry | Oct. 31, 1863 | 1 | 71 | Do. |
| 3 | Ashwood, Troy | Private | G | 4th Illinois cavalry | ......... | 1 | 49 | Washington, Mississippi. |
| 4 | Anderson, Henry | Private | I | 58th U. S. colored infantry | May 23, 1864 | 15 | 149 | Meadville, Mississippi. |
| 5 | Allen, Henry | Sergeant | D | 6th U. S. colored artillery | Apr. 29, 1864 | 15 | 242 | Vidalia, Louisiana. |
| 6 | Allen, Daniel | Private | I | 58th U. S. colored infantry | Oct. 1, 1863 | 15 | 244 | Natchez, Mississippi. |
| 7 | Beebe, Charles A. | Private | A | 12th Wisconsin infantry | Oct. 24, 1863 | 1 | 20 | Do. |
| 8 | Brown, D. | Private | H | 12th Wisconsin infantry | Oct. 1, 1863 | 1 | 26 | Do. |
| 9 | Blanchard, W. W | Private | K | 12th Wisconsin infantry | Sept. 26, 1863 | 1 | 27 | Do. |
| 10 | B\_\_\_\_\_\_\_\_, S. | ......... | H | 12th Wisconsin infantry | Oct. 1, 1863 | 1 | 28 | Do. |
| 11 | Baltzell, J. L. | ......... | I | 76th Illinois infantry | Dec. 7, 1863 | 1 | 36 | Do. |
| 12 | Bush, William F. | ......... | I | 46th Illinois infantry | Oct. 27, 1863 | 1 | 43 | Do. |
| 13 | Broken, Henry A. | ......... | C | 4th Illinois cavalry | Oct. 27, 1863 | 1 | 54 | Do. |
| 14 | Burwell, W. J. | ......... | G | 15th Illinois infantry | Aug. 18, 1864 | 1 | 67 | Do. |
| 15 | Biggs, Paul | ......... | G | 15th Illinois infantry | Oct. 14, 1863 | 1 | 80 | Do. |
| 16 | Bates, John | ......... | D | 11th Illinois infantry | ......... | 1 | 82 | Do. |
| 17 | Boyd, William | ......... | I | 46th Illinois infantry | Dec. 7, 1863 | 1 | 86 | Do. |
| 18 | Brahm, August | ......... | K | 2d Illinois artillery | Dec. 13, 1863 | 1 | 87 | Do. |
| 19 | Balzell, W. | ......... | G | 76th Illinois infantry | Dec. 19, 1863 | 1 | 88 | Do. |
| 20 | Bennington, T. | Private | G | 76th Illinois infantry | Oct. 27, 1863 | 1 | 98 | Do. |
| 21 | Boyd, William E. | Private | G | 15th Ohio artillery | Nov. 14, 1863 | 1 | 107 | Do. |
| 22 | Becktol, J. | Private | I | 2d artillery | Dec. 13, 1863 | 1 | 113 | Do. |
| 23 | Brocker, H. | ......... | D | 29th Illinois infantry | Feb. 10, 1864 | 3 | 21 | Do. |
| 24 | Brokett, W. P. | ......... | A | 12th Wisconsin infantry | Feb. 25, 1864 | 3 | 36 | Do. |
| 25 | Brown, Edward | ......... | A | 47th Pennsylvania | Feb. 14, 1864 | 3 | 43 | Do. |
| 26 | Boughton, Edgar | ......... | L | 4th Illinois cavalry | Jan. 24, 1864 | 3 | 94 | Do. |
| 27 | Bettis, A. | ......... | U. S. iron clad Tennessee | June 27, 1863 | 4 | 16 | Plantation, Louisiana. |
| 28 | Bringat, John | --------- | A | 35th Wisconsin infantry | ......... | 5 | 45 | Meadville, Mississippi. |
| 29 | Benton, Lucius | Private | L | 4th Illinois cavalry | ......... | 5 | 72 | Vidalia, Louisiana. |
| 30 | Brewer, Henry | Private | K | 20th United States infantry | Aug. 13, 1867 | 7 | 74 | Natchez, Mississippi. |
| 31 | Blake, J. | Sergeant | I | 66th U. S. colored infantry | Nov. 20, 1865 | 7 | 78 | Do. |
| 32 | Brady, George | ......... | I | 70th U. S. colored infantry | ......... | 14 | 8 | Do. |
| 33 | Burke, George | ......... | I | 70th U. S. colored infantry | Sept. 1, 1863 | 14 | 64 | Do. |
| 34 | Black, Benjamin | Private | E | 58th U. S. colored infantry | ......... | 15 | 134 | Do. |
| 35 | Bartlett, James. | Private | E | 58th U. S. colored infantry | ......... | 15 | 135 | Do. |
