UNION SOLDIERS INTERRED IN NATCHEZ NATIONAL CEMETERY, MISSISSIPPI—Continued.

|No.|Name.|Rank.|Co.|Regiment.|Date of death.|Sec.|Grave.|Original place of burial.|
|:---|:---|:---|:---|:---|:---|:---|:---|:---|
|3035|Unknown, 2|......|.........|.........|.........|15|245, 246|Natchez, Mississippi.|
|3036|Unknown, 3|......|.........|.........|.........|15|251–254|Do.|
|3041|Unknown, 2|......|.........|.........|.........|15|255, 256|Do.|
|3042|Unknown, 1|......|.........|.........|.........|15|257|Do.|
|3043|Unknown, 3|......|.........|.........|.........|15|259–261|Do.|
|3044|Vanderkin, James|......|.........|58th U.S. colored troops|.........|1|15|Do.|
|3045|V. W.|......|.........|.........|.........|1|29|Do.|
|3046|W. A. J.|......|.........|.........|.........|1|9|Do.|
|3047|W. W. T.|......|.........|.........|.........|1|83|Do.|
|3048|Wahlford, G.|......|.........|.........|.........|1|93|Do.|
|3049|Walker, G.|......|H|16th New York|Aug. 28, 1863|1|108|Do.|
|3050|Walker, E. D.|.........|I|12th Wisconsin infantry|Aug. 28, 1863|1|15|Acklin's Plantation, Louisiana.|
|3051|Webb, M. F.|3d corporal|B|29th Wisconsin infantry|Sept. 10, 1863|3|117|Rodney, Mississippi.|
|3052|Wolford, George|......|A|11th Illinois infantry|Nov. 13, 1863|4|3|Do.|
|3053|Weaver, E. A.|......|B|32d Illinois infantry|Mar. 3, 1864|4|4|Do.|
|3054|Wells, R. M.|Private|F|15th Ohio artillery|Oct. 25, 1863|5|2|Do.|
|3055|Witchery, William|......|G|6th U.S. heavy artillery|June 15, 1865|5|9|Do.|
|3056|Wind, Charles|......|F|8th New Hampshire infantry|Oct. 19, 1864|5|10|Angola Plantation, Louisiana.|
|3057|White, Green B|......|H|35th Wisconsin infantry|Aug. 4, 1864|5|11|Do.|
|3058|Wells, Charles S|......|M|U. S. S. Chillicothe.|.........|3|63|Vandalia, Louisiana.|
|3059|Walters, Frederick|Acting mast's mate|D|U.S. S. Avenger.|April 28, 1864|3|66|Natchez, Mississippi.|
|3060|Ward, Albert|Fireman|H|U. S. S. Hartford.|April 28, 1864|7|82|Do.|
|3061|Woodford, Allen|Private|K|20th U.S. infantry|.........|12|167|Do.|
|3062|Washington, George|Corporal|I|66th U.S. colored infantry|Nov. 26, 1864|12|357|A. V. Davis's Plantation, La.|
|3063|Walker, George W.|......|C|70th U.S. colored infantry|July 7, 1865|11|123|Natchez, Mississippi.|
|3064|Walker, Thornton|Private|B|70th U.S. colored infantry|Mar. 20, 1865|11|124|Do.|
|3065|Washington, Philip|do|D|70th U.S. colored infantry|May 20, 1865|11|196|Do.|
|3066|Williams, Jackson|do|B|6th U.S. heavy artillery|Aug. 10, 1865|11|230|Do.|
|3067|Wilson, John|do|F|6th U.S. heavy artillery|.........|12|278|Do.|
|3068|Walker, William|do|F|58th U.S. colored infantry|Nov. 26, 1864|13|2|Do.|
|3069|Wakefield, James|Private|B|70th U.S. colored infantry|.........|13|159|Do.|
|3070|Walker, Nat|do|C|5th U.S. colored cavalry|.........|15|178|Concordia, Louisiana.|
|3071|Washington, George|do|C|6th U.S. colored infantry|April 23, 1865|15|191|Vidalia, Louisiana.|
|3072|Williams, Joseph|do|A|58th U.S. colored infantry|.........|15|196|Natchez, Mississippi.|
|3073|Zickparse, Elias|do|E|83d Ohio infantry|Mar. 12, 1865|2|6|Do.|
