28

UNION SOLDIERS INTERRED IN
BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued.

| No. | Name. | Rank. | Co. | Regiment. | Date of death. | Sec. | Grave. | Remarks. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 761 | Cotton, H. | Private | E | 9th Maine volunteers.... | ... | 20 | 12 | |
| 762 | Calvay, G. | ..do..... | C | 115th New York volunteers.. | ... | 21 | 40 | |
| 763 | Cassidy, G. | ..do..... | D | 115th New York volunteers.. | ... | 21 | 47 | |
| 764 | Crandall, Paul.. | .....do..... | G | 115th New York volunteers.. | ... | 17 | 116 | |
| 765 | Callamore, S. E. | .....do..... | H | 8th Maine volunteers.. | ... | 19 | 116 | |
| 766 | Clark, A. | Private | A | 115th New York volunteers.. | ... | 21 | 53 | |
| 767 | Clappson, Charles | Corporal | D | 115th New York volunteers.. | ... | 21 | 34 | |
| 768 | Chatham, J. | Seaman.. | A | U. S. steamer Pawnee.. | ... | 6 | 85 | |
| 769 | Cramer, C. | Private | F | 98th New York volunteers.. | ... | 15 | 22 | |
| 770 | Chapman, W. H. | Sergeant | B | 23d Massachusetts vols.... | ... | 35 | 54 | |
| 771 | Cramer, F. | .....do..... | D | 176th Pennsylvania vols. | ... | 15 | 42 | |
| 772 | Cantin, Aug. | .....do..... | I | - New York engineers.. | ... | 38 | 90 | |
| 773 | Cronk, T. | .....do..... | A | - New York engineers.. | ... | 28 | 120 | |
| 774 | Cramer, J. | Private | A | 76th Pennsylvania volunteers | ... | 38 | 20 | |
| 775 | Campbell, Andrew J. | ...do..... | D | 3d New Hampshire vols. | ... | 17 | 47 | |
| 776 | Colby, Daniel L. | ..do..... | A | 3d New Hampshire vols. | ... | 17 | 46 | |
| 777 | Caban, William | ..do..... | B | 3d New Hampshire vols. | ... | 17 | 29 | |
| 778 | Carter, David | 2d mate. | ... | Schooner Annie. | ... | 6 | 129 | |
| 779 | Cogan, John | Private | B | Schooner Locust Point. | ... | 16 | 65 | |
| 780 | Cooper, Thomas F. | ..do..... | G | 54th Massachusetts vols. | ... | 16 | 21 | |
| 781 | Curtiss, John | Corporal | D | 55th Massachusetts vols. | ... | 15 | 37 | |
| 782 | Claybourne, Ardy | Private | B | 55th Massachusetts vols. | ... | 15 | 8 | |
| 783 | Curtis, Franklin. | ..do..... | C | 55th Massachusetts vols. | ... | 30 | 90 | |
| 784 | Cratin, August... | ...do..... | H | 33d U. S. colored troops.. | ... | 30 | 88 | |
| 785 | Campbell, Augustine | ...do..... | K | 33d U. S. colored troops.. | ... | 30 | 127 | |
| 786 | Camel, Frank | ...do..... | B | 33d (1st S. C.) volunteers... | ... | 30 | 127 | |
| 787 | Campbell, York | ...do..... | C | 33d (1st S. C.) volunteers | ... | 30 | 180 | |
| 788 | Cowens, York | ...do..... | I | 34th (2d S. C.) volunteers. | ... | 30 | 117 | |
| 789 | Canneda, William | ...do..... | B | 34th U. S. colored troops.. | ... | 29 | 102 | |
| 790 | Cammel, Mazarini | ...do..... | E | 128th U. S. colored troops.. | ... | 32 | 142 | |
| 791 | Cooner, Henry | ...do..... | H | 128th U. S. colored troops.. | ... | 32 | 120 | |
| 792 | Cannahan, Amos | ...do..... | C | 128th U. S. colored troops.. | ... | 32 | 127 | |
| 793 | Christopher, J. | ...do..... | B | 104th U. S. colored troops.. | ... | 32 | 180 | |
| 794 | Coburn, Guy | ...do..... | B | 3d U. S. colored troops... | ... | 31 | 84 | |
| 795 | Curtiss, John | ...do..... | C | 3d U. S. colored troops... | ... | 31 | 84 | |
| | | | | | | | | |
