68

UNION SOLDIERS INTERRED IN

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued.

| No. | Name. | Rank. | Co. | Regiment. | Date of death. | Sec. | Grave. |Remarks. |
| :---: | :--- | :--- | :--- | :--- | :--- | :---: | :---: | :--- |
| 2281 | Jones, Robert .. | Private .. | D | 54th Massachusetts.. | . . . . . . . . | 16 | 73 | |
| 2282 | Joiner, George .. | do..... | F | 54th Massachusetts.. | . . . . . . . . | . . | 2 | |
| 2283 | Johnson, Stephen.. | do..... | B | 54th Massachusetts.. | . . . . . . . . | 31 | 53 | |
| 2284 | Joiner, Caesar.... | do..... | F | 54th Massachusetts.. | . . . . . . . . | . . | 2 | |
| 2285 | Jackson, Charles.. | do..... | I | 104th U. S. colored troops. | . . . . . . . . | 31 | 54 | |
| 2286 | Jenkins, James.... | do..... | E | 104th U. S. colored troops. | . . . . . . . . | 31 | 58 | |
| 2287 | Judges, Josiah.... | do..... | I | 104th U. S. colored troops. | . . . . . . . . | 29 | 27 | |
| 2288 | Jenkins, Peter.... | do..... | G | 104th U. S. colored troops. | . . . . . . . . | 31 | 64 | |
| 2289 | Jenkins, Jacob.... | do..... | E | 26th U. S. colored troops. | . . . . . . . . | 31 | 79 | |
| 2290 | Jenkins, Virgil... | do..... | K | 104th U. S. colored troops. | . . . . . . . . | 31 | 86 | |
| 2291 | Jackson, Andrew.. | do..... | A | 104th U. S. colored troops. | . . . . . . . . | 31 | 49 | |
| 2292 | Jones, Samuel.... | do..... | E | 104th U. S. colored troops. | . . . . . . . . | 31 | 96 | |
| 2293 | Jones, H....... | do..... | G | 104th U. S. colored troops. | . . . . . . . . | 31 | 73 | |
| 2294 | James, Prince... | do..... | I | 104th U. S. colored troops. | . . . . . . . . | 31 | 151 | |
| 2295 | Jones, George W.. | Sergeant.. | E | 85th New York........ | . . . . . . . . | 18 | 52 | |
| 2296 | Johnson, David... | do..... | G | 7th New Hampshire... | . . . . . . . . | 32 | 8 | |
| 2297 | Johnson, Stiles J.. | Private .. | I | 14th New York........ | . . . . . . . . | . . | . . | |
| 2298 | Jones, J. D...... | do..... | E | 35th U. S. colored troops. | . . . . . . . . | . . | . . | |
| 2299 | Jarman, Richard H.. | do..... | H | 11th Iowa............ | . . . . . . . . | . . | . . | |
| 2300 | Johnson, Anderson.. | do..... | . . | . . . . . . . . | . . | . . | |
| 2301 | Jones, David..... | do..... | . . | . . . . . . . . | . . | . . | |
| 2302 | Johnson, Thomas.. | do..... | E | 9th Illinois ............. | . . . . . . . . | 7 | 118 | |
| 2303 | Jenkins, Thomas.. | do..... | D | 25th Indiana. . . . . . . | . . . . . . . . | . . | 90 | |
| 2304 | Johnson, M. A. E.. | do..... | H | 34th U. S. colored troops. | . . . . . . . . | 29 | 98 | |
| 2305 | Jones, D. J...... | do..... | . . | . . . . . . . . | . . | . . | |
| 2306 | Jones, B. Gertrude. | do..... | . . | . . . . . . . . | . . | . . | |
| 2307 | Joe, M. P........ | do..... | . . | . . . . . . . . | . . | . . | |
| 2308 | Johnson, J....... | do..... | . . | . . . . . . . . | . . | . . | |
| 2309 | Jordan, J. P...... | do..... | . . | . . . . . . . . | . . | . . | |
| 2310 | Joiner, R. S...... | Sergeant.. | B | 14th West Virginia. . | . . . . . . . . | 23 | 21 | |
| 2311 | Johnson, J....... | do..... | F | 17th Connecticut..... | . . . . . . . . | 36 | 28 | |
| 2312 | Jewitt, E. L...... | do..... | I | 54th Massachusetts.. | . . . . . . . . | 16 | 84 | |
| 2313 | Jordan, R. S...... | do..... | E | 6th Ohio............ | . . . . . . . . | 26 | 79 | |
| 2314 | Jenkins, B........ | do..... | I | 6th Ohio............ | . . . . . . . . | 10 | 101 | |
| 2315 | Jones, Eaton..... | do..... | B | 58th Indiana......... | . . . . . . . . | 5 | 109 | |
| 2316 | Jones, Eaton..... | do..... | E | 141st New York...... | . . . . . . . . | 27 | 105 | |
