Monthly Return of Clothing, Camp & Garrison Equipage,
issued and received at Camp Meigs Ga.

| Date| No of Req.|
|---|---|
| December 31st 1863 | 1 |
| Blank | 2 |
| Blank | 1 |
| Blank | 2 |
| Blank | 1 |
| Blank | 1 |
| Blank | |
| Blank | 1 |
| Blank | 2 |
| Blank | | Blank |
| Blank | |
| Blank | 11 |
| Blank | 13 |
| Blank | 11 |

| To Whom Issued |
|---|
| Field & Staff |
| Enlisted Men |
| Quarter Master |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |


| Description |
|---|
| Staff Forage |
| Staff Hat |
| Woolen Hat |
| Coat Uniform |
| Over Coat |
| Pant Uniform |
| Pant Forage |
| Cap Forage |
| Straw Hats |
| Woolen Hats |
| Coat Uniform |
| Buttons |
| Trousers, Coat |
| Jersey, Dark |
| Knit Shirt |
| Knapsack & Straps |
| Blanket, Woolen |
| Canvas Sack, Candee |
| Stockings |
| Coat, Uniform |
| Dress Coat |
| Blouse |
| Boots |
| Shoes |
| Blanket |
| Bed Sack |
| Bed Sack, Canvas |
| Shirt, Flannel |
| Under Shirt |
| Drawers |
| Stockings |
| Drawers, Canton Flannel |
| Coat, Uniform |
| Drawers, Canton Flannel |
| Shoes |
| Shoes |
| Coat |
| Pant |
| Shoes |
| Stockings |
| Knit Shirt |
| Knit Shirt |
| Knit Shirt |
| Kersey Pants |
| Knit Shirts |
| Spiced Blouses |
| Unbleached Blouses |
| Flannel Shirts |
| Drawers & Prof C. F. |
| Regine Forages, & B. |
| Bootees, Inf. & Br. & D. |
| Knit Overshirts |
| Great Coats |
| Bootees, Regs & Br. & D |
| Bootees, Regs & Br & D |
| Blanket, Woolen |
| Knapsacks & Straps |
| Haversacks, V and Unlined |
| Canteens & Straps |
| Haversacks, Unlined |

| No. of Article |
|---|
| 1 |
| 1 |
| 1 |
| 1 |
| 1 |
| 3 |
| 23 |
| 14 |
| 3 |
| 23 |
| 58 |
| 6 |
| 120 |
| |
| |
| |
| 1 |
| 1 |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| 16 |
| 13 |
| 1 |
| |
| 34 |
| |
| |
| 1 |
| |
| |
| |
| |
| 1 |
| |
| |
| 26 |
| 3 |

| Quantity |
|---|
| $ | 30 |
| $ | 71 |
| $ | 100 |

| Value |
|---|
| $ | 2.50 |
| $ | 2.50 |
| $ | 2.50 |
| $ | 8.00 |
| $ | 12.00 |
| $ | 4.00 |
| $ | 3.00 |
| $ | 1.00 |
| $ | 0.50 |
| $ | 1.00 |
| $ | 10.00 |
| $ | 0.05 |
| $ | 3.00 |
| |
| |
| |
| $ | 3.00 |
| $ | 1.00 |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| |
| $ | 3.00 |
| $ | 3.00 |
| $ | 4.00 |
| $ | 4.00 |
| $ | 4.00 |
| $ | 4.00 |
| $ | 0.70 |
| $ | 13.00 |
| $ | 1.00 |
| $ | 2.00 |
| $ | 2.00 |
| $ | 3.50 |
| |
| |
| |
| |
| |

| Date |
|---|
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |

| To Whom Issued |
|---|
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |

| Description |
|---|
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |

| No. of Article |
|---|
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |

| Quantity |
|---|
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |

| Value |
|---|
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |

| Date &c. accounted for |
|---|
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |

| Total Issued |
|---|
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |

| On Hand to be accounted for |
|---|
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| Blank |
| 11 |
| 13 |
| 11 |
| 0 |
| 33 |
| 35 |
| 129 |
| 230 |
| 230 |
| 75 |
| 149 |
| 238 |
| 38 |
| 591 |
| 18 |
| 13 |
| 18 |
