104 UNION SOLDIER INTERRED IN

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued.
| No. | Name. | Rank. | Co. | Regiment. | Date of death. | Sec. | Grave. | Remarks. |
|---|---|---|---|---|---|---|---|---|
| 3647 | Rosa, Benj. J. | Private | B | 144th N. Y |.......| 28 | 18 | |
| 3648 | Ring, Geo. L. J. | Sergeant | E | 13th Indiana |.......| 8 | 23 | |
| 3649 | Rolph, Lawrence | Private | B | 112th New York |.......| 27 | 30 | |
| 3650 | Rutherford, Geo. R. | ..do.. | C | 142d New York |.......| 26 | 119 | |
| 3651 | Robbins, Nathan | ..do.. | D | 142d New York |.......| 26 | 107 | |
| 3652 | Rikle, Merven | Corporal | C | 142d New York |.......| 27 | 170 | |
| 3653 | Rice, Merven | Sergeant | F | 47th New York |.......| 25 | 76 | |
| 3654 | Reed, Willard H. | Private | A | 169th New York |.......| 1 | 64 | |
| 3655 | Ross, Edwin | ..do.. | E | 20th veteran reserve corps. |.......| 36 | 114 | |
| 3656 | Rowe, R. D | ..do.. | B | 16th Connecticut |.......| 7 | 87 | |
| 3657 | Riggs, Jno | ..do.. | K | 15th Illinois cavalry |.......| 7 | 50 | |
| 3658 | Riley, Patrick | ..do.. | C | 17th Wisconsin |.......| 5 | 60 | |
| 3659 | Richardson, C. N | ..do.. | H | 31st Illinois |.......| 7 | | |
| 3660 | Rice, Onesimus A | ..do.. | H | 38th Indiana |.......| 29 | 113 | |
| 3661 | Robinson, Chancey | Private | G | 17th army corps. |.......| 26 | 37 | |
| 3662 | Robinson, Young | Teamster | K | 34th U. S. colored troops |.......| 38 | 33 | |
| 3663 | Rottstein, G | Private | F | 7th Ohio |.......| 11 | 21 | |
| 3664 | Reegan, Daniel | ..do.. | G | 41st N. Y |.......| | | |
| 3665 | Russell, G. N | ..do.. | H | 11th Pennsylvania |.......| 15 | 63 | |
| 3666 | Richards, W | ..do.. | A | 40th Massachusetts |.......| 41 | 18 | |
| 3667 | Rou, Eliza | ..do.. | E | 13th Michigan |.......| 41 | 111 | |
| 3668 | Roach, Mary | ..do.. | I | 58th Iowa |.......| 46 | | |
| 3669 | Rawson, L. F | ..do.. | F | 1st Michigan |.......| 74 | | |
| 3670 | Rhodes, Jos | ..do.. | C | 29th Pennsylvania |.......| 84 | | |
| 3671 | Rou, Jacob | ..do.. | D | 82d Ohio |.......| 141 | | |
| 3672 | Ransome, Lewis | ..do.. | B | 46th Pennsylvania. |.......| 38 | 162 | |
| 3673 | Russel, Geo. F | ..do.. | G | 33d New Jersey |.......| 36 | 83 | |
| 3674 | Reed, Alfred | ..do.. | C | 25th Indiana |.......| 8 | 82 | |
| 3675 | Rain, Thomas | ..do.. | I | 32d Illinois |.......| 7 | | |
| 3676 | Ricor, James | ..do.. | B | 12th Connecticut |.......| 13 | | |
| 3677 | Reader, James O | ..do.. | D | 14th Maine |.......| 36 | | |
| 3678 | Rightoner, George W | ..do.. | H | 12th Maine |.......| 20 | | |
| 3679 | Riley, James | ..do.. | G | 12th Maine |.......| | | |
| 3680 | Row, John P | ..do.. | | | | | |
| 3681 | Row, L. C | ..do.. | | | | | |
