118 UNION SOLDIERS INTERRED IN
BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued.
No. Name. Rank. Co. Regiment. Date of death. Sec. Grave. Remarks.
4179 Scot, C. D. ............ D 92d Illinois ............ .......... 7 92
4180 Sheridan, John. ........ H 69th New York ............ .......... 25 81
4181 S----, S---- ........ B 9th Indiana cavalry ............ .......... 8 58
4182 Soule, Charles. ........ L 9th Michigan cavalry ............ .......... 41 41
4183 Singleton, Charles. ...... K 103d U. S. colored troops ............ .......... ---------- ----------
4184 Small, Samuel ........... C 103d U. S. colored troops ............ .......... ---------- ----------
4185 Strickland, Wayne ...... F 33d U. S. colored troops ........... .......... 30 61
4186 Smith, Wm. ............ E 33d U. S. colored troops ........... .......... 31 188
4187 Simons, Mingo. .......... D 33d U. S. colored troops ........... .......... 31 185
4188 Stracy, Wm. ............ B 102d U. S. colored troops ........... .......... 31 164
4189 Snerling, Samuel. ...... D 102d U. S. colored troops ........... .......... ---------- ----------
4190 Stevens, Andrew ........ K 7th Connecticut ............ .......... 2 14
4191 Smith, James. .......... K 3d Rhode Island heavy art'y ............ .......... 35 57
4192 Seaman, S. H. .......... H 7th United States infantry ............ .......... 19 23
4193 Stewart, H. Clay ........ ---------- 7th United States infantry ............ .......... 2 47
4194 Smith, M. .............. ---------- 7th United States infantry ............ .......... 2 17
4195 Shay, Thomas. .......... ---------- 7th United States infantry ............ .......... 2 15
4196 Scot, Samuel. .......... ---------- 7th United States infantry ............ .......... 2 68
4197 Sullivan, Daniel. ......... ---------- 7th United States infantry ............ .......... 2 38
4198 Snugser, Charles. ....... ---------- 7th United States infantry ............ .......... 2 33
4199 Seifert, Fred. ........... ---------- 7th United States infantry ............ .......... 23 32
4200 Snyder, B. ............ ---------- 7th United States infantry ............ .......... 2 11
4201 Schimler, Nick. ......... ---------- 7th United States infantry ............ .......... 2 27
4202 Sickel, B. ............ ---------- 7th United States infantry ............ .......... 3 4
4203 Smith, Henry. .......... ---------- 7th United States infantry ............ .......... 2 26
4204 Smith, A. B. .......... Captain.. E 48th Illinois ............ .......... 3 3
4205 Smith, Henry. .......... 2d Lieutenant D 11th Illinois ............ .......... 10 7
4206 Shumman, Henry. ........ ---------- G 70th Ohio ............. .......... ---------- ----------
4207 Sherod, J. B. ........... ---------- G 48th Illinois ............ .......... ---------- ----------
4208 Smith, John B. .......... ---------- G 13th Michigan ............ .......... ---------- ----------
4209 Strobie, J. ............ ---------- F 33d New Jersey ............ .......... 36 161
4210 Sacks, J. ............. ---------- G 142d Pennsylvania ............ .......... 38 172
4211 Simmons, James. ........ ---------- G 29th Ohio ............. .......... 35 61
4212 Spires, William ........... ---------- F 7th Connecticut ............ .......... 5 1
4213 Sullivan, Richard. ....... ---------- F 113th Ohio ............. .......... ---------- ----------
