142 UNION SOLDIERS INTERRED IN
NATCHEZ NATIONAL CEMETERY, MISSISSIPPI.

No. | Name. | Rank. | Co. | Regiment. | Date of death. | Sec. | Grave | Original place of burial.
---|---|---|---|---|---|---|---|---
1 | Atkinson, John H. | ...... | K | 95th Illinois infantry. | Aug. 24, 1863 | 1 | 1 | Natchez, Mississippi.
2 | Ashwood, Troy. | ...... | G | 4th Illinois cavalry. | Oct. 31, -- | 1 | 71 | Do.
3 | Anderson, Henry. | Private | F | 6th U. S. colored cavalry. | -- | 1 | 49 | Washington, Mississippi.
4 | Allen Henry. | ...... | I | 5th U. S. colored infantry. | May 23, 1864 | 15 | 149 | Vidalia, Louisiana.
5 | Allen, Daniel. | ...... | D | 58th U. S. colored infantry. | Apr. 29, 1864 | 15 | 242 | Do.
6 | Beebe, Charles A. | ...... | G | 76th Illinois infantry. | Oct. 1, 1863 | 1 | 244 | Natchez, Mississippi.
7 | Brown, D. | ...... | A | 12th Wisconsin infantry. | Oct. 24, 1863 | 1 | 20 | Do.
8 | Blanchard, W. W. | ...... | H | 12th Wisconsin infantry. | Sept. 26 1863 | 1 | 26 | Do.
9 | ----, S. | ...... | K | 12th Wisconsin infantry. | Oct. 27, 1863 | 1 | 27 | Do.
10 | Baltzell, J. L. | ...... | G | 76th Illinois infantry. | Oct. 27, 1863 | 1 | 28 | Do.
11 | Bush, William F. | ...... | B | 76th Illinois volunteers. | Aug. 28, 1864 | 1 | 54 | Do.
12 | Broken, Henry A. | ...... | C | 4th Illinois cavalry. | Oct. 14, 1863 | 1 | 67 | Do.
13 | Burwell, W. J. | ...... | D | 11th Illinois infantry. | -- | 1 | 80 | Do.
14 | Biggs, Paul. | ...... | G | 76th Illinois infantry. | Dec. 7, 1863 | 1 | 82 | Do.
15 | Bates, John. | ...... | I | 46th Illinois infantry. | Dec. 13, 1863 | 1 | 83 | Do.
16 | Boyd, William. | ...... | K | 15th Illinois infantry. | Dec. 19, 1863 | 1 | 87 | Do.
17 | Brahm, August. | ...... | G | 76th Illinois infantry. | Oct. 27, 1863 | 1 | 88 | Do.
18 | Balzell, W. | ...... | D | 11th Illinois infantry. | Nov. 14, 1863 | 1 | 98 | Do.
19 | Bennington, T. | ...... | D | 15th Illinois infantry. | Dec. 13. 1863 | 1 | 107 | Do.
20 | Boyd, William E. | Private | I | 2d Ohio artillery. | -- | 1 | 113 | Do.
21 | Becktol, J. | ...... | -- | -- | -- | 2 | 21 | Do.
22 | Broker, H. | ...... | -- | -- | -- | 3 | 36 | Do.
23 | Brokett, W. P. | ...... | D | 29th Illinois infantry. | Feb. 10, 1864 | 3 | 43 | Do.
24 | Brown, Edward. | ...... | A | 12th Wisconsin infantry. | Feb. 25, 1864 | 3 | 94 | Do.
25 | Boughton, Edgar. | ...... | A | 47th Pennsylvania. | Jan. 24, 1864 | 3 | 16 | Do.
26 | Bettis, A. | ...... | L | U. S. iron clad Tennessee. | June 27, 1863 | 5 | 45 | Plantation, Louisiana.
27 | Bringat, John. | ...... | A | 4th Illinois cavalry. | -- | 7 | 72 | Meadville, Mississippi.
28 | Benton, Lucius. | Private | I | 5th U. S. colored infantry. | Aug. 13, 1865 | 7 | 74 | Vidalia, Louisiana.
29 | Brewer, Henry. | ...... | K | 20th United States infantry. | Nov. 20, 1865 | 7 | 174 | Do.
30 | Blake, J. | Sergeant | A | 70th U. S. colored infantry. | -- | 14 | 8 | Natchez, Mississippi.
31 | Brady, George. | Private | E | 70th U. S. colored infantry. | -- | 14 | 64 | Do.
32 | Burke, George. | ...... | -- | -- | -- | 15 | 134 | Do.
33 | Black, Benjamin. | ...... | -- | -- | -- | -- | -- | --
34 | Bartlett, James. | ...... | E | 58th U. S. colored infantry. | Sept. --, 1863 | 14 | 134 | Do.
35 | ---- | -- | -- | -- | -- | -- | -- | --
