156 UNION SOLDIERS INTERRED IN NATCHEZ NATIONAL CEMETERY, MISSISSIPPI—Continued.
No. | Name. | Rank. | Co. | Regiment. | Date of death. | Sec. | Grave. | Original place of burial.
3035 | Unknown, 2 | ............ | .......... | ................................... | ................ | 15 | 245, 246 | Natchez, Mississippi.
3039 | Unknown, 4 | ............ | .......... | ................................... | ................ | 15 | 251–254 | Do.
3040 | Unknown, 1 | ............ | .......... | ................................... | ................ | 15 | 255, 256 | Do.
3041 | Unknown, 2 | ............ | .......... | ................................... | ................ | 15 | 257 | Do.
3042 | Unknown, 1 | ............ | .......... | ................................... | ................ | 15 | 259–261 | Do.
3043 | Unknown, 3 | ............ | .......... | ................................... | ................ | 15 | 29 | Do.
3045 | Unknown, 3 | ............ | .......... | ................................... | ................ | 15 | 15 | Do.
3046 | Vanderkin, James | ............ | H | 16th New York | ................ | 1 | 9 | Do.
3047 | V. W. | ............ | .......... | ................................... | ................ | 1 | 83 | Do.
3048 | W. A. J. | ............ | .......... | ................................... | ................ | 1 | 93 | Do.
3049 | Wohlford, G. | ............ | I | 12th Wisconsin infantry | Aug. 28, 1863 | 1 | 108 | Do.
3050 | Walker, G. | ............ | B | 29th Wisconsin infantry | Sept. 10, 1863 | 1 | 117 | Do.
3015 | Walker, M. | 3d corporal | A | 11th Illinois infantry | Nov. 15, 1863 | 11 | 3 | Do.
3052 | Wolford, George | Corporal | B | 32d Ohio infantry | Aug. 28, 1863 | 2 | 4 | Do.
3053 | Weaver, E. A. | Private | F | 6th US. colored infantry | June 15, 1865 | 3 | 5 | Do.
3054 | Wells, William | ............ | C | 8th New Hampshire infantry | Oct. 19, 1864 | 1 | 10 | Do.
3055 | Wells, R. M. | ............ | H | 35th Wisconsin infantry | Aug. 8, 1864 | 2 | 111 | Do.
3056 | Wind, Charles | ............ | .......... | ................................... | ................ | 5 | 63 | Acklin's Plantation, Louisiana.
3057 | White, Green B. | ............ | .......... | ................................... | ................ | 5 | 97 | Rodney, Mississippi.
3058 | Wells, Charles S. | Acting mast's mate | U. S. S. Chillicothe | Aug. 10 1867 | 7 | 66 | Angola Plantation, Louisiana.
3059 | Walters, Frederick | Fireman | U. S. S. Avenger | 1865 | 7 | 82 | Vandalia, Louisiana.
3060 | Ward, Albert | Private | M | U. S. S. Hartford | ................ | 7 | 167 | Natchez, Mississippi.
3061 | Woodford, Allen | ............ | K | 20th U. S. infantry | Apr. 28, 1864 | 1 | 123 | Do.
3062 | Washington, George | Corporal | C | 70th U. S. colored infantry | Mar. 20, 1865 | 11 | 124 | Do.
3063 | Walker, George W. | Private | B | 66th U. S. colored infantry | Mar. 10, 1865 | 11 | 357 | Do.
3064 | Walker, Thornton | ............ | D | 70th U. S. colored infantry | Aug. 10, 1865 | 11 | 278 | Do.
3065 | Washington, Philip | ............ | B | 6th U. S. heavy artillery | ................ | 12 | 2 | A. V. Davis's Plantation, La.
3066 | Williams, Jackson | ............ | .......... | ................................... | ................ | 12 | 230 | Natchez, Mississippi.
3067 | Wilson, John | ............ | .......... | ................................... | ................ | 13 | 159 | Do.
3068 | Wakefield, James | Private | F | 58th U. S. colored infantry | ................ | 1 ? | 178 | Concordia, Louisiana.
3069 | Walker, William | ............ | G | 70th U. S. colored infantry | Apr. 23, 1865 | 15 | 191 | Vidalia, Louisiana.
3070 | Washington, Nat | ............ | B | 6th U. S. colored cavalry | ................ | 15 | 196 | Natchez, Mississippi.
3071 | Williams, George | ............ | A | 58th U. S. colored infantry | ................ | 15 | 6 | Do.
3072 | Williams, Joseph | ............ | E | 83d Ohio infantry | Mar. 12, 1865 | 15 | 2 | Do.
