28 UNION SOLDIERS INTERRED IN
BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued.
No., Name, Rank, Co., Regiment, Date of death, Sec., Grave, Remarks.
761, Cotton, H., Private, E, 9th Maine volunteers, 20, 12,
762, Calvay, G., do., D, 115th New York volunteers, 21, 40,
763, Cassidy, G., do., D, 115th New York volunteers, 21, 47,
764, Crandall, Paul, do., G, 115th New York volunteers, 19, 116,
765, Callamore, S. E., do., H, 8th Maine volunteers, 21, 53,
766, Clark, A., Private, D, 115th New York volunteers, 21, 34,
767, Clapson, Charles, Corporal, A, 115th New York volunteers, 6, 85,
768, Chatham, J., Seaman, U. S. steamer Pawnee, 35, 22,
769, Cramer, C., Private, F, 98th New York volunteers, 15, 54,
770, Chapman, W. H., Sergeant, D, 176th Pennsylvania vols, 38, 42,
771, Cantin, Aug., do., I, — New York engineers., 28, 90,
772, Cronk, T., do., I, — New York engineers., 28, 120,
773, Cramer, J., do., A, 76th Pennsylvania volunteers, 17, 47,
774, Campbell, Andrew J., Private, A, 3d New Hampshire vols., 17, 46,
775, Colby, Daniel L., do., A, 3d New Hampshire vols., 17, 29,
776, Caban, William, 2d mate, B, Schooner Anna, 6, 129,
777, Carter, David, do., B, Schooner Locust Point, 6, 65,
778, Cogan, John, Private, F, 54th Massachusetts vols., 16, 21,
779, Cooper, Thomas F., do., G, 55th Massachusetts vols., 15, 37,
780, Curtiss, John, do., B, 55th Massachusetts vols., 30, 8,
781, Cromer, Henry, do., H, 33d U. S. colored troops., 30, 90,
782, Claybourne, Archy, do., C, 33d U. S. colored troops., 30, 88,
783, Curtiss, Franklin, do., D, 33d U. S. colored troops., 30, 127,
784, Cratin, Augustus, do., K, 33d (1st S. C.) volunteers., 30, 117,
785, Campbell, Augustine, do., K, 33d (1st S. C.) volunteers., 30, ----,
786, Camel, Frank, do., B, 34th (2d S. C.) volunteers., 29, 102,
787, Cowards, William, do., I, 128th U. S. colored troops., 32, 142,
788, Cowens, York, do., B, 128th U. S. colored troops., 32, 120,
789, Connel, Mazamini, do., E, 128th U. S. colored troops., 32, 127,
790, Cooner, Henry, do., H, 128th U. S. colored troops., 32, 80,
791, Connaham, Amos, do., C, 128th U. S. colored troops., 31, 84,
792, Christopher, J., do., B, 128th U. S. colored troops., 34, ---,
793, Coburn, Guy, do., B, 104th U. S. colored troops., ---, ---,
794, Curtiss, John, do., B, 104th U. S. colored troops., ---, ---,
