BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA.
89

2074 Miller, Peter..................................F.............103d U. S. colored troops...................1...........101
2075 Monroe, E...................................E.............103d U. S. colored troops...................1...........103
2076 Monroe, Lewis.............................G.............103d U. S. colored troops...................1...........104
2077 Monroe, Sol..................................H.............103d U. S. colored troops...................1...........105
2078 Morales, W..................................C.............103d U. S. colored troops...................1...........106
2079 Morett, William...........................F.............103d U. S. colored troops...................2...........107
2080 Morgan, C...................................E.............103d U. S. colored troops...................2...........108
2081 Morgan, John..............................B.............103d U. S. colored troops...................3...........109
2082 Morgan, J....................................D.............103d U. S. colored troops...................6...........110
2083 Morgan, William...........................D.............103d U. S. colored troops...................1...........111
2084 Morgan, J....................................D.............103d U. S. colored troops...................1...........112
2085 Morgan, T...................................B.............103d U. S. colored troops...................1...........113
2086 Morgany, S..................................B.............103d U. S. colored troops...................1...........114
3049 Maron, E...................................D.............157th New York............................19.........169
3050 Marston, C. H...........................Ord. sergeant...2d New York...............................27.........120
3051 Martin, F.....................................B.............17th U. S. colored troops...................10...........87
3052 Martin, Jackson...........................B.............17th U. S. colored troops...................8...........88
3053 Martin, John................................E.............7th U. S. Infantry..........................12...........90
3054 Marsh, J. A.................................F.............7th U. S. Infantry..........................19.........121
3055 Masey, E. W................................C.............7th U. S. Infantry..........................9...........9
3056 Mason, Lewis..............................G.............7th U. S. Infantry..........................2...........2
3057 Matthews, J...............................Private.........7th U. S. Infantry..........................2...........3
3058 McBride, W. M.............................F.............7th U. S. Infantry..........................2...........4
3059 McCade, J. W..............................G.............7th U. S. Infantry...........................2...........5
3060 McCallen, J. W.............................F.............7th U. S. Infantry..........................2...........6
3061 McCaffrey, John..........................D.............7th U. S. Infantry..........................2...........7
3062 McCleary, G...............................B.............7th U. S. Infantry..........................2...........8
3063 McConley, C.............................H.............7th U. S. Infantry..........................2...........9
3064 McConnell, W. J..........................G.............7th U. S. Infantry..........................2...........10
3065 McDonald, D..............................D.............7th U. S. Infantry..........................2...........11
3066 McDonald, Stephen..................2d lieutenant.....7th U. S. Infantry..........................2...........12
3067 McDowell, C..............................E.............7th U. S. Infantry..........................2...........13
3068 McElroy, D.................................E.............7th U. S. Infantry..........................2...........14
3069 McIlvaine, A..............................A.............7th U. S. Infantry..........................2...........15
3070 McIntyre, H................................A.............7th U. S. Infantry..........................2...........16
3071 McKnight, G. W..........................A.............7th U. S. Infantry..........................2...........17
3072 McKnight, W...............................A.............7th U. S. Infantry..........................2...........18
3073 McLane, J. M.............................F.............7th U. S. Infantry..........................2...........19
3074 McLane, W.................................F.............7th U. S. Infantry..........................2...........20
3075 McLain, J...................................F.............7th U. S. Infantry...........................2...........21
3076 McLean, C.................................H.............7th U. S. Infantry..........................2...........22
3077 McLean, W. J.............................A.............9th U. S. Cavalry...........................2...........40
3078 McMenns, L..............................D.............27th Massachusetts...................15...........42
3079 McBride, W. M..........................D.............113th Illinois...............................9...........43
3080 McReynolds, H.........................D.............39th New York............................12.........113
3081 McReynolds, G.........................D.............39th New York.............................7...........119
3082 Macgadhon, J..........................Ord. sergeant....79th Ohio..................................23...........93
3083 Mardon, C.................................E.............7th Tennessee.............................9...........23
3084 Margaton, Franklin...................Private.........7th U. S. colored troops...................33.........114
3085 Marshall, C...............................B.............33d U. S. colored troops...................44.........115
3086 Mars, James..............................G.............34th U. S. colored troops...................26...........97
3087 Mills, Con...................................C.............43d Illinois..................................7...........98
3088 Mills, J. M..................................F.............3d New York...............................26.........126
3089 Minnis, Frank..............................D.............107th Ohio volunteer infantry............9...........59
3090 Minter, J. E................................L.............107th Ohio volunteer infantry...........9...........60
3091 Minton, William.........................F.............107th Ohio volunteer infantry............9...........61
3092 Moran, John..............................H.............107th Ohio volunteer infantry...........9...........62
