BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA. 25

644 Congdon, J. S. ..................................................... 142d N. Y. volunteers ................ 26 112
645 Clouch, H. W. ..................................................... 85th Penn. volunteers ............... 26 77
646 Cypher, Eugene .................................................. 3d New York artillery ................ 37 77
647 Chandler, D. H. ................................................... 9th Maine volunteers ................. 26 69
648 Chambers, Samuel ............................................. 3d New York artillery ................ 20 36
649 Childs, Asa B. ..................................................... 142d N. Y. volunteers ................ 26 73  [*73*]
650 Conklin, G. W. .................................................... 127th N. Y. volunteers ............... 26 118
651 Cole, P. H. ........................................................ 127th N. Y. volunteers ............... 28 170
652 Cole, James J. ............................. Sergeant ....... F 52d Penn. volunteers ................ 26 5
653 Ch.., Reid ...................................................... B 62d Ohio volunteers .................. 24 20
654 Crandell, Ephraim ............................................. B 112th N. Y. volunteers .............. 10 18
655 Collum, W.W. ................................................. K 4th N. H. volunteers ................. 27
656 Colberson, J. J. ............................................... C 127th N. Y. volunteers .............
657 Cole, J. J. ....................................................... K 127th N. Y. volunteers ............. 4 167
658 Claughlin, Walter ............................................ B 52d Penn. volunteers ................ 38 14
659 Cole, Charles .................................................... 9th Maine volunteers ................. 24 43
660 Carr, Alexander ............................ Bugler ......... E 117th N. Y. volunteers .............. 20 134
661 C, A. ............................................................ B 55th Mass. volunteers ............... 27 34
662 ..................................................................... D 4th N. H. volunteers ................. 15 108
663 Crussell, Walter ............................ Artificer ....... F 1st N. Y. engineers .................. 18
664 Case, N. M. ....................................................... U. S. S. Wabash ........................ 28 143
665 Chapel, Charles F. ............................................ E 3d R. I. heavy artillery ............. 19 67
666 Churchill, O. H. ............................................... F 40th Mass. volunteers ............... 15 15
667 Campbell, C. M. ............................................... H 67th Ohio volunteers ................. 19 76
668 Chisholm, A. ................................................... B 3d R. I. heavy artillery ............. 10 96
669 Connelly, Peter ................................................ F 144th N. Y. volunteers ............... 28 36
670 Cassaday, J. R. ............................................... E 17th Connecticut volunteers ....... 36 21
671 Cole, C. H. ..................................................... C 13th Indiana volunteers ............. 28 31
672 Clapp, Charles E. ........................................... H 40th Mass. volunteers ............... 8 13
673 Cairns, William ............................................... F 144th N. Y. volunteers .............. 15 2
674 Cziar, J. .......................................................... E 144th N. Y. volunteers .............. 28 59
675 Cahill, James ................................................... B 54th N. Y. volunteers ............... 15 4
676 Connell, James P. ............................................ 26 87
677 Carey, Henry ............................... Pilot ............ U. S. S. Vermont (marine) ........ 6 130
678 Clinton, William ............................................... U. S. Schooner W. G. Rogers ..... 6 93
679 Conway, John P. .......................... Quartermaster 6 121
680 Cobb ............................................................... U. S. S. Keystone State ............. 6 89
681 Clark, John G. ................................................. U. S. S. Nahant ......................... 6 102
682 Collins, G. W. ................................................. U. S. S. Susquehanna ................ 6 63
683 Chambers, Alexander ....................................... U. S. S. Bienville ....................... 6 44
684 Cooper, J. ..................................... Privat .......... C 111th Ohio volunteers .............. 10 117
