28
UNION SOLDIERS INTERRED IN

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued.

| No. | Name. | Rank. | Co. | Regiment. | Date of death. | Sec. | Grave. | Remarks. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 761 | Cotton, H. | Private | E | 9th Maine volunteers | ................. | 20 | 12 | |
| 762 | Calvay, G | do | C | 115th New York volunteers | ................. | 21 | 40 | |
| 763 | Cassidy, G | do | D | 115th New York volunteers | ................. | 21 | 47 | |
| 764 | Crandall, Paul | do | G | 115th New York volunteers | ................. | 21 | | |
| 765 | Callamore, S. E. | | H | 8th Maine volunteers | ................. | 19 | 116 | |
| 766 | Clark, A. | Private | D | 115th New York volunteers | ................. | 21 | 53 | |
| 767 | Clapson, Charles | Corporal | A | 115th New York volunteers | ................. | 21 | 34 | |
| 768 | Chatham, J | Seaman | | U.S. steamer Pawnee | ................. | 6 | 85 | |
| 769 | Cramer, C | Private | F | 98th New York volunteers | ................. | 35 | 22 | |
| 770 | Chapman, W. H. | Sergeant | B | 23d Massachusetts vols | ................. | 15 | 54 | |
| 771 | Cramer, F | | B | 176th Pennsylvania vols | ................. | 38 | 42 | |
| 772 | Cantin, Aug | | D | --- New York engineers | ................. | 28 | 90 | |
| 773 | Cronk, T | | I | --- New York engineers | ................. | 28 | 120 | |
| 774 | Cramer, J | | A | 76th Pennsylvania volunteers | ................. | 38 | 20 | |
| 775 | Campbell, Andrew J | Private | D | 3d New Hampshire vols | ................. | 17 | 47 | |
| 776 | Colby, Daniel L | do | A | 3d New Hampshire vols | ................. | 17 | 46 | |
| 777 | Caban, William | do | B | 3d New Hampshire vols | ................. | 17 | 29 | |
| 778 | Carter, David | 2d mate | | Schooner Anna | ................. | | | |
| 779 | Cogan, John | | | Schooner Locust Point | ................. | 6 | 129 | |
| 780 | Cooper, Thomas F | Private | B | 54th Massachusetts vols | ................. | 16 | 65 | |
| 781 | Curtiss, John | Corporal | G | 55th Massachusetts vols | ................. | 15 | 21 | |
| 782 | Claybourne, Archy | Private | D | 55th Massachusetts vols | ................. | 15 | 37 | |
| 783 | Curtis, Franklin | do | B | 55th Massachusetts vols | ................. | 15 | 8 | |
| 784 | Cratin, August | do | C | 33d U. S. colored troops | ................. | 30 | 90 | |
| 785 | Campbell, Augustine | do | H | 33d U. S. colored troops | ................. | 30 | 88 | |
| 786 | Camel, Frank | do | K | 33d (1st S. C.) volunteers | ................. | 30 | 127 | |
| 787 | Campbell, York | do | B | 33d (1st S. C.) volunteers | ................. | 30 | 117 | |
| 788 | Cowens, York | do | C | 34th (2d S. C.) volunteers | ................. | | | |
| 789 | Canneda, William | do | I | 34th U. S. colored troops | ................. | 29 | 102 | |
| 790 | Cammel, Mazarini | do | | 128th U. S. colored troops | ................. | 32 | 142 | |
| 791 | Cooner, Henry | do | E | 128th U. S. colored troops | ................. | 32 | 120 | |
| 792 | Cannahan, Amos | do | B | 128th U. S. colored troops | ................. | 32 | 127 | |
| 793 | Christopher, J | do | H | 128th U. S. colored troops | ................. | 32 | 180 | |
| 794 | Coburn, Guy | do | C | 104th U. S. colored troops | ................. | 31 | 84 | |
| 795 | Curtiss, John | do | B | 3d U. S. colored troops | ................. | | | |
