Requisition for Provisions for 60 days commencing the 21st day of
June 1866 and ending the 20th day of August 1866 for troops Sta-
tioned at Fort Macon N.C. by Lt. J. L. Tiernon 10th U.S. Arty. (H)
A. C. S.

| Articles | No of Rations required to keep on Hand | [Total Number of] Rations on Hand | Deficiency to be supplied | Remarks |
| --- | --- | --- | --- | --- |
| Pork | } 3600 | 3377 | 12 Bbls | I am required to |
| Bacon |       |      | Mess Pork | issue to 60 persons |
| Fresh Mutton |      |      |      | when are 4 officers |
| Flour | } 3600 | 1500 | 2100 | as p. Fort orders |
| Hard Bread | | 146 | | I am required to fill |
| Beans | } 3600 | 11827 | — | [?] [?] |
| Peas | | | — | Provisions have been |
| Rice | | 2850 | — | issued [?] to & including |
| [deleted text] | | | | the 20th of June 1866 |
| Roasted Coffee | } 3600 | 900 | 2700 | |
| [deleted text] Tea | | 2200 | | |
| Brown Sugar | 3600 | 1600 | 2000 | |
| [deleted text] | | | | |
| Vinegar | 3600 | 10.400 | — | |
| Candles | 3600 | 24. 920 | — | |
| Soap | 3600 | [12. 250 / 2] | 23 75 | |
| Salt | 3600 | 3 | 3600 | |
| Pepper | 3600 | 9. 200 | | |
| [deleted text] | | | | |
| [deleted text] | | | | |
| [deleted text] | | | | |
| [deleted text] | | | | |
| [deleted text] | | | | |
