118 UNION SOLDIERS INTERRED IN  
  
BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued.  
  
| No. | Name. | Rank. | Co. | Regiment. | Date of death. | Sec. | Grave. | Remarks. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 4179 | Scot, C. D....................... | ................. | D | 92d Illinois....................... | ................ | 7 | 92 |   |
| 4180 | Sheriden, John................... | ................. | H | 69th New York...................... | ................ | 25 | 81 |   |
| 4181 | S-------, -------................ | ................. | B | 9th Indiana cavalry................ | ................ | 8 | 58 |   |
| 4182 | Soule, Charles................... | ................. | L | 9th Michigan cavalry............... | ................ | 41 | 41 |   |
| 4183 | Singleton, Charles............... | ................. | K | 103d U. S. colored troops.......... | ................ |   |   |   |
| 4184 | Small, Samuel.................... | ................. | F | 103d U. S. colored troops.......... | ................ | 30 | 61 |   |
| 4185 | Strickland, Wayne................ | ................. | C | 33d U. S. colored troops........... | ................ |   |   |   |
| 4186 | Smith, Wm........................ | ................. | C | 33d U. S. colored troops........... | ................ | 31 | 188 |   |
| 4187 | Simons, Mingo.................... | ................. | E | 33d U. S. colored troops........... | ................ |   |   |   |
| 4188 | Straty, Wm....................... | ................. | F | 103d U. S. colored troops.......... | ................ | 31 | 164 |   |
| 4189 | Snerling, Samuel................. | ................. | D | 102d U. S. colored troops.......... | ................ |   |   |   |
| 4190 | Stevens, Andrew.................. | ................. | B | 103d U. S. colored troops.......... | ................ |   |   |   |
| 4191 | Smith, James..................... | ................. | B | 7th United States infantry......... | ................ | 2 | 14 |   |
| 4192 | Seaman, A........................ | ................. |   | 7th Connecticut.................... | ................ | 35 | 57 |   |
| 4193 | Stewart, S. H.................... | ................. | K | 3d Rhode Island heavy art'y........ | ................ | 35 | 23 |   |
| 4194 | Sorait, H. Clay.................. | ................. | H | 7th United States infantry......... | ................ | 19 | 47 |   |
| 4195 | Shay, Thomas..................... | ................. |   | 7th United States infantry......... | ................ | 2 | 17 |   |
| 4196 | Scot, Samuel..................... | ................. |   | 7th United States infantry......... | ................ | 2 | 15 |   |
| 4197 | Sullivan, Daniel.................... | ................. |   | 7th United States infantry......... | ................ | 2 | 68 |   |
| 4198 | Smuger, Charles.................. | ................. |   | 7th United States infantry......... | ................ | 2 | 38 |   |
| 4199 | Seifert, Fred.................... | ................. |   | 7th United States infantry......... | ................ |   |   |   |
| 4200 | Snyder, B........................ | ................. |   | 7th United States infantry......... | ................ |   |   |   |
| 4201 | Schimler, Nick................... | ................. |   | 7th United States infantry......... | ................ | 2 |   |   |
| 4202 | Sickel, B........................ | ................. |   | 7th United States infantry......... | ................ | 2 | 33 |   |
| 4203 | Smith, Henry..................... | Captain.......... | E | 48th Illinois...................... | ................ | 2 | 32 |   |
| 4204 | Smith, A. B...................... | ................. | D | 111th Illinois..................... | ................ | 2 | 11 |   |
| 4205 | Smith, G. W...................... | 2d Lieutenant.... | I | 70th Ohio.......................... | ................ | 2 | 27 |   |
| 4206 | Shuman, Henry.................... | ................. | G | 48th Illinois...................... | ................ | 3 | 4 |   |
| 4207 | Sherod, J. B..................... | ................. | G | ................................... | ................ | 3 | 2 |   |
| 4208 | Smith, John B.................... | ................. | G | 13th Michigan...................... | ................ | 10 | 26 |   |
| 4209 | Strobie, J....................... | ................. | F | 33d New Jersey..................... | ................ | 7 | 3 |   |
| 4210 | Sacks, J......................... | ................. | F | 142d Pennsylvania.................. | ................ | 36 | 161 |   |
| 4211 | Simmons, James................... | ................. | G | 29th Ohio.......................... | ................ | 38 | 172 |   |
| 4212 | Spires, William.................. | ................. | F | 7th Connecticut.................... | ................ | 35 | 61 |   |
| 4213 | Sullivan, Richard................ | ................. |   | 113th Ohio......................... | ................ | 5 | 1 |   |
