134 UNION SOLDIERS INTERRED IN
BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued.

| No. | Name. | Rank. | Co. | Regiment. | Date of death. | Sec. | Grave. | Remarks. |
| :- | :- | :- | :- | :- | :- | :- | :- | :- |
| 4787 | White, A. R. | Corporal | D | 12th Kentucky cavalry | | 23 | 58 | |
| 4788 | Walben, J. | | | | | | | | 
| 4789 | Wilcox, H. S. | | M | 16th Illinois | | 7 | 84 | |
| 4790 | Williams, Elias | | G | 34th U. S. colored troops | | 29 | 129 | |
| 4791 | Williams, Isaac | | | Signal corps | | 1 | 67 | |
| 4792 | Whitmore, Harmon W | | D | 75th Ohio | | 10 | 75 | |
| 4793 | White, W. W | | H | 54th Massachusetts | | 16 | 76 | |
| 4794 | Williams, Preston | | E | 127th Ohio | | 10 | 109 | |
| 4795 | Wallace, John | | D | 2d U. S. colored troops | | | | |
| 4796 | Wilson, Alexander | | E | 2d Florida cavalry | | | | |
| 4797 | Williams, Washington | | E | 99th U. S. colored troops | | 32 | 91 | |
| 4798 | Williams, Robert | | I | 9th Maine | | 20 | 25 | |
| 4799 | Ware, Wilbert | | I | 9th Maine | | 20 | 48 | |
| 4800 | Worcester, J. Y | | I | 9th Maine | | 20 | 81 | |
| 4801 | Wilson, William | | K | 97th Pennsylvania | | 37 | 8 | |
| 4802 | Wonderley, J. K. (P. S) | | G | 97th Pennsylvania | | 37 | 64 | |
| 4803 | Wright, W | | G | 97th Pennsylvania | | 37 | 62 | |
| 4804 | Wright, J | | H | 97th Pennsylvania | | | | |
| 4805 | Wright, J. C | | H | 4th Tennessee | | 37 | 10 | |
| 4806 | Woodward, J | | F | U. S. S. Chenango | | 23 | 28 | |
| 4807 | Wadkins, J. M | | E | \-\-\-\- Pennsylvania | | 6 | 107 | |
| 4808 | Wilson, Charles | | H | \-\-\-\- Pennsylvania | | 6 | 9 | |
| 4809 | Wilson, W. H | | H | \-\-\-\- Pennsylvania | | | | |
| 4810 | Wright, Cuffee | | H | 21st U. S. colored troops | | 30 | 143 | |
| 4811 | Wilson, J | Corporal | H | 21st U. S. colored troops | | 12 | 41 | |
| 4812 | Walker, J. E | | F | 48th New York | | | | |
| 4813 | Williamson, S. C | | | | | | | |
| 4814 | W——, J | | | | | | | |
| 4815 | White, A. P | Lieutenant | | | | | | |
| 4816 | Webster, D. P | | | | | | | |
| 4817 | Wolf, T. D | | | | | | | |
| 4818 | Walker, John | | F | 28th New York cavalry | | | | |
| 4819 | Wooberry, H. A | | | | | | | |
| 4820 | Wuder, A. H | Lieutenant | B | 51st Indiana | | | | |
| 4821 | Whitehead, A | | | | | | | |
