Requisition for Provisions for 60 days commencing the 21st day of
June 1866 and ending the 20th day of August 1866 for troops Sta-
tioned at Fort Macon N.C. by Lt. G. L. Tuxbury 10th US Col. (Hvy)
A. C. S.

| Articles | No of Nations required to keep on Hand | Total Number of Rations on-hand | Balance to be supplied | Remarks |
| --- | --- | --- | --- | --- |
| Pork | } 3600 | 3377 | 12 Bbls [deleted] Pork [?] | I am required to issue to 60 persons there are also 4 Officers as per Last return |
| Bacon | | | | |
| Fresh Beef | | | | |
| Flour | } 3600 | 1500 | 2100 | I am required to keep Eight Months Provisions have been issued & supplied to 20th of June 1866 |
| Hard Bread | | 146 | | |
| Beans | } 3600 | 11827 | — | |
| Peas | | 2850 | — | |
| Rice | | | | |
| [deleted] Hominy | | | | |
| Green Coffee | } 3600 | 900 | 27 00 | |
| Roasted & Grd Coffee | | 2200 | | |
| Tea | | | | |
| Brown Sugar | 3600 | 1600 | 2000 | |
| White Sugar | | | | |
| Vinegar | 3600 | 10.400 | — | |
| Candles | 3600 | 21 920 | — | |
| Soap | 3600 | 12 25 | 23 75 | |
| Salt | 3600 | 3 | 3600 | |
| Pepper | 3600 | 9 200 | — | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| [deleted] Molasses | | | | |
| [deleted] Potatoes | | | | |
| [deleted] Onions | | | | |
| [deleted] Desiccated Potatoes | | | | |
| [deleted] Desiccated Mixed Vegetables | | | | |
