Requisition for Provisions for 60 days commencing the 21st day of June 1866 and ending the 20th day of August 1866 for troops Sta- tioned at Fort Macon N.C. by Lt. G. L. Tuxbury 10th US C. A. (Hy) 
A. C. S.

| Article | No of rations required to keep on hand | Total number of Rations on hand | Deficiency to be supplied | Remarks |
| :--- | :--- | :--- | :--- | :--- |
| Pork }<br>Bacon }<br>Fresh Mutton | 3 600 | 3 377 | 12 Sheep<br>on hand | I am required to<br>issue to 60 persons.<br>There are 4 Officers<br>as yet. For whom<br>I am required to keep<br>sixty days provisions.<br>Provisions have been<br>issued & required<br>to 20th of June 1866 |
| Flour }<br>Hard Bread } | 3 600 | 1500<br>146 | 21 00 | |
| Beans }<br>Peas }<br>Rice } | 3 600 | 11 827<br>2 850 | —<br>—<br>— | |
| [crossed out: Roasted Coffee] }<br>Raw Coffee }<br>Tea } | 3 600 | 700<br>2200 | 27 00 | |
| Brown Sugar<br>White Sugar | 3 600 | 1600 | 20 00 | |
| Vinegar | 3 600 | 10.400 | — | |
| Candles | 3 600 | 24 9/20 | — | |
| Soap | 3 600 | 12 21/32<br>3 | 23 75 | |
| Salt | 3 600 | | 3600 | |
| Pepper | 3 600 | 9.200 | | |

***

[crossed out: Hom—]<br>Potatoes<br>Onions<br>[crossed out: Hominy]<br>[crossed out: Dessecated Potatoes] | —
