The First Six Member Organizations"

National Board of the Young Women's Christian Associations
National Council of Jewish Women
Women's Division of the American Jewish Congress
American Association of University Women
National Women's Trade Union League
National Federation of Business and Professional Women's Clubs

"The First One Hundred" Of Two Thousand Sponsors

Mrs. Sadie T. M. Alexander                         Mrs. Edna Lister
Pennsylvania                                       Washington
Miss Mary Anderson                                 Mrs. Andrew MacLeish
Mrs. James Rae Arneill                             Mrs. T. A. McCann
Dames of Columbia                                  Illinois
MRS. ALEXANDER C. BARKER                           Mrs. A. J. McGuire
Minnesota                                         New York
Mrs. H. J. Bessesses                              Mrs. Charlotte B. Mahon
New York                                          Minnesota
MRS. WARNER J. BLANCHARD                          Mrs. Elsa Maxwell
Ohio                                              New York
Mrs. W. Russell Bowie                             Mrs. Patricia I. D. Merica
New York                                          New York
MRS. W. HENRY S. BRECKINRIDGE                     Mrs. E. S. Mills
New York                                          New York
MRS. EDWARD C. CARTER                             Mrs. Dwight Morrow
New York                                          New York
Miss Margaret Cuenod                              Mrs. William T. Mowrer
Connecticut                                       District of Columbia
Mrs. James Stewart Cushman                        Mrs. Clare Dana Mumford
New York                                          New York
MRS. TOM S. DALRYMPLE                              Mrs. James C. Philbrick
Minnesota                                         New York
Mrs. H. P. Davison                                Mrs. James Picker
New York                                          New York
MRS. CLAIRE C. DEANE                               Mrs. Gray G. Parker
New York                                          North Carolina
Mrs. Alfred V. DeForest                           Miss Mary A. Porter
Massachusetts                                     Connecticut
Mrs. Edward Dreier                               Mrs. H. T. Pratt
New York                                          Connecticut
MRS. LAURA DREYFUS-BARNY                          Mrs. Aurelia H. Reinhardt
Washington                                       New York
MRS. REYNOLD E. EHRUCH                             Mrs. Maximilian Righter
New York                                          New York
Mrs. Alfred Hess                                  Miss Louisa V. Stott
New York                                          New York
MRS. GEORGE H. HUNTINGTON                         Miss Anna Lord Strauss
New York                                          New York
Mrs. Ruth Belle Inglis                            Mrs. E. T. Swain
Minnesota                                         New York
MRS. ALFRED WINSLOW JONES                         Miss Marion Talbot
New York                                          Minnesota
Mrs. Adam Leroy Jones                             Mrs. Harold E. Talbott
Illinois                                          New York
MRS. ELIH. H. FIGG                                Mrs. Harry G. Samson
Connecticut                                       Pennsylvania
Mrs. John H. Finley                               Mrs. Charles H. Russell, Jr.
Illinois                                          New York
MRS. HARRY E. FOSDICK                             Mrs. Juliette Barrett Rublee
New York                                          New York
Mrs. Charles W. Gilkey                            Mrs. Julia C. Reinhold
Illinois                                          New York
DR. META GLASS                                    Mrs. Lydia M. Schmidt
Virginia                                          Illinois
Mrs. M. L. Goldman                                Miss Grace Schneidererman
New York                                          New York
MRS. WILLIAM H. GOODE                             Mrs. Worthington Scranton
California                                        New York
MRS. GERTRUDE GREEN                               Miss Elizabeth Seeger
Illinois                                          New York
MRS. EDMITH STARR HAINES                          Miss Frances Paperte
Illinois                                          New York
Mrs. Learned Hand                                 Mrs. James C. Simkhovitch
New York                                          New York
MRS. LEANED BELL HARPER                           Mrs. Louis Slade
New York                                          New York
MRS. MAURICE V. STILLWELL                         Miss Marjorie Sloan
New York                                          New York
MRS. MARY V. STOTT                                 Mrs. Jessie Merrick Smith
New York                                          New York
MRS. PERCY G. HART                                Mrs. H. Edward T. Pratt
New York                                          Connecticut
MRS. FORBES HAWKES                                Mrs. Michael Heidelberger
New York                                          New York
MRS. MICHEL HEIDELBERGER                          Mrs. John Charles Haines
New York                                          Illinois
MRS. ALFRED HESS                                  Mrs. Leonard Hand
New York                                          New York
MRS. GEORGE H. HUNTINGTON                         Mrs. Ruth Belle Inglis
New York                                          Minnesota
MRS. ALFRED WINSLOW JONES                         Mrs. Adam Leroy Jones
New York                                          Illinois
MRS. ADAM LEROY JONES                             Mrs. Elihu .H. Figg
Illinois                                          Connecticut
MRS. ELIHU H. FIGG                                Mrs. John H. Finley
Connecticut                                       Illinois
Mrs. John H. Finley                               Mrs. Harry E. Fosdick
Illinois                                          New York
MRS. HARRY E. FOSDICK                             Mrs. Charles W. Gilkey
New York                                          Illinois
Mrs. Charles W. Gilkey                            Dr. Meta Glass
Illinois                                          Virginia
DR. META GLASS                                    Mrs. M. L. Goldman
Virginia                                          New York
Mrs. M. L. Goldman                                Mrs. William H. Goode
New York                                          California
MRS. WILLIAM H. GOODE                             Mrs. Gertrude Green
California                                        Illinois
MRS. GERTRUDE GREEN                               Mrs. Edmund Starr Haines
Illinois                                          Illinois
MRS. EDMITH STARR HAINES                          Mrs. Learned Hand
Illinois                                          New York
Mrs. Learned Hand                                 Mrs. Learned Bell Harper
New York                                          New York
MRS. LEANED BELL HARPER                           Mrs. Maurice V. Stillwell
New York                                          New York
MRS. MAURICE V. STILLWELL                         Mrs. Mary V. Stott
New York                                          New York
MRS. MARY V. STOTT                                 Mrs. Percy G. Hart
New York                                          New York
MRS. PERCY G. HART                                Mrs. Forbes Hawkes
New York                                          New York
MRS. FORBES HAWKES                                Mrs. Michael Heidelberger
New York                                          New York
MRS. MICHEL HEIDELBERGER                          Mrs. Alfred Hess
New York                                          New York
MRS. ALFRED HESS                                  Mrs. George H. Huntington
New York                                          New York
MRS. GEORGE H. HUNTINGTON                         Mrs. Ruth Belle Inglis
New York                                          Minnesota
MRS. RUTH BELLE INGLIS                            Mrs. Alfred Winslow Jones
Minnesota                                         New York
MRS. ALFRED WINSLOW JONES                         Mrs. Adam Leroy Jones
New York                                          Illinois
MRS. ADAM LEROY JONES                             Mrs. Elihu H. Figg
Illinois                                          Connecticut
MRS. ELIHU H. FIGG                                Mrs. John H. Finley
Connecticut                                       Illinois
Mrs. John H. Finley                               Mrs. Harry E. Fosdick
Illinois                                          New York
MRS. HARRY E. FOSDICK                             Mrs. Charles W. Gilkey
New York                                          Illinois
Mrs. Charles W. Gilkey                            Dr. Meta Glass
Illinois                                          Virginia
DR. META GLASS                                    Mrs. M. L. Goldman
Virginia                                          New York
Mrs. M. L. Goldman                                Mrs. William H. Goode
New York                                          California
MRS. WILLIAM H. GOODE                             Mrs. Gertrude Green
California                                        Illinois
MRS. GERTRUDE GREEN                               Mrs. Edmund Starr Haines
Illinois                                          Illinois
MRS. EDMITH STARR HAINES                          Mrs. Learned Hand
Illinois                                          New York
Mrs. Learned Hand                                 Mrs. Learned Bell Harper
New York                                          New York
MRS. LEANED BELL HARPER                           Mrs. Maurice V. Stillwell
New York                                          New York
MRS. MAURICE V. STILLWELL                         Mrs. Mary V. Stott
New York                                          New York
MRS. MARY
