### Managers

Allan Durborow, Jr. M.C.                  Frederick W. Lamport
George E Adams                            Victor F Lawson
Abbott L Adams                            Charles D Lathrop
J McGregor Adams                         Joseph Leiter
Arthur Aldis                                H G Selfridge
Captain James Allen, U.S.A.               Milton C Lightner
Allison Varmour                           Benoni Lockwood Jr.
Frank M Avery                              Frank A Marsh
Asher C Baker, U.S.N.                      Edward O Mason
Daniel N Bertollette, M.D. U.S.N.         John Mason
William G Beale                             Captain Marion P Maus, U.S.A.
Nelson P Bigelow                           Charles P McAuley
Edward T Blair                             Cyrus H McCormick
J Harley Bradley                          Charles B Mac Donald
Urban H Broughton                         Genl Chauncy McKeever, U.S.A.
Col Charles P Bryan                       Franklin Mac Veagh
Benjamin Carpenter                       J Henry Norton
William T Carrington                       William Odell
Arthur J Caton                             Andrew Onderdonk
John L Chamberlin, U.S.A.                R W Patterson, Jr.
Charles Corbith                            Francis S Peabody
Frank Cramer                               Frank J Remington
Charles Deering                           Thomas J Ryan
J Edward Doane                            Arthur J Ryerson
Augustus N Eddy                           James W Scott
Arthur C Ely                                George A Sewerns, Jr.
James Carey Evans                         Charles Sherman
William R Farquhar                       W F B Shuffelbarger
F C Farwell                                 William H Smalley
Walter Farwell                             Sydney P Taber
Carter H Fitz Hugh                         Lambert Tree
Carter H Harrison Jr.                      Emerson B Tuttle
Adrian C Honore                           R A Waller
Lockwood Honore                          Franklin Watriss
Pierpont Isham                            Dudley Winston
Ralph Isham                                Roger Welles, Jr., U.S.N.
Huntington W Jackson                     Francis M Whitehouse
C Fred Kimball                            Bertram Winston
Herman J Kohlsatt                         Norman Williams
Benjamin B Lamb
