```
"LIGA DREPTURILOR şI DATORIILOR FEMEIL"
Sediul: Str. _____________ No. __________, București

BIROUL COMITETULUI EXECUTIV

Preşedintei: D-ia EUGENIA DE REUS IANCULESCU
Sectretara generală: D-ia VESTURA-MILEVA MARCOVICI

Vice-Preşedinti: D-ia OLIMPIA DUMITRESCU
Secretara: D-ia ANASTASIA NEGRITU
Preşedinta de partid: D-ia MINAIA HOLBAN

Sectretarul executiv: D-ia ALEX. MAVROIANU

București, 7/20 April/1932

Doamne, cu prea multă grija,
Veom în numele nostru proprietatea noastră comună și
vă rog să nu vă fereca de a o primi. În acea proprietate
sunt, de asemenea, cele mai multe cărți care
sunt în posesia noastră comună. Vă rog să le trimiţi
o parte la bibliotecă, în bibliotecă comună, și o parte
la bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
comună, în bibliotecă comună, în bibliotecă comună, în bibliotecă
