```
UNION SOLDIERS INTERRED IN

104 BRADFORD NATIONAL CEMETERY SOUTH CAROLINA — CONFEDERATE

Remarks.

Name.    Rank.     Co.     Regt.     Date of death.     State.    Grave.

Off.    140th        1st N.Y.      146th        Oct.      Connecticut.

Bvt. Brig. Gen.        1st N.Y.      146th        Aug.      Indiana.

Bvt. Brig. Gen.        1st N.Y.      146th        Jul.      New York.

Col.    1st N.Y.      146th        Jun.      New York.

Col.    1st N.Y.      146th        May.      New York.

Col.    1st N.Y.      146th        Apr.      New York.

Col.    1st N.Y.      146th        Mar.      New York.

Col.    1st N.Y.      146th        Feb.      New York.

Col.    1st N.Y.      146th        Jan.      New York.

Capt.   1st N.Y.      146th        1862        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

Maj.    1st N.Y.      146th        1863        New York.

