# UNION SOLDIERS INTERRED IN

## BEAUDREPAT NATIONAL CEMETERY, SOUTH CAROLINA - CONFED.

| Co. | Rank | Name | No. | Regt. | Date of Death | Grave | Sect. | Remarks |
|-----|------|-----|-----|--------|----------------|-------|-------|---------|
| 85 NC Line | | James Robert | 2095 | 1st Mass. Vol. Inf. | Jan. 13, 1862 | 792 | 3rd | |
| 85 NC Line | | John George | 2432 | 1st Mass. Vol. Inf. | Mar. 30, 1862 | 882 | 3rd | |
| 85 NC Line | | William Mitchell Clark | 2382 | 101st Penna. Vol. Inf. | Apr. 20, 1862 | 874 | 3rd | (moved by order, Mass. | |
| 85 NC Line | | James Clark | 1526 | 32d Mass. Vol. Inf. | May 12, 1862 | 990 | 3rd | |
| 85 NC Line | | John Dearborn | 2023 | 2d U.S. Sgt. Art. | May 25, 1862 | 1010 | 4th | |
| 85 NC Line | | Amos A. Chapman | 2691 | 103d New York Vols. Inf. | May 29, 1862 | 1017 | 4th | |
| 85 NC Line | | George Conrad | 1338 | 5th Rhode Island Vol. Inf. | Jun. 14, 1862 | 1083 | 4th | |
| 85 NC Line | | Henry T. Crawford | 1861 | 26th Conn. Vol. Inf. | Jun. 7, 1862 | 1057 | 7th | |
| 85 NC Line | | James W. Curtis | 2596 | 104th New York Vols. Inf. | Jun. 20, 1862 | 1090 | 7th | |
| 85 NC Line | | John Davis | 2910 | 57th Ohio Vol. Inf. | Jun. 24, 1862 | 1101 | 7th | |
| 85 NC Line | | John H. Evertson | 3038 | 4th Michigan Vol. Inf. | Jun. 29, 1862 | 1109 | 7th | |
| 85 NC Line | | William E. George | 2289 | 16th New York Vol. Inf. | Jun. 30, 1862 | 1112 | 7th | |
| 85 NC Line | | James G. Green | 2129 | 101st New York Vols. Inf. | Jul. 3, 1862 | 1119 | 7th | |
| 85 NC Line | | George W. Hayes | 3233 | 2d Maine Vol. Inf. | Jul. 5, 1862 | 1122 | 7th | |
| 85 NC Line | | Hiram Hough | 1301 | 58th New York Vol. Inf. | Jul. 6, 1862 | 1125 | 7th | |
| 85 NC Line | | John S. Jenkins | 2162 | 106th New York Vols. Inf. | Jul. 22, 1862 | 1143 | 8th | |
| 85 NC Line | | John J. Knapp | 1635 | 54th New York Vols. Inf. | Jul. 22, 1862 | 1143 | 8th | |
| 85 NC Line | | Charles Ladue | 3597 | 86th New York Vols. Inf. | Jul. 29, 1862 | 1177 | 8th | |
| 85 NC Line | | George Lee | 3065 | 105th New York Vols. Inf. | Aug. 3, 1862 | 1189 | 8th | |
| 85 NC Line | | George F. Miller | 3209 | 37th New York Vols. Inf. | Aug. 9, 1862 | 1204 | 8th | |
| 85 NC Line | | Charles Moore | 1957 | 8th Rhode Island Dave. | Aug. 10, 1862 | 1207 | 8th | |
| 85 NC Line | | Thomas R. Rawlins | 1669 | 1st Wisconsin Shawnee | Aug. 15, 1862 | 1230 | 9th | |
| 85 NC Line | | John Robinson | 1775 | 7th Ohio Vol. Inf. | Aug. 18, 1862 | 1241 | 9th | |
| 85 NC Line | | Frederick Schlott | 2417 | 3d Wisconsin Vol. Inf. | Aug. 20, 1862 | 1236 | 9th | |
| 85 NC Line | | Josiah Sherman | 2326 | 6th New York Heavy Arty. | Aug. 21, 1862 | 1251 | 10th | (とはlead기 Leah in error |
| 85 NC Line | | William J. Smith | 1963 | 9th Missouri Vol. Inf. | Aug. 25, 1862 | 1264 | 10th | |
| 85 NC Line | | John C. Stockman | 1897 | 6th New York Cav. | Aug. 25, 1862 | 1264 | 10th | |
| 85 NC Line | | Charles Strong | 3423 | 2d West Virginia Inf. | Aug. 29, 1862 | 1272 | 10th | |
| 85 NC Line | | Meade W. Titus | 2376 | 12th Ohio Vol. Inf. | Sep. 1, 1862 | 1278 | 10th | |
| 85 NC Line | | Thomas Young | 1885 | 37th Illinois Vol. Inf. | Sep. 3, 1862 | 1291 | 11th | |
| 85 NC Line | | John A. Bell | 2407 | 7th Rhode Island Vol. Inf. | Sep. 11, 1862 | 1321 | 12th | |
| 85 NC Line | | William R. BABCOCK | 2041 | 86th New York Vols. Inf. | Sep. 17, 1862 | 1336 | 12th | |
| 85 NC Line | | James D. макси | 2602 | 102d Illinois Vol. Inf. | Sep. 18, 1862 | 1341 | 12th | |
| 85 NC Line | | Robert C. ALLEN | 2600 | 102d Illinois Vol. Inf. | Sep. 18, 1862 | 1341 | 12th | |
| 85 NC Line | | Philip ARCHER | 3389 | 128th New York Vols. Inf. | Sep. 26, 1862 | 1378 | 13th | |
