### NATCHEZ NATIONAL CEMETERY, MISSISSIPPI

#### UNION SOLDIERS INTERRED IN

| No. | Name                              | Rank | Co. | Regiment                                                                                     | Date of death | Sec. | Grave | Original Place of Burial                           |
|-----|-----------------------------------|------|-----|-----------------------------------------------------------------------------------------------|---------------|-----|-------|-----------------------------------------------------|
| 218 | Foster, Stephen                   | Pvt   | K   | 6th Illinois Infantry                                                                        | Nov 26, 1863  | 22  | 981   | Natchez, Mississippi                                |
| 219 | Allensson, John H.                | Pvt   | F   | 5th U.S. Colored Cavalry                                                                    | June 10, 1865 |     |       |                                                     |
| 220 | Hicks, Isaac                      | Pvt   | L   | 50th U.S. Colored Infantry                                                                  | May 26, 1865  |     |       |                                                     |
| 221 | Anderson, Thomas                  | Pvt   |     | 58th U.S. Colored Infantry                                                                  | July 28, 1865 |     |       |                                                     |
| 222 | Cellar, George                    | Pvt   | E   | 5th U.S. Colored Cavalry                                                                    | June 1, 1865  |     |       |                                                     |
| 223 | Burns, Samuel                     | Pvt   |     | 5th U.S. Colored Cavalry                                                                    | July 1, 1865  |     |       |                                                     |
| 224 | Cropsey, William                  | Pvt   |     | 5th U.S. Colored Cavalry                                                                    | June 8, 1865  |     |       |                                                     |
| 225 | Dublin, A.                        | Pvt   |     | 58th U.S. Colored Infantry                                                                  | June 15, 1865 |     |       |                                                     |
| 226 | Simmons, Samuel                   | Pvt   | C   | 52nd U.S. Colored Infantry                                                                   | June 2, 1865  |     |       |                                                     |
| 227 | Good, C. F.                       | Pvt   |     | 17th Pennsylvania Cavalry                                                                   | Dec 25, 1864  |     |       |                                                     |
| 228 | Ducker, Peter                     | Pvt   |     | 4th Rhode Island Infantry                                                                   | June 15, 1865 |     |       |                                                     |
| 229 | Hughes, W.                       | Pvt   | F   | 4th Rhode Island Infantry                                                                   | Dec 20, 1864  |     |       |                                                     |
| 230 | Clark, Noah                       |     |     | 70th U.S. Colored Infantry                                                                  | July 31, 1865 |     |       |                                                     |
| 231 | Stocker, W. H.                     | Pvt   | C   | 67th U.S. Colored Infantry                                                                  | Aug 1, 1865   |     |       |                                                     |
| 232 | Smith, George W.                  | Pvt   |     | 54th Illinois Infantry                                                                       | Dec 14, 1864  |     | 602   | Natchez, Mississippi                                |
| 233 | Rogers, John                      | Pvt   | D   | 4th Rhode Island Infantry                                                                   | Aug 30, 1865  |     |       |                                                     |
| 234 | Madden, James                     |     |     | 57th U.S. Colored Infantry                                                                  | Aug 30, 1865  |     |       |                                                     |
| 235 | Cargile, James                     | Pvt   | A   | ? Missouri Infantry                                                                         | May 20, 1865  |     |       |                                                     |
| 236 | Mills, John R.                     | Pvt   |     | 5th Wisconsin Infantry                                                                      | May 30, 1865  |     |       |                                                     |
| 237 | Dugan, Patrick                    | Pvt   | A   | 58th Ohio Infantry                                                                         | May 20, 1865  |     |       |                                                     |
| 238 | Heaton, William                    | Pvt   | I   | 67th U.S. Colored Infantry                                                                  | July 31, 1865 |     |       |                                                     |
| 239 | Sowers, Robert L.                  |     |     | 4th Rhode Island Infantry                                                                   | July 31, 1865 |     |       |                                                     |
| 240 | Downs, Charles                     | Pvt   | D   | 14th Wisconsin Infantry                                                                    | Aug 30, 1865  |     | 954   | Natchez, Mississippi                                |
| 241 | McHenry, George M.                |     |     | 4th Rhode Island Infantry                                                                   | July 30, 1865 |     |       |                                                     |
| 242 | Talbot, John A.                   | Pvt   | E   | 48th Missouri Infantry                                                                      | Aug 30, 1865  |     |       |                                                     |
| 243 | Williams, John H.                  |     |     | 64th Ohio Infantry                                                                         | Aug 31, 1865  |     |       |                                                     |
| 244 | Pickler, John                     |     |     | 50th U.S. Colored Infantry                                                                  | Aug 31, 1865  |     |       |                                                     |
| 245 | Kirkland, Charles                  |     |     | 2nd New York Cavalry                                                                         | Aug 31, 1865  |     |       |                                                     |
| 246 | Renald, John                      |     |     | 4th Rhode Island Infantry                                                                   | Aug 31, 1865  |     |       |                                                     |
| 247 | Marsh, C. B.                      |     |     | 48th Missouri Infantry                                                                      | Aug 31, 1865  |     |       |                                                     |
| 248 | Pfifer, Christian                  |     |     | 17th Iowa Infantry                                                                         | Aug 31, 1865  |     |       |                                                     |
| 249 | James, John                       |     |     | 4th Rhode Island Infantry                                                                   | Aug 31, 1865  |     |       |                                                     |
| 250 | Haney, Samuel                     |     |     | 5th Wisconsin Infantry                                                                      | Aug 31, 1865  |     |       |                                                     |
| 251 | Thureau, G.                       |     |     | Clerk and Quarter Sergent H.I. Service                                                       | Aug 7, 1865   |     |       |                                                     |
| 252 | Ponder, Andrew J.                 | Pvt   | A   | 59th U.S. Colored Infantry                                                                  | Nov 10, 1863  |     |       |                                                     |
| 253 | Lincecum, Buckner                 |     |     | 4th Rhode Island Infantry                                                                   | Apr 13, 1865  |     |       |                                                     |
| 254 | Crawford, James H.                | Pvt   | E   | 4th Rhode Island Infantry                                                                   | Mar 10, 1865  |     |       |                                                     |
| 255 | Huston, Frank                     | Pvt   |     | 5th Wisconsin Infantry                                                                      | Mar 10, 1865  |     | 668   | Natchez, Mississippi                                |
| 256 | Adams, M.                         |     |     | 79th Ohio Infantry                                                                         | Sept 11, 1865 |     |       |                                                     |
| 257 | Kirkland, Edgar W.                | Pvt   |     | 7th Connecticut Infantry                                                                    | Feb 6, 1864   |     |       | Natchez, Mississippi                                |
| 258 | Bannon, John                     | Pvt   |     | 12th Michigan Infantry                                                                     | Mar 19, 1864  | 12  | 669   | Vicksburg, Louisiana                                |
| 259 | Weiss, J. N.                      | Pvt   |     | 6th U.S. Colored Infantry                                                                    | Aug 16, 1865  |     |       | Plaquemine, Louisiana                               |
| 260 | Nottke, Louis                      | Pvt   |     | 6th U.S. Colored Infantry                                                                    | Aug 12, 1865  |     |       | Plaquemine, Louisiana                               |
