Sure! Here is the complete transcript of the document:

---

UNION SOLDIERS INTERRED IN

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued

| No. | Name                      | Rank  | Co.    | Regiment                                  | Date of death | Sec.   | Grave  | Remarks |
|----|---------------------------|-------|--------|------------------------------------------|---------------|--------|--------|---------|
| 731 | Grenier, Henry           | Private | K. 121 | 20th Maine Infantry                        |               | XX 823  | 959    |         |
| 732 | Grosenbach, Charles     | Private | N.    | 165th New York volunteers                |               | XX 821  | 8328   |         |
| 733 | Hansard, H.A.            | Private | B. 2. | 15th New York volunteers                  |               | XX 823  | 6987   |         |
| 803 | Hobson, Aaron W.         | Private | G. 05 | 92nd New York volunteers                  |               | XX 823  | 6991   |         |
| 734 | Boling, Albert D.        | Private | N.    | 15th New York Engineers                   |               | XX 826  | 9257   |         |
| 735 | Burr, R.W.H.             | Private | D. 78 | 1st Maine Heavy Artillery                |               | XX 826  | 9256   |         |
| 736 | Day, Alexander           | Private | E. 9. | 1st New York Mounted Rifles              |               | XX 826  | 9268   |         |
| 737 | Dixon, John             | Private | --     | 127th United States Colored Troops        |               | XX 827  | 9255   |         |
| 738 | Bath, Roger              | Private | --     | 127th United States Colored Troops        |               | XX 827  | 9259   |         |
| 738 | Clarke, Henry M.        | Private | --     | 127th United States Colored Troops        |               | XX 827  | 9255   |         |
| 740 | Day, Albert             | Private | I. 72 | 1st New York Engineers                    |               | XX 827  | 9256   |         |
| 741 | Garratt, M.E.B.         | Pte    | L. 9  | --                                        |               | - 142  | X 2069 |         |
| 742 | Garrity, Hugh           | Pte    | [? 234] | N.Y. vols.                                 |               | - 142  | X 2070 |         |
| 743 | Hamilton, W.A.          | Brevet Major | I     | 8th Pennsylvania Cavalry                   |               | - 142  | X 2071 |         |
| 744 | Havlin, Michael D.      | Private | --     | 2nd New Hampshire Infantry               |               | - 223  | 1740   |         |
| 745 | Allison, Peter          | Private | H. 11 | 48th New York volunteers                  |               | - 222  | 4841   |         |
| 746 | Montgomery, Jas. T.     | Private | F. 58 | 18th United States Colored Troops        |               | - 222  | 4840   |         |
| 747 | Hicks, J.K.A.           | Private | E. 11 | 85th Pennsylvania volunteers              |               | - 223  | 1736   |         |
| 748 | Crawford, James M.      | Private | A. 42 | 11th United States Colored Troops        |               | - 222  | 4842   |         |
| 749 | Britt, H.H.B.           | "  "    | --     | 4th Pennsylvania Cavalry                  |               | - 222  | 4848   |         |
| 750 | Barton, John            | "  "    | D. 1  | 8th New Hampshire volunteers              |               | - 222  | 4843   |         |
| 751 | Crowley, William        | "  "    | D. 5  | 20th New York veterans                   |               | - 222  | 4849   |         |
| 752 | Dickinson, J.M.         | "  "    | I. 2  | 33d New Jersey volunteers                 |               | - 222  | 4847   |         |
