118               UNION SOLDIERS INTERRED IN
             
BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued.

No.        Name.                                               Rank.               Co.        Regiment.                             Date of death.                 Sec.     Grave.            Remarks.

4179      Scott, C. D.                                         D                      92d      Illinois
4180      Sheridan, John                                     H                      69th      New York
4181      Soule, Charles                                       B                      9th         Michigan cavalry
4182      Singleton, Charles                                L                       103d     U. S. colored troops
4183      Small, James                                        K                      103d     U. S. colored troops
4184      Strickland, Wayne                              F                       33d       U. S. colored troops
4185      Smith, J.                                              O                      33d       U. S. colored troops
4186      Simmons, Mingo                                  E                       103d     U. S. colored troops
4187      Stuart, William                                    F                        103d     U. S. colored troops
4188      Snerling, Samuel                                B                       7th        U. S. colored troops
4189      Stevens, Andrew                                  B                       103d     U. S. colored troops
4190      Smith, James                                       H                      United States infantry
4191      Stewart, Mary                                      K                      7th        Rhode Island heavy arty
4192      Stearns, Chas.                                    D                      3d          United States infantry
4193      Stewart, S. H.                                    H                      3d          United States infantry
9194      Scott, Thomas                                      E                      7th         United States infantry
9195      Shay, Thomas                                      B                       7th         United States infantry
9196      Sullivan, James                                 H                      7th         United States infantry
9197      Snetzer, Charles                                K                      7th         United States infantry
9198      Seigfreid, Fred                                   I                       7th         United States infantry
9199      Spruher, A. Nick.                                B                       7th         United States infantry
4200      Shearer, Henry                                    D                      10th       United States infantry
4201      Sickle, E.                                              2d Lieutenant        11th       Illinois
4202      Smith, B.                                              Captain               10th       United States infantry
4903      Smith, A. B.                                         G                      46th       Illinois
4904      Smith, W. V.                                      C                      33d        Michigan
4905      Sherman, Henry                                  G                      33d        New Jersey
4906      Sheppard, J.                                        F                       29th      Pennsylvania
4907      Smith, John B.                                   E                       24th      New Jersey
4910      Stokes, J.                                              F                       29th      Pennsylvania
4911      Stubble, John                                    E                       7th          Connecticut
4912      Simons, James                                    A                       113th    Ohio
4913      Spires, William                                  F                       61           1
4914      Sullivan, Richard                              D

92             81             25             7                   41               30               61                 31               188             164             14               57                23            47                17            65             38              33             32                11            27             4                 2                96           3                 10             7                36              161          38              172            61               35              5
