**Requisition for Permanent Code of Engineers on the 20th Sept. 1866 and further:**

**Formed on the 20th of June & Dec. 1866.**
**U. S. C. S.**

| Article | Description | Amount |
|---------|-------------|--------|
| T. F. | 3600 | 3377 |
| John McL. | 3600 | 1500 |
| Hugh Brand | 3600 | 146 |
| E. Y. | 3600 | 11827 |
| Regan | 3600 | 2850 |
| S. L. | 3600 | 940 |
| D. Y. | 3600 | 2200 |
| J. W. | 3600 | 1600 |
| C. Cap. | 3600 | 10,400 |
| S. P. | 3600 | 21,420 |
| J. L. | 3600 | 15,421 |
| H. K. | 3600 | 9,200 |

**Remarks:** 
Some requiring a letter to express the above. Requests have begun to be considered in relation to the 20th of June 1866.
