68                      UNION SOLDIERS INTERRED IN

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA — Continued.

No.    Name.                                 Rank.        Co.     Regiment.                         Date of Death.    Sec.    Grave.    Remarks.
2251   Jones, Robert.                         Private.      D.      54th Massachusetts................. 16                73
2252   Jones, George.                         Private.      F.      54th Massachusetts................. 16                53
2253   Johnson, C. S. [?]                     Private.      E.      54th Massachusetts................. 31                59
2254   Johnson, Charles.                      Private.      A.      104th U. S. colored troops.......... 31                63
2255   Johnson, Daniel.                       Private.      I.      104th U. S. colored troops.......... 31                64
2256   Johnson, James.                        Private.      H.      104th U. S. colored troops.......... 31                98
2257   Jackson, Joseph.                       Private.      K.      104th U. S. colored troops.......... 31                46
2258   Jackson, John.                         Private.      A.      104th U. S. colored troops.......... 31                145
2259   Jackson, William.                      Private.      G.      10th U. S. colored troops........... 31                59
2260   Jenkins, Isaac.                        Private.      D.      10th U. S. colored troops........... 31                8
2261   Jenkins, Thomas.                       Priv. Sgt.    E.      85th N. Y. volunteers............... 32                118
2262   Jefferies, George.                     Private.      H.      35th U. S. colored troops.......... 7                 90
2263   Jefferies, Samuel.                     Private.      G.      35th U. S. colored troops.......... 8                 98
2264   Jarvis, Alfred.                        Private.      F.      34th U. S. colored troops.......... 29
2265   Jarvis, Andrew.                        Private.      B.      11th Connecticut...................
2266   James, David.                          Private.      D.      7th West Virginia.................. 23                21
2267   James, Thomas.                         Private.      F.      14th Connecticut.................. 23                23
2268   Jamison, Wm.                           Private.      E.      15th Massachusetts................. 36                16
2269   Jamieson, P.                           Private.      B.      64th Ohio.......................... 26                28
2270   Jarrott, S.                            Private.      F.      6th Connecticut................... 10                9
2271   Jeffords, ?                            Private.      E.      11th New York...................... 25                101
2272   Jeffers, R.                            Private.      E.      [?].............................. 25                95
2273   Johnston, J.                           Private.      B.      [?].............................. 
2274   Johnston, L.                           Private.      H.      [?]..............................
2275   Jolley, S.                              Private.      ?       [?]..............................
2276   Joice, [?]                              Private.      ?       [?]..............................
2277   Jones, A.                               Private.      ?       [?]..............................
2278   Jones, B.                               Private.      ?       [?]..............................
2279   Jones, C.                               Private.      ?       [?]..............................
2280   Jones, D.                               Private.      ?       [?]..............................
2281   Jones, E.                               Private.      ?       [?]..............................
2282   Jones, F.                               Private.      ?       [?]..............................
2283   Jones, G.                               Private.      ?       [?]..............................
2284   Jones, H.                               Private.      ?       [?]..............................
2285   Jones, I.                               Private.      ?       [?]..............................
2286   Jones, J.                               Private.      ?       [?]..............................
2287   Jones, K.                               Private.      ?       [?]..............................
2288   Jones, L.                               Private.      ?       [?]..............................
2289   Jones, M.                               Private.      ?       [?]..............................
2290   Jones, N.                               Private.      ?       [?]..............................
2291   Jones, O.                               Private.      ?       [?]..............................
2292   Jones, P.                               Private.      ?       [?]..............................
2293   Jones, Q.                               Private.      ?       [?]..............................
2294   Jones, R.                               Private.      ?       [?]..............................
2295   Jones, S.                               Private.      ?       [?]..............................
2296   Jones, T.                               Private.      ?       [?]..............................
2297   Jones, U.                               Private.      ?       [?]..............................
2298   Jones, V.                               Private.      ?       [?]..............................
2299   Jones, W.                               Private.      ?       [?]..............................
2300   Jones, X.                               Private.      ?       [?]..............................
2301   Jones, Y.                               Private.      ?       [?]..............................
2302   Jones, Z.                               Private.      ?       [?]..............................
2303   Jordan, A.                              Private.      ?       [?]..............................
2304   Jordan, B.                              Private.      ?       [?]..............................
2305   Jordan, C.                              Private.      ?       [?]..............................
2306   Jordan, D.                              Private.      ?       [?]..............................
2307   Jordan, E.                              Private.      ?       [?]..............................
2308   Jordan, F.                              Private.      ?       [?]..............................
2309   Jordan, G.                              Private.      ?       [?]..............................
2310   Jordan, H.                              Private.      ?       [?]..............................
2311   Jordan, I.                              Private.      ?       [?]..............................
2312   Jordan, J.                              Private.      ?       [?]..............................
2313   Jordan, K.                              Private.      ?       [?]..............................
2314   Jordan, L.                              Private.      ?       [?]..............................
2315   Jordan, M.                              Private.      ?       [?]..............................

(Note: portions of the table — especially many of the later names, regiments, dates, section and grave numbers and the Remarks column — are faint or obscured in the image. I have transcribed all clearly legible text and marked entirely illegible or uncertain parts with [?].)
