104                                                                                                                       UNION SOLDIERS INTERRED IN

[table turned sideways in image]

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued.

------------------------------------------------------------------------------------------------------------------------------------
No.    Name.                           Rank.          Co.   Regiment.                              Date of death.   Sec. Grave.  Remarks.
------------------------------------------------------------------------------------------------------------------------------------
3867   Reas, Benj. J.................  Private.......  B     144th N. Y..............................                28   333
3868   Reese, Benj. J................. do............  E     32d U. S. C. T..........................                28   333
3869   Reese, George R................ Sergeant......  B     133d New York..........................                33   183
3870   Reiber, Frederick.............. Private.......  E     103d New York..........................                29   330
3871   Richels, Augustus.............. do............  C     33d New York...........................                 27   110
3872   Richards, ??van...............  Corporal......  F     24th New York..........................                30   371
3873   Richards, Lyman H.............  Private.......  A     24th New York..........................                29   170
3874   Richardson, Wm................. do............  E     230th New York........................                27   170
3875   Ricker, John K................. do............  H     9th Maine..............................                29   166
3876   Ricker, John................... do............  B     3d New York reserves corps............                27   176
3877   Rider, Jacob................... do............  K     104th New York........................                25   75
3878   Rigby, Thos. H................. do............  H     5th U. S. cavalry.....................                34   141
3879   Riggs, Benj. J................. do............  E     33d Illinois...........................                7    87
3880   Riley, Patrick................. do............  B     33d Illinois...........................                5    50
3881   Rinehart, Geo. W............... do............  K     33d Illinois...........................                60   173
3882   Ripley, C. E................... do............  H     21st I. V. C...........................                22   88
3883   Ritzer, John.................   do............  H     51st Ohio..............................                17   138
3884   Roads, ??ancy.................. do............  G     62d U. S. C. T........................                33   183
3885   Robbins, ??haney..............  do............  C     33d U. S. C. T........................                21   83
3886   Robbins, Chas. H..............  do............  G     24th U. S. C. T........................                11   15
3887   Robbins, John.................. do............  H     33d U. S. C. T........................                14   41
3888   Robbins, Thos. J..............  do............  K     21st U. S. C. T........................                11   14
3889   Roberts, Al????................ do............  G     33d U. S. C. T........................                41   41
3890   Roberts, John.................  do............  ?     5th Massachusetts......................                46   118
3891   Roberts, Lewis J..............  do............  H     1st Michigan..........................                 44   114
3892   Roberts, Wm...................  do............  K     11th Maine............................                 44   116
3893   Robertson, John...............  do............  E     39th Ohio.............................                 34   134
3894   Robinson, Charles O...........  do............  I     32d Ohio.............................                  38   182
3895   Robinson, David...............  do............  B     60th Ohio.............................                 28   130
3896   Robinson, Geo. W..............  do............  C     25th Mass.............................                 30   130
3897   Robinson, John................  do............  B     23d Connecticut.......................                20   120
3898   Rock, Henry...................  do............  G     131st New York........................                26   120
3899   Roe, Geo. W...................  Sergeant......  G     21st Mass.............................                 20   130
3900   Roff, L. P....................  do............  N     11th Maine............................                 29   130
