118                                                     UNION SOLDIERS INTERRED IN

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued.  

No.  Name                      Rank.  Co.  Regiment.                               Date of death.  Sec.  Grave.  Remarks.
---- ------------------------- ------ ---- ---------------------------------------- --------------- ---- ------  -------
4789 Scott, C. D.                     D    203 Illinois...........................................   7     92
4790 Sheridan, John                   H    5th New York cavalry.................................  25     81
4791 Sh[?]del[?], C[?]                L    9th Michigan cavalry..................................  28     55
4792 Sh[?]ell, Ch[?]                 B     30th U. S. colored troops............................  41     56
4793 Sh[?]ell, Geo. W.               L     30th U. S. colored troops............................  ..     41
4794 Sh[?]leton, Charles             K     33d U. S. colored troops.............................  ..     61
4795 Sh[?]k, Wm. Wayne               E     33d U. S. colored troops.............................  ..     ..
4796 Sh[?]k, Wm. Wingo               C     33d U. S. colored troops.............................  ..     30
4797 Sh[?]k, Samuel                  F     33d U. S. colored troops.............................  ..     ..
4798 Sh[?]k, Andrew                  E     33d U. S. colored troops.............................  ..     31
4799 Sh[?]es, Samuel                 D     103d U. S. colored troops............................  ..   1768
4800 Short, A. H.                    B     103d U. S. colored troops............................  ..   1164
4801 Short, A. H.                    B     128 U. S. colored troops.............................  ..     ..
4802 Short, Tho[?]                   H     33d U. S. colored troops.............................  ..     ..
4803 Sh[?]ll, Dan[?]                 K     4th Rhode Island heavy art’y........................  ..     ..
4804 Sh[?]ly, Daniel                 H     7th United States infantry...........................  ..     ..
4805 Sh[?]ly, Dani[?]                H     7th United States infantry...........................  ..     ..
4806 Sh[?]ly, Ch[?]                  H     7th United States infantry...........................  ..     ..
4807 Sh[?]ey, Fr[?]                  H     7th United States infantry...........................  ..     ..
4808 Sh[?]ey, Nick.                  H     7th United States infantry...........................  ..     ..
4809 Sh[?]er, A. V.                  H     7th United States infantry...........................  ..     ..
4810 Sh[?]er, J[?]                   H     4th United States infantry...........................  ..     ..
4811 Sh[?]e[?], [??]                 E     45th Illinois......................................... ..     17
4812 Sh[?]p, J. Brown                D     11th Pennsylvania....................................  ..     38
4813 Sh[?]rp, John                   G     8th Pennsylvania...................................... ..    170
4814 Sh[?]rp, J. B.                  G     11th Pennsylvania cavalry............................  ..    161
4815 Sh[?]rp, J. C.                  G     123d Ohio............................................  ..    173
4816 Sh[?]rp, [??]                   F     138th Ohio...........................................  ..     55
4817 Sh[?]rup, [??]                  C     ...................................................... ..     61
4818 Sh[?]rup, [??]                  F     ...................................................... ..     ..
4819 Sh[?]rup, [??]                  F     ...................................................... ..     ..
4820 Sh[?]rup, [??]                  F     ...................................................... ..     ..
4821 Sh[?]rup, [??]                  F     ...................................................... ..     ..
4822 Sh[?]rup, [??]                  F     ...................................................... ..     ..
4823 Shrump, Richard                 C     ...................................................... ..     ..
