BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA. 133  

4749 Webster, George..............................Gov’t clerk.......................................................  
4750 Wheelan, William..........................................................C........75th New York  
4751 Whipple, William..........................................................C........75th New York  
4752 White, Bernard............................................................C........24th Maine  
4753 White, Samuel J..........................................................C........24th Maine  
4754 White, Thomas J.........................................................E........118th New York  
4755 White, Charles B.......................................................D........13th New York artillery  
4756 White, E. P.................................................................B........159th New York  
4757 White, William J.......................................................D........13th New York artillery  
4758 White, C. H...............................................................E........8th U. S. colored troops  
4759 White, John H..........................................................A........3d U. S. colored troops  
4760 Whiting, O. M..........................................................C........104th U. S. colored troops  
4761 Whitman, C. M........................................................B........102d U. S. colored troops  
4762 Whitney, John..........................................................G........21st U. S. colored troops  
4763 Wicks, George..........................................................H........55th U. S. colored troops  
4764 Wilkes, Samuel........................................................F........34th U. S. colored troops  
4765 William, Paul...........................................................I........128th U. S. colored troops  
4766 Williams, Daniel......................................................A........26th U. S. colored troops  
4767 Williams, Edward....................................................H........26th U. S. colored troops  
4768 Williams, John L.....................................................C........33d U. S. colored troops  
4769 Williams, John T....................................................G........104th U. S. colored troops  
4770 Wilmer, John..........................................................K........128th U. S. colored troops  
4771 Wilson, Jackson......................................................I........128th U. S. colored troops  
4772 Wilson, John C......................................................K........128th U. S. colored troops  
4773 Wilson, John D......................................................L........128th U. S. colored troops  
4774 Wilson, Paul W......................................................F........21st U. S. colored troops  
4775 Wilson, T. H............................................................F........21st U. S. colored troops  
4776 Wingate, Frederick................................................D........34th U. S. infantry  
4777 Winton, W. J...........................................................H........37th U. S. infantry  
4778 Wishart, Tyler.......................................................I........40th U. S. infantry  
4779 Wisler, F...............................................................B........27th U. S. infantry  
4780 Wodtke,...............................................................D........27th U. S. infantry  
4781 Wogel, Frederick...................................................H........27th U. S. infantry  
4782 Wolfenbarger, Sam............................................E........21st U. S. infantry  
4783 Wolfing,..............................................................F........27th U. S. infantry  
4784 Wolleber, Frederick............................................A........27th U. S. infantry  
4785 Woodberry, A......................................................B........27th U. S. infantry  
4786 Woodbury, Alphon............................................H........15th New York engineers  
4787 Woodley, J. H......................................................A........32d U. S. infantry  
4788 Woodruff, Frederick..........................................D........33d U. S. infantry  
4789 Woodside,..........................................................A........32d U. S. infantry  
4790 Worthy,..............................................................B........32d U. S. infantry  
4791 Wright, George....................................................H........33d U. S. infantry  
4792 Wright, Stephen..................................................F........21st U. S. infantry  
4793 Wright, Thos.......................................................H........33d U. S. infantry
