134  

UNION SOLDIERS INTERRED IN  

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued.  

No.  Name.                          Rank.      Co.   Regiment.                          Date of death.   Sec.   Grave.   Remarks.  
4787 White, A. R.                   Corporal   D     12th Kentucky cavalry ............................................................  
4788 White, J. S.                              M     16th Ill. ......................................................................  
4789 Wilcox, H. S.                             G     3d U. S. colored troops ..........................................................  
4790 Wilder, Elihu                             D     55th Mass. ....................................................................  
4791 Wilkins, Hamilton W.                      H     27th Ohio ......................................................................  
4792 Williams, Hiram W.                        E     144th Ohio ....................................................................  
4793 Williams, Isaac                           D     117th N. Y. ...................................................................  
4794 Williams, Nelson                          E     203d Pa. ......................................................................  
4795 Williams, Robertson                       E     9th Maine ......................................................................  
4796 Williams, Robert                          D     29th Ill. .....................................................................  
4797 W[????], Henry                            E     54th Penn. ....................................................................  
4798 Worcester, W. H.                          I     57th Penn. ....................................................................  
4799 Worrell, W. J.                            K     67th Penn. ....................................................................  
4800 Wright, C. E.                             G     47th Penn. ....................................................................  
4801 Wright, G. W.                             H     67th Penn. ....................................................................  
4802 Wright, G. Y.                             C     67th Penn. ....................................................................  
4803 Wright, J. K. (P. S.)                     J     24th U. S. colored troops .......................................................  
4804 Wright, J. W.                             C     25th U. S. colored troops .......................................................  
4805 Wright, Samuel                            F     46th N. Y. ....................................................................  
4806 Wright, W. H.                             H     29th New York cavalry ..........................................................  
4807 Wyman, Charles                            F     51st Indiana ..................................................................  
4808 Wyman, John                               B     ...............................................................................  
4809 Yates, O.                                 F     ...............................................................................  
4810 Yeaton, [?]                               B     ...............................................................................  
4811 Yelton, [?]                               F     ...............................................................................  
4812 Young, [?]                                H     ...............................................................................  
4813 White, J. F. C.                           A     24th U. S. colored troops .......................................................  
4814 Wilcox, J. E. C.                          H     25th U. S. colored troops .......................................................  
4815 Wiler, D. P.                              A     46th N. Y. ....................................................................  
4816 Wolf, H.                                  H     29th New York cavalry ..........................................................  
4817 Work, John                                A     51st Indiana ..................................................................  
4818 Wright, D.                                H     ...............................................................................  
4819 Wright, John                              A     ...............................................................................  
4820 Wylie, A.                                 H     ...............................................................................  
4821 Whitehead, A.                             A     ...............................................................................
