156  
UNION SOLDIERS INTERRED IN  

NATCHEZ NATIONAL CEMETERY, MISSISSIPPI—Continued.

No. | Name. | Rank. | Co. | Regiment. | Date of death. | Sec. | Grave. | Original place of burial.
---|-------|------|----|----------|----------------|-----|-------|-------------------------
3035 | Unknown, 2 | [?] | [?] | [?] | [?] | 15 | [?] | Natchez, Mississippi.
3036 | Unknown, 2 | [?] | [?] | [?] | [?] | 15 | [?] | Do.
3037 | Unknown, 2 | [?] | [?] | [?] | [?] | 15 | [?] | Do.
3038 | Unknown, 2 | [?] | [?] | [?] | [?] | 15 | [?] | Do.
3039 | [?] | [?] | [?] | [?] | [?] | 15 | [?] | Do.
3040 | [?] | [?] | [?] | [?] | [?] | 15 | [?] | Do.
3041 | [?] | [?] | [?] | [?] | [?] | 15 | [?] | Do.
3042 | [?] | [?] | [?] | [?] | [?] | 15 | [?] | Do.
3043 | [?] | [?] | [?] | [?] | [?] | 15 | [?] | Do.
3044 | [?] | [?] | [?] | [?] | [?] | 15 | [?] | Do.
3045 | [?] | [?] | [?] | [?] | [?] | 15 | [?] | Do.
3046 | [?] | [?] | [?] | [?] | [?] | 15 | [?] | Do.
3047 | [?] | 3d corporal. | H | [?] | Aug. 29, 1863 | 1 | 83 | Adelia V. Plantation, Louisiana.
3048 | [?] | Corporal | I | [?] | Sept. 15, 1863 | 1 | 108 | Do.
3049 | [?] | Private | B | [?] | June 15, 1863 | 1 | 117 | Rowley’s Plantation, Louisiana.
3050 | [?] | Private | A | [?] | June 15, 1863 | 1 | 113 | Do.
3051 | [?] | Private | A | [?] | Aug. 15, 1864 | 9 | 22 | Natchez, Mississippi.
3052 | [?] | Private | G | [?] | Oct. 18, 1864 | 9 | 22 | Do.
3053 | [?] | Private | H | [?] | Oct. 18, 1864 | 9 | 23 | Do.
3054 | [?] | Private | A | [?] | April 29, 1864 | 2 | 5 | Do.
3055 | [?] | Acting master’s mate | I | U. S. Gunboat “Chillicothe” | Feb. 23, 1864 | 2 | 3 | Do.
3056 | [?] | Fireman | C | U. S. Gunboat “Chillicothe” | Nov. 28, 1864 | 5 | 7 | Adelia V. Plantation, La.
3057 | [?] | Private | B | 58th U. S. colored infantry | Feb. 19, 1864 | 11 | 11 | Do.
3058 | [?] | Corporal | K | 58th U. S. colored infantry | Mar. 10, 1865 | 11 | 13 | Concordia, Louisiana.
3059 | [?] | Private | C | 58th U. S. colored infantry | Mar. 10, 1865 | 11 | 13 | Natchez, Mississippi.
3060 | [?] | Private | B | 63d U. S. colored infantry | Aug. 10, 1865 | 13 | 15 | Do.
3061 | [?] | Private | F | 70th U. S. colored infantry | [?] | 13 | 15 | Do.
3062 | [?] | Private | F | 70th U. S. colored infantry | [?] | 13 | 15 | Do.
3063 | [?] | Private | C | 70th U. S. colored infantry | [?] | 13 | 15 | Do.
3064 | [?] | Private | D | 70th U. S. colored infantry | [?] | 13 | 15 | Natchez, Mississippi.
3065 | [?] | Private | A | 58th Ohio infantry | April 23, 1865 | 15 | 2 | Do.
3066 | [?] | Private | E | 58th Ohio infantry | March 12, 1865 | 15 | 2 | Do.
3067 | [?] | Private | [?] | [?] | [?] | 15 | [?] | Do.
3068 | [?] | Private | [?] | [?] | [?] | 15 | [?] | Do.
3069 | [?] | Private | [?] | [?] | [?] | 15 | [?] | Do.
3070 | [?] | Private | [?] | [?] | [?] | 15 | [?] | Do.
3071 | [?] | Private | [?] | [?] | [?] | 15 | [?] | Do.
3072 | [?] | Private | [?] | [?] | [?] | 15 | [?] | Do.
3073 | [?] | Private | A | 58th Ohio infantry | [?] | 13 | 15 | Natchez, Mississippi.

[Note: Many individual entries in the table are too small or faint in the provided image to be read with certainty; these are marked as “[?]” in accordance with the transcription guidelines.]
