28                                                            UNION SOLDIERS INTERRED IN  

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA. — Continued.  

No. | Name. | Rank. | Co. | Regiment. | Date of death. | Sec. | Grave. | Remarks.  
---|---|---|---|---|---|---|---|---  
761 | Cotton, H. | Private | E | 9th Maine Volunteers | . . . . . . . . . . . . . . . . . . . | 20 | 12 | . . . . . . . . . . . . . . . . . . .  
762 | Codding, C. G. | do. | C | 115th New York Volunteers | . . . . . . . . . . . . . . . . . . . | 21 | 40 | . . . . . . . . . . . . . . . . . . .  
763 | Cassey, Paul | do. | D | 115th New York Volunteers | . . . . . . . . . . . . . . . . . . . | 21 | 47 | . . . . . . . . . . . . . . . . . . .  
764 | Cushman, S. E. | do. | C | 115th New York Volunteers | . . . . . . . . . . . . . . . . . . . | 21 | 115 | . . . . . . . . . . . . . . . . . . .  
765 | Clarkson, Charles | do. | H | 115th New York Volunteers | . . . . . . . . . . . . . . . . . . . | 21 | 153 | . . . . . . . . . . . . . . . . . . .  
766 | Clark, John | do. | A | 115th New York Volunteers | . . . . . . . . . . . . . . . . . . . | 21 | 175 | . . . . . . . . . . . . . . . . . . .  
767 | Clements, V. H. | Chaplain | . . . | 55th Massachusetts Vols. | . . . . . . . . . . . . . . . . . . . | 19 | 83 | . . . . . . . . . . . . . . . . . . .  
768 | Carnes, Aug. | Corporal | F | 32d U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 54 | . . . . . . . . . . . . . . . . . . .  
769 | Campbell, Andrew J. | Sergeant | D | 26th U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 35 | . . . . . . . . . . . . . . . . . . .  
770 | Chappell, J. W. | do. | A | 55th Massachusetts Vols. | . . . . . . . . . . . . . . . . . . . | 21 | 32 | . . . . . . . . . . . . . . . . . . .  
771 | Casey, David | Private | A | 102d U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 56 | . . . . . . . . . . . . . . . . . . .  
772 | Curry, David | do. | B | 102d U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 59 | . . . . . . . . . . . . . . . . . . .  
773 | Carey, Thomas F. | do. | A | 21st U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 73 | . . . . . . . . . . . . . . . . . . .  
774 | Camp, John | do. | A | 21st U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 87 | . . . . . . . . . . . . . . . . . . .  
775 | Carpenter, Austin | do. | D | 21st U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 90 | . . . . . . . . . . . . . . . . . . .  
776 | Carson, Anthony | do. | H | 128th U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 92 | . . . . . . . . . . . . . . . . . . .  
777 | Chapman, Albert | do. | K | 128th U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 93 | . . . . . . . . . . . . . . . . . . .  
778 | Campbell, Augustine | do. | D | 21st U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 97 | . . . . . . . . . . . . . . . . . . .  
779 | Cohen, L. M. | do. | K | 32d U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 100 | . . . . . . . . . . . . . . . . . . .  
780 | Campbell, Henry | do. | D | 21st U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 132 | . . . . . . . . . . . . . . . . . . .  
781 | Connors, Jerry | do. | B | 21st U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 137 | . . . . . . . . . . . . . . . . . . .  
782 | Chapman, George | do. | K | 32d U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 140 | . . . . . . . . . . . . . . . . . . .  
783 | Campbell, Taylor | do. | I | 21st U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 150 | . . . . . . . . . . . . . . . . . . .  
784 | Campbell, A. J. | do. | E | 21st U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 152 | . . . . . . . . . . . . . . . . . . .  
785 | Cooper, Henry | do. | B | 21st U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 157 | . . . . . . . . . . . . . . . . . . .  
786 | Caunbary, Louis | do. | D | 21st U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 172 | . . . . . . . . . . . . . . . . . . .  
787 | Cambell, Royal | do. | I | 21st U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 177 | . . . . . . . . . . . . . . . . . . .  
788 | Connelly, Anthony | do. | C | 128th U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 181 | . . . . . . . . . . . . . . . . . . .  
789 | Conway, Henry | do. | B | 21st U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 187 | . . . . . . . . . . . . . . . . . . .  
790 | Cunningham, Jerry | do. | I | 21st U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 201 | . . . . . . . . . . . . . . . . . . .  
791 | Cannon, George | do. | K | 21st U. S. colored troops | . . . . . . . . . . . . . . . . . . . | 21 | 207 | . . . . . . . . . . . . . . . . . . .
