118
UNION SOLDIERS INTERRED IN

BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA—Continued.

No. | Name. | Rank. | Co. | Regiment. | Date of death. | Sec. | Grave. | Remarks.

4789 | [?] | [?] | [?] | [?] | [?] | [?] | [?] | 
4790 | Sheridan, John | [?] | [?] | [?] | [?] | [?] | [?] | 
4791 | [?] | [?] | [?] | [?] | [?] | [?] | [?] | 
4792 | [?] | [?] | [?] | [?] | [?] | [?] | [?] | 
4793 | [?] | [?] | [?] | [?] | [?] | [?] | [?] | 
4794 | [?] | [?] | [?] | [?] | [?] | [?] | [?] | 
4795 | [?] | [?] | [?] | [?] | [?] | [?] | [?] | 
4796 | [?] | [?] | [?] | [?] | [?] | [?] | [?] | 
4797 | [?] | [?] | [?] | [?] | [?] | [?] | [?] | 
4798 | [?] | [?] | [?] | [?] | [?] | [?] | [?] | 
4799 | [?] | [?] | [?] | [?] | [?] | [?] | [?] | 
4800 | [?] | [?] | [?] | [?] | [?] | [?] | [?] | 
4801 | [?] | [?] | [?] | [?] | [?] | [?] | [?] | 
4802 | [?] | [?] | [?] | [?] | [?] | [?] | [?] | 
4803 | [?] | [?] | [?] | 2d Rhode Island heavy art’y | [?] | [?] | [?] | 
4804 | [?] | [?] | [?] | 7th United States infantry | [?] | [?] | [?] | 
4805 | [?] | [?] | [?] | 4th United States infantry | [?] | [?] | [?] | 
4806 | [?] | [?] | [?] | 7th United States infantry | [?] | [?] | [?] | 
4807 | [?] | [?] | [?] | 4th United States infantry | [?] | [?] | [?] | 
4808 | [?] | [?] | [?] | 7th United States infantry | [?] | [?] | [?] | 
4809 | [?] | [?] | [?] | 4th United States infantry | [?] | [?] | [?] | 
4810 | [?] | [?] | [?] | 7th United States infantry | [?] | [?] | [?] | 
4811 | [?] | [?] | [?] | 11th Illinois | [?] | [?] | [?] | 
4812 | [?] | [?] | [?] | 30th Pennsylvania | [?] | [?] | [?] | 
4813 | [?] | [?] | [?] | 48th New York | [?] | [?] | [?] | 
4814 | [?] | [?] | [?] | 123d Ohio | [?] | [?] | [?] | 
4815 | [?] | [?] | [?] | 113th Ohio | [?] | [?] | [?] | 
4816 | [?] | [?] | [?] | [?] | [?] | [?] | [?] | 
4817 | [?] | [?] | [?] | [?] | [?] | [?] | [?] | 
4818 | [?] | [?] | [?] | [?] | [?] | [?] | [?] | 
4819 | [?] | [?] | [?] | [?] | [?] | [?] | [?] | 
4820 | [?] | [?] | [?] | [?] | [?] | [?] | [?] | 
4821 | [?] | [?] | [?] | [?] | [?] | [?] | [?] | 
4822 | [?] | [?] | [?] | [?] | [?] | [?] | [?] | 
4823 | Shumway, Richard | [?] | [?] | [?] | [?] | [?] | [?] | 

Note: Much of the text in this image is too small/unclear to read with certainty. Illegible portions are marked with [?]. If a higher-resolution image is available, I can provide a fuller transcription.
