The candidates whose names have been tendered to the public
at the expense of the public

Candidates J.S. Maloney Polk County

J.G. Ferguson          Dan D. Quinn
Commiss of Mines       D.A. Quinn
& Agriculture          M.E. Dunaway
Sec of State           Representative from Fifth
                       Congressional Dist.
Wm. Mashburn           A.R. Allnutt
Rep of Polk Co.        Candidate for Sheriff
In Gen Assembly        from Polk County
Frank Dodge            Guy Tucker
Prosecuting Attorney   County and Probate Clerk
D.K. Hawthorne         Harry Hale
Representative         Prosecuting Attorney
