UNION SOLDIERS BURIED IN

28

STATE NATIONAL CEMETERY | NAME | RANK | CO. | REGIMENT | DATE OF DEATH | GRAVE

[blank] | [blank] | [blank] | [blank] | [blank] | [blank] | [blank]

[blank] | [blank] | [blank] | [blank] | [blank] | [blank] | [blank]

[blank] | [blank] | [blank] | [blank] | [blank] | [blank] | [blank]

[blank] | [blank] | [blank] | [blank] | [blank] | [blank] | [blank]

[blank] | [blank] | [blank] | [blank] | [blank] | [blank] | [blank]

[blank] | [blank] | [blank] | [blank] | [blank] | [blank] | [blank]

[blank] | [blank] | [blank] | [blank] | [blank] | [blank] | [blank]

[blank] | [blank] | [blank] | [blank] | [blank] | [blank] | [blank]

[blank] | [blank] | [blank] | [blank] | [blank] | [blank] | [blank]

[blank] | [blank] | [blank] | [blank] | [blank] | [blank] | [blank]

[blank] | [blank] | [blank] | [blank] | [blank] | [blank] | [blank]

[blank] | [blank] | [blank] | [blank] | [blank] | [blank] | [blank]

[blank] | [blank] | [blank] | [blank] | [blank] | [blank] | [blank]

[blank] | [blank] | [blank] | [blank] | [blank] | [blank] | [blank]

[blank] | [blank] | [blank] | [blank] | [blank] | [blank] | [blank]

[blank] | [blank] | [blank] | [blank] | [blank] | [blank] | [blank]

[blank] | [blank] | [blank] | [blank] | [blank] | [blank] | [blank]

[blank] | [blank] | [blank] | [blank] | [blank] | [blank] | [blank]

[blank] | [blank] | [blank] | [blank] | [blank] | [blank] | [blank]

[blank] | [blank] | [blank] | [blank] | [blank] | [blank] | [blank]
