6
THE REGISTER AND LEADER: WEDNESDAY MORNING, MAY 24, 1916.

The Des Moines Register
AND LEADER.
BY THE REGISTER AND TRIBUNE CO.
(The Des Moines Leader, established 1848)
(The Iowa State Register, established 1856)

TERMS OF SUBSCRIPTION.
BY MAIL, OUTSIDE OF DES MOINES.
Daily and Sunday Register and Leader,
$8.00 per year.
Daily, except Sunday, 40 cents per month.
Sunday only, $2.00 per year.
BY CARRIER OUTSIDE OF DES MOINES.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per month.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per month.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
Daily, except Sunday, 10 cents per week.
