242  
THIRTIETH REGIMENT INFANTRY, U.S. C. T., MD. VOL.—COMPANY C.  

NAME. | RANK. | DATE OF ENLISTMENT OR MUSTER IN. | DATE OF MUSTER OUT OR DISCHARGE. | REMARKS.  
Smith, Samuel (2) | Private | Mar. 31, 1864 | Dec. 10, 1865 | Absent sick since Dec. 6, 1864, Co. M. O. rolls.  
Stephens, Perry | Private | Mar. 31, 1864 | Dec. 10, 1865 | Absent sick since April 1, 1865, Co. M. O. rolls.  
Stansbury, Benjamin | Private | Feb. 7, 1864 | Dec. 10, 1865 | Missing in action, July 30, 1864; supposed to have been killed, Co. M. O. rolls.  
Snowden, Isaiah | Private | Feb. 24, 1864 | Dec. 10, 1865 | Died Aug. 4, 1864, of wounds received in action.  
Simmons, Henry | Private | Feb. 25, 1864 | Dec. 10, 1865 | Died March 21, 1864.  
Snowden, Henry | Private | June 16, 1864 | Dec. 10, 1865 | Absent sick, Co. M. O. rolls.  
Thompson, Thomas | Private | Feb. 27, 1864 | Dec. 10, 1865 | Died Aug. 4, 1864, of wounds received in action.  
Thomas, George W. | Private | Feb. 9, 1864 | Dec. 10, 1865 | Transferred to Navy.  
Turner, Dennis | Private | Feb. 24, 1864 | Dec. 10, 1865 | Absent sick, Co. M. O. rolls.  
Tailor, Randolph | Private | May 27, 1864 | Dec. 10, 1865 | Absent sick, Co. M. O. rolls.  
Thomas, Aaron | Private | May 27, 1864 | Dec. 10, 1865 | Absent sick, Co. M. O. rolls.  
Talbot, Henry | Private | Feb. 24, 1864 | Apr. 11, 1864 | Transferred to Navy.  
Tilghman, Samuel | Private | Feb. 9, 1864 | Apr. 11, 1864 | Transferred to Navy.  
Vance, Stephen | Private | May 17, 1864 | Jan. 11, 1866 |  
Wimer, Levin | Sergeant | Feb. 11, 1864 | Dec. 10, 1865 |  
Woods, John H. | Sergeant | Sept. 15, 1864 | Dec. 10, 1865 |  
Waters, Robert | Corporal | Mar. 31, 1864 | Dec. 10, 1865 |  
Wing, Charles E. | Private | Feb. 27, 1864 | Dec. 10, 1865 |  
Waters, Stephen | Private | Mar. 31, 1864 | Dec. 10, 1865 |  
Webster, John | Private | Feb. 27, 1864 | Dec. 10, 1865 |  
Weary, Benjamin | Private | Mar. 19, 1864 | Dec. 10, 1865 |  
Wisly, Cyrus T. | Private | Feb. 27, 1864 | June 17, 1865 |  
Wallace, Greenberry | Private | Feb. 27, 1864 | Apr. 11, 1864 | Transferred to Navy.  
Williams, Edward | Private | Feb. 25, 1864 | Apr. 11, 1864 | Transferred to Navy.  
Wilkinson, Philip W. | Private | Feb. 9, 1864 | Dec. 10, 1865 | Died March 2, 1864.  
Ward, Anthony | Private | Mar. 31, 1864 | Dec. 10, 1865 |  
Wilkinson, Wash'g'n | Private | May 26, 1864 | Dec. 10, 1865 | Died Aug. 26, 1864.  

COMPANY D.  
COMMISSIONED OFFICERS.  

NAME. | RANK. | DATE OF ENLISTMENT OR MUSTER IN. | DATE OF MUSTER OUT OR DISCHARGE. | REMARKS.  
Eben Whitney. | Captain | Feb. 26, 1864 | Dec. 10, 1865 |  
Charles B. Sanders. | 1st Lieut. | Mar. 3, 1864 | Dec. 10, 1865 | See Roster, Field and Staff.  
Jacob Foster. | 1st Lieut. | April 5, 1865 | Dec. 10, 1865 | Entered the service as 2nd Lieut.; promoted 1st Lieut., Oct. 26, 1865.  
Ira B. Quimby. | 2d Lieut. | Feb. 13, 1864 | Jan. 11, 1865 | Disability.  

ENLISTED MEN.  

NAME. | RANK. | DATE OF ENLISTMENT OR MUSTER IN. | DATE OF MUSTER OUT OR DISCHARGE. | REMARKS.  
Allen, James | 1st Sergeant | Feb. 23, 1864 | Dec. 10, 1865 |  
Addison, Joseph | Private | Feb. 25, 1864 | Dec. 10, 1865 |  
Bowzer, James H. | Sergeant | Mar. 19, 1864 | Dec. 10, 1865 |  
Brown, John | Corporal | Feb. 27, 1864 | Dec. 10, 1865 |  
Banker, Tige W. | Private | Mar. 31, 1864 | Dec. 10, 1865 |  
Barrett, John | Private | May 18, 1864 | Dec. 10, 1865 |  
Blackstone, Charles | Private | Feb. 23, 1864 | Dec. 10, 1865 |  
Brice, Aaron | Private | Feb. 24, 1864 | Dec. 10, 1865 |  
Brown, Charles | Private | Feb. 25, 1864 | Dec. 10, 1865 |  
Brown, William | Private | May 17, 1864 | Dec. 10, 1865 |  
Bryan, Thomas H. | Private | Feb. 17, 1864 | Dec. 10, 1865 |  
Buckner, Andrew | Private | Feb. 24, 1864 | Dec. 10, 1865 |  
Burgess, Joseph | Private | May 17, 1864 | Dec. 10, 1865 |  
Burr, Daniel | Private | Feb. 23, 1864 | Dec. 10, 1865 | Missing in action, July 30, 1864.  
Bostick, John | Private | Feb. 27, 1864 | Dec. 10, 1865 | Died March 22, 1864, of disease.  
Boyd, Perry | Private | Feb. 22, 1864 | Dec. 10, 1865 | Died March 12, 1864, of disease.  
Price, William F. | Private | Feb. 26, 1864 | Dec. 10, 1865 | Died March 12, 1864, of disease.
